abort,"n. 中止计划
vt. 使流产；使中止
vi. 流产；堕胎；夭折；发育不全"
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
superman,n. 超人，能力非凡的
supermarket,n. 超级市场；自助售货商店
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
surf,"vi. 作冲浪运动
vt. 在…冲浪
n. 海浪，拍岸浪"
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
surgery,n. 外科；外科手术；手术室；诊疗室
surrender,"n. 投降；放弃；交出；屈服
vt. 使投降；放弃；交出；听任
vi. 投降；屈服；自首"
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
surroundings,n. 环境；周围的事物
survival,n. 幸存，残存；幸存者，残存物
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
suspicion,"n. 怀疑；嫌疑；疑心；一点儿
vt. 怀疑"
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
sway,"n. 影响；摇摆；统治
vt. 影响；统治；使摇动
vi. 影响；摇摆"
swear,"n. 宣誓；诅咒
vt. 发誓；咒骂
vi. 发誓，宣誓；诅咒"
sweat,"n. 汗；水珠；焦急；苦差使
vt. 使出汗；流出；使干苦活；剥削；藉出汗减轻；焦急地期待
vi. 出汗；辛苦工作；懊恼；结水珠"
swell,"n. 肿胀；隆起
vt. 使膨胀；使隆起
adj. 漂亮的；一流的
vi. 膨胀；肿胀；隆起"
swift,"n. 褐雨燕
adj. 快的；迅速的；敏捷的；立刻的
adv. 迅速地
n. 苹果公司开创的新款编程语言，应用于iOS 8及以上的应用程序"
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
sword,n. 刀，剑；武力，战争
symbol,n. 象征；符号；标志
sympathetic,"n. 交感神经；容易感受的人
adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的"
sympathize,vi. 同情，怜悯；支持
system,n. 制度，体制；系统；方法
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随"
talent,n. 才能；天才；天资
tame,"adj. 驯服的；平淡的；乏味的；顺从的
vt. 驯养；使变得平淡；制服
vi. 变得驯服"
tank,"n. 坦克；水槽；池塘
vt. 把…贮放在柜内；打败
vi. 乘坦克行进"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
tasty,"adj. 美味的；高雅的；有趣的
n. 可口的东西；引人入胜的东西"
technician,n. 技师，技术员；技巧纯熟的人
technology,n. 技术；工艺；术语
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
telecom,n. 电信，远距通信；电讯
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
temple,n. 庙宇；寺院；神殿；太阳穴
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
temptation,n. 引诱；诱惑物
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
tendency,n. 倾向，趋势；癖好
tender,"n. 偿付，清偿；看管人；小船
adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的
vt. 提供，偿还；使…变嫩；使…变柔软
vi. 投标；变柔软"
tennis,n. 网球（运动）
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
territory,n. 领土，领域；范围；地域；版图
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
textbook,n. 教科书，课本
textile,"n. 纺织品，织物
adj. 纺织的"
theater,n. 电影院，戏院，剧场；戏剧；手术室
theft,n. 盗窃；偷；赃物
theoretical,adj. 理论的；理论上的；假设的；推理的
theory,n. 理论；原理；学说；推测
thereby,adv. 从而，因此；在那附近；在那方面
thermometer,n. 温度计；体温计
thermos,n. 热水瓶
thirst,"n. 渴望；口渴；热望
vi. 渴望；口渴"
thorough,adj. 彻底的；十分的；周密的
threat,n. 威胁，恐吓；凶兆
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
thrill,"n. 激动；震颤；紧张
vt. 使…颤动；使…紧张；使…感到兴奋或激动
vi. 颤抖；感到兴奋；感到紧张"
thriller,n. 惊险小说；使人毛骨悚然的东西；使人毛骨悚然的小说
throat,"n. 喉咙；嗓子，嗓音；窄路
vt. 开沟于；用喉音说"
thrust,"n.  推力；刺
vt. 插；插入；推挤
vi. 插入；用向某人刺去；猛然或用力推"
thumb,"n. 拇指
vt. 翻阅；以拇指拨弄；作搭车手势；笨拙地摆弄
vi. 用拇指翻书页；竖起拇指要求搭车"
thunder,"n. 雷；轰隆声；恐吓
vt. 轰隆地发出；大声喊出
vi. 打雷；怒喝"
tick,"n. 滴答声；扁虱；记号；赊欠
vt. 标记号于；滴答地记录
vi. 发出滴答声；标以记号"
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
timetable,n. 时间表；时刻表；课程表
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
toast,"n. 干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人
vt. 向…祝酒，为…干杯
vi. 烤火，取暖；使暖和；烘烤（面包片等）"
toe,"n. 脚趾；足尖
vt. 用脚尖走；以趾踏触
vi. 动脚尖；用足尖跳舞"
token,"n. 表征；代币；记号
adj. 象征的；表意的；作为对某事的保证的
vt. 象征；代表"
tolerate,vt. 忍受；默许；宽恕
toll,"vt. 征收；敲钟
n. 通行费；代价；钟声；伤亡人数
vi. 鸣钟；征税"
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
tonight,"n. 今晚
adv. 在今晚"
topic,n. 主题（等于theme）；题目；一般规则；总论
torch,"n. 火把，火炬；手电筒；启发之物
vt. 用火炬点燃
vi. 像火炬一样燃烧"
torture,"n. 折磨；拷问；歪曲
vt. 折磨；拷问；歪曲"
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
tourism,n. 旅游业；游览
tourist,"n. 旅行者，观光客
adj. 旅游的
vt. 在旅行参观
vi. 旅游；观光
adv. 坐旅游车厢；坐经济舱"
towards,prep. 朝，向；对于；有助于
towel,"n. 毛巾，手巾； 纸巾
vi. 用毛巾擦干身体
vt. 用毛巾擦"
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
traditional,adj. 传统的；惯例的
tragedy,n. 悲剧；灾难；惨案
trail,"n. 小径；痕迹；尾部；踪迹；一串，一系列
vt. 追踪；拖；蔓延；落后于
vi. 飘出；蔓生；垂下；拖曳"
trainer,n. 助理教练；训练员；驯马师；飞行练习器；运动鞋
trait,n. 特性，特点；品质；少许
translation,n. 翻译；译文；转化；调任
transparent,adj. 透明的；显然的；坦率的；易懂的
transportation,n. 运输；运输系统；运输工具；流放
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
trash,"n. 垃圾；废物
vt. 丢弃；修剪树枝"
tray,n. 托盘；文件盒；隔底匣；（无线电的）发射箱
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为"
tremble,"n. 颤抖；战栗；摇晃
vi. 发抖；战栗；焦虑；摇晃
vt. 使挥动；用颤抖的声音说出"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
triangle,n. 三角（形）；三角关系；三角形之物；三人一组
trifle,"n. 琐事；蛋糕；少量
vt. 浪费；虚度
vi. 开玩笑；闲混；嘲弄"
trim,"n. 修剪；整齐；情形
vt. 修剪；整理；装点
adj. 整齐的
vi. 削减"
triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
troop,"vt. 把（骑兵）编成骑兵连
vi. 群集；成群而行；结队
n. 军队；组；群；多数"
tropical,adj. 热带的；热情的；酷热的
troublesome,adj. 麻烦的；讨厌的；使人苦恼的
truly,adv. 真实地，不假；真诚地
trumpet,"n. 喇叭；喇叭声
vt. 吹喇叭；吹嘘
vi. 吹喇叭；发出喇叭般的声音"
trunk,"n. 树干；躯干；象鼻；汽车车尾的行李箱
adj. 干线的；躯干的；箱子的
vt. 把…放入旅行箱内"
T-shirt,n. 短袖圆领汗衫
tube,"n. 管；电子管；隧道；电视机
vt. 使成管状；把…装管；用管输送
vi. 乘地铁；不及格"
tune,"n. 曲调；和谐；心情
vt. 调整；使一致；为…调音
vi.  调谐；协调"
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
tutor,"n. 导师；家庭教师；助教
vt. 辅导；约束
vi. 当家庭教师；（美）在家庭教师指导下学习"
twin,"n. 双胞胎中一人
adj. 双胞胎的
vt. 使成对
vi. 成对；生双胞胎"
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
typical,adj. 典型的；特有的；象征性的
tyre,"n.  轮胎；轮箍
vt. 装轮胎于"
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
ultimately,adv. 最后；根本；基本上
university,n. 大学；综合性大学；大学校舍
uncover,"vt. 发现；揭开；揭露
vi. 发现；揭示；揭去盖子"
undergo,vt. 经历，经受；忍受
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
undermine,vt. 破坏，渐渐破坏；挖掘地基
underneath,"prep. 在…的下面；在…的形式下；在…的支配下
n. 下面；底部
adj. 下面的；底层的
adv. 在下面；在底下"
undo,"vt. 取消；解开；破坏；扰乱
vi. 撤消"
undoubtedly,adv. 确实地，毋庸置疑的
uneasy,adj. 不舒服的；心神不安的；不稳定的
uneconomic,adj. 不经济的；浪费的
unemployment,n. 失业；失业率；失业人数
unexpected,adj. 意外的，想不到的
unfortunate,adj. 不幸的；令人遗憾的；不成功的
union,n. 联盟，协会；工会；联合
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
unite,"vi. 团结；联合；混合
vt. 使…混合；使…联合；使…团结"
unity,n. 团结；一致；联合；个体
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
unlike,"prep. 和…不同，不像
adj. 不同的，不相似的"
unload,"vt. 卸；摆脱…之负担；倾销
vi. 卸货；退子弹"
upper,adj. 上面的，上部的；较高的
up-to-date,adj. 最新的，最近的；现代的，新式的
upward,"adj. 向上的；上升的
adv. 向上"
urban,adj. 城市的；住在都市的
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
urgent,adj. 紧急的；急迫的
usage,n. 使用；用法；惯例
useless,adj. 无用的；无效的
user,"n. 用户
n. 使用者"
utility,"n. 实用；效用；公共设施；功用
adj. 实用的；通用的；有多种用途的"
utilize,vt. 利用
utmost,"n. 极限；最大可能
adj. 极度的；最远的"
utter,"adj. 完全的；彻底的；无条件的
vt. 发出，表达；发射"
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
vacuum,"n. 真空；空间；真空吸尘器
adj. 真空的；利用真空的；产生真空的
vt. 用真空吸尘器清扫"
vague,adj. 模糊的；含糊的；不明确的；暧昧的
vain,adj. 徒劳的；自负的；无结果的；无用的
vale,"n. 谷；溪谷
int. 再见；再会"
van,"n. 先锋；厢式货车；增值网
vt. 用车搬运"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
vapor,"n. 蒸汽；烟雾
vt. 使……蒸发；使……汽化
vi. 蒸发；吹牛；沮丧"
variable,"n.  变量；可变物，可变因素
adj. 变量的；可变的；易变的，多变的；变异的， 畸变的"
variation,n. 变化； 变异，变种
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
veil,"n. 面纱；面罩；遮蔽物；托词
vt. 遮蔽；掩饰；以面纱遮掩；用帷幕分隔
vi. 蒙上面纱；出现轻度灰雾"
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
verify,vt. 核实；查证
version,n. 版本；译文；倒转术
vertical,"n. 垂直线，垂直面
adj. 垂直的，直立的； 头顶的，顶点的"
vessel,n. 船，舰； 脉管，血管；容器，器皿
veteran,"n. 老兵；老手；富有经验的人；老运动员
adj. 经验丰富的；老兵的"
via,prep. 渠道，通过；经由
vibrate,"vt. 使振动；使颤动
vi. 振动；颤动；摇摆；踌躇"
vice,"prep. 代替
n. 恶习；缺点； 老虎钳；卖淫
adj. 副的；代替的
vt. 钳住"
victim,n. 受害人；牺牲品；牺牲者
video,"n.  视频；录像，录像机；电视
adj. 视频的；录像的；电视的
v. 录制"
videophone,n. 电视电话
viewpoint,n. 观点，看法；视角
vinegar,n. 醋
violate,vt. 违反；侵犯，妨碍；亵渎
violence,n. 暴力；侵犯；激烈；歪曲
violent,adj. 暴力的；猛烈的
violet,"n. 紫罗兰；堇菜；羞怯的人
adj. 紫色的；紫罗兰色的"
violin,n. 小提琴；小提琴手
violinist,n. 小提琴演奏者，小提琴家
virus,n.  病毒；恶毒；毒害
visa,"n. 签证
vt. 签发签证"
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
visual,adj. 视觉的，视力的；栩栩如生的
visualise,"vt. 使…可见；使…具体化（等于visualize）
vi. 想象；显现"
vital,adj. 至关重要的；生死攸关的；有活力的
vitamin,n.  维生素； 维他命
vocabulary,n. 词汇；词表；词汇量
volcano,n. 火山
volt,n. 伏特（电压单位）；环骑；闪避
voltage,n.  电压
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
wagon,"n. 货车，四轮马车
vt. 用运货马车运输货物"
waist,n. 腰，腰部
waken,"vt. 唤醒；使觉醒
vi. 醒来；觉醒"
wallet,n. 钱包，皮夹
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
warmth,n. 温暖；热情；激动
wax,"n. 蜡；蜡状物
adj. 蜡制的；似蜡的
vt. 给…上蜡
vi. 月亮渐满；增大"
weaken,"vt. 减少；使变弱；使变淡
vi. 变弱；畏缩；变软弱"
weapon,n. 武器，兵器
weave,"vi. 纺织；编成；迂回行进
vt. 编织；编排；使迂回前进
n. 织物；织法；编织式样"
web,"n. 网；卷筒纸；蹼；织物；圈套
vt. 用网缠住；使中圈套
vi. 形成网"
website,n. 网站（全球资讯网的主机站）
weed,"n. 杂草，野草；菸草
vt. 除草；铲除
vi. 除草"
weekday,n. 平日，普通日；工作日
weekly,"n. 周刊
adj. 每周的；周刊的；一周一次的
adv. 每周一次；逐周"
weep,"n. 哭泣；眼泪；滴下
vt. 哭泣；流泪；悲叹；流出或渗出液体
vi. 哭泣；流泪；哀悼；滴落；渗出液体"
weird,"n. （苏格兰）命运；预言
adj. 怪异的；不可思议的；超自然的"
weld,"n. 焊接；焊接点
vt. 焊接；使结合；使成整体
vi. 焊牢"
