highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
foundation,n. 基础；地基；基金会；根据；创立
fraud,n. 欺骗；骗子；诡计
friendly exchange,找不到解释
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
gene,n.  基因，遗传因子
genetic,adj. 遗传的；基因的；起源的
gold standard,"n. 金本位制；黄金标准；典范
 金本位制度；金平价；黄金准则"
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
government think-tank,找不到解释
governmental,adj. 政府的；政治的；统治上的
graffiti,n. 墙上乱写乱画的东西（graffito的复数形式）
gross,"n. 总额，总数
adj. 总共的；粗野的；恶劣的；显而易见的
vt. 总共收入"
gross domestic product,"na. 国内生产总值
 国内生产毛额；本地生产总值；国民生产总值"
GDP,abbr. 国内生产总值（Gross Domestic Product）；辉光放电聚合物（Glow Discharge Polymer）
ground force,"n. 地面部队
 陆军；地面力；陆上部队"
handover,n. 移交
handset,n. 手机，电话听筒
hardware,n. 计算机硬件；五金器具
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
hedge funds,n. 对冲基金; 避险基金，对冲基金，套头基金( hedge fund的名词复数 )
heir,n.  继承人；后嗣；嗣子
hideout,n. 隐匿处
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
hold off,"na. 拖延；抵抗(进攻等)；使不接近
 推迟；迟疑；延缓"
hole up,"na. 蛰居洞中；躲藏；安置…在避难处；监禁
 龟缩；藏匿；净胜穴数"
homepage,n. 主页
housing market, 住宅区市场；住房市场；住宅市场
humanitarian,"n. 人道主义者；慈善家；博爱主义者；基督凡人论者
adj. 人道主义的；博爱的；基督凡人论的"
hyperlink,n. 超链接
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
in a row,"na. 成一排；连续
 连续的；一连串；接连"
in faltering economy,找不到解释
industrial output,"un. 工业产值
 工业产出；工业生产统计；工业产量"
infect,vt. 感染，传染
inflict,vt. 造成；使遭受（损伤、痛苦等）；给予（打击等）
inheritance,n. 继承；遗传；遗产
injure,vt. 伤害，损害
ink,"n. 墨水，墨汁；油墨
vt. 签署；涂墨水于"
innovation,n. 创新，革新；新方法
inquiry,n. 探究；调查；质询
install,vt. 安装；任命；安顿
insurgent,"n. 叛乱者；起义者
adj. 叛乱的；起义的"
intangible cultural heritage, 非物质文化遗产；无形文化遗产；无形文化资产
interface,"n. 界面；<计>接口；交界面
v. （使通过界面或接口）接合，连接；使联系
vi. 相互作用（或影响）；交流，交谈"
interim government,"un. 过渡政府
 临时政府；过度政府或临时政府；是什么政府"
international contribution,找不到解释
international situation,"un. 国际局势
 国际形势；国际情势；国际现势"
international waters,"na. 公海
 国际水域；国际海域；国际公海"
Internet,找不到解释
intimidation,n. 恐吓，威胁
intricate,adj. 复杂的；错综的，缠结的
inventory,n. 存货，存货清单；详细目录；财产清册
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
jury,"n.  陪审团；评判委员会
adj. 应急的"
justice,n. 司法，法律制裁；正义；法官，审判员
juvenile,"adj. 青少年的；幼稚的
n. 青少年；少年读物"
kidnapper,n. 绑匪；诱拐者
kiosk,n. 凉亭；公用电话亭；报摊
knock-out system,找不到解释
knowledge economy,"na. 知识经济
 知识科学；知识型经济；知識经济"
lag behind,"na. 落后
 滞后；落在后面；落后于"
laid-off,adj. 被解雇的
lands loss and soil degradation,找不到解释
laptop,n. 膝上型轻便电脑，笔记本电脑
launch pad,"n. （航天器等的）发射平台
 发射台；启动平台；科学原理设计的发射台"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
lawyer,n. 律师；法学家
lay off employees,找不到解释
LCD,abbr. 液晶显示屏（liquid crystal display）
leak,"n. 泄漏；漏洞，裂缝
vt. 使渗漏，泄露
vi. 漏，渗；泄漏出去"
lease,"n. 租约；租期；租赁物；租赁权
vt. 出租；租得
vi. 出租"
legal,adj. 法律的；合法的；法定的；依照法律的
legislation,n. 立法；法律
lens,"n. 透镜，镜头；眼睛中的水晶体；晶状体；隐形眼镜；汽车的灯玻璃
vt. 给……摄影"
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
lip-synching,"对口型
假唱"
log off,"v. 退出
 注销；登出；退出数据库"
log on,"un. 注册
 登录；登陆；登入"
loot,"n. 战利品；抢劫；掠夺品
vt. 抢劫，洗劫；强夺
vi. 洗劫，掠夺；抢劫"
mad cow disease,"na. 疯牛病
 狂牛症；狂牛病；疯牛症"
mandate,"n. 授权；命令，指令；委托管理；受命进行的工作
vt. 授权；托管"
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
maritime resources,海洋资源
marriage lines,"na. 结婚证明书
 结婚证书；装系统"
master key,"n. 万能钥匙
 主密钥；关键；主金钥"
memory,n. 记忆，记忆力；内存， 存储器；回忆
mercy killing,"n. 安乐死；无疼痛致死术
 安乐死术；减少痛苦的处决；仁慈杀害"
merger of states, 国家的合并
milestone,n. 里程碑，划时代的事件
military base,"n. 军事基地
 旧军事基地；兵器开发基地攻略；美国军事基地"
Ministry of Foreign Affairs,"n. 外交部
 中国外交部；日本外务省；马来西亚外交部"
mire,"n. 泥潭； 泥沼
vi. 陷于泥坑；陷入困境
vt. 使陷于泥坑；使陷入困境"
miserable,adj. 悲惨的；痛苦的；卑鄙的
mixed economy,"n. 混合经济（国有与私营企业并存的经济体系）
 混合型经济；混合经济体；混合式经济"
mobilize,"vt. 动员，调动；集合，组织；使…流通；使…松动
vi. 组织；动员起来"
monarchy,n. 君主政体；君主国；君主政治
monetary policy,"un. 金融政策
 货币政策；贷币政策；独立自主的货币政策"
money laundering, 洗钱；洗黑钱；洗黑钱活动
money supply,"n. 货币供应量
 货币供给；货币供给额；货币供给量"
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
monopolize,vt. 垄断；独占；拥有…的专卖权
moral hazard,"na. 道德上的风险
 道德风险；道德危险；道德危机"
mouse,"n. 鼠标；老鼠；胆小羞怯的人
vt. 探出
vi. 捕鼠；窥探"
multimedia,"n. 多媒体
adj. 多媒体的"
municipality,n. 市民；市政当局；自治市或区
murder,"vt. 谋杀，凶杀
n. 谋杀，凶杀
vi. 杀人，犯杀人罪"
music café,找不到解释
mutual recognition, 互相承认；相互承认；共识
national anthem,"n. 国歌
 美国国歌；奏国歌；新加坡国歌演唱"
national survey, 国家调查；国土调查；全国调查
nationalization,n. 国有化；同化，归化
natural disaster,"n. 灾难
 自然灾害；天灾；天然灾害"
negative vote,"n. 反对票
 负票"
nest egg,"n. 备用的钱；储备金
 私房钱；储蓄；养老金"
net worth,"un. 净值
 资本净值；资产净值；净资产"
network,n. 网络；广播网；网状物
neutrality,n. 中立；中性；中立立场
news agency,"n. 通讯社
 新闻社；新闻通讯社；通信社"
news briefing,新闻发布会
news conference,"na. 记者招待会
 新闻发布会；新闻发布会上；记者会"
news flash,"un. 简明新闻；快讯
 最后新闻；新闻快讯；简讯"
nominee,n. 被任命者；被提名的人；代名人
non-tariff barrier,"un. 非关税壁垒
 非关税障碍；非关税贸易障碍；非关税贸易壁垒"
normalization,n. 正常化；标准化；正规化；常态化
nosedive,"vi. 俯冲；暴跌；突然变坏
n. （价格等的）急降，暴跌；（飞机的）俯冲；（名声）低落；（情况）突然变坏"
null and void,"na. 无效；失效；无效(的)
 无效的；宣告无效；作废"
off-hour hobby,找不到解释
off-the-job training,"un. 脱产培训
 脱产训练；脱岗培训；职外训练"
on site,"un. 现场的；就地
 在现场；现场测试；现场技术支持"
on standby,"un. 等退票
 待命；待命状态；处于待命状态"
on the throne,找不到解释
online,"adj. 联机的；在线的
adv. 在线地"
on-the-job training,岗位培训
on-the-spot broadcasting,找不到解释
operating system,"n. （计算机）操作系统
 作业系统；控制系统；计算机操作系统"
opinion poll,"na. 民意测验
 民意浏验；民意调查；名义调查民意调查"
optimization,n. 最佳化，最优化
ordeal,n. 折磨；严酷的考验；痛苦的经验
origin,n. 起源；原点；出身；开端
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
outlaw,"n. 歹徒；罪犯；亡命之徒；被剥夺法律保护者
vt. 宣布…为不合法；将…放逐；剥夺…的法律保护"
overheating,"n.  过热
v.  过热（overheat的ing形式）"
overpass,"vt. 超越；胜过；忽略
n. 天桥；陆桥"
overseas student,"n. 外国留学生
 海外学生；外国学生；海外留学生"
overstaff,vt. 为…配备人员过多
overthrow,"n. 推翻；倾覆；瓦解
vt. 推翻；打倒；倾覆"
parade,"n. 游行；阅兵；炫耀；行进；阅兵场
vt. 游行；炫耀；列队行进
vi. 游行；炫耀；列队行进"
paralyzed,"v. 使麻痹；使无力；使失去勇气（paralyze的过去分词）
adj. 瘫痪的；麻痹的"
parliamentary election, 议会选举；国会选举；国会议员选举
parliamentary monarchy, 议会君主制；议会君主立宪制；议会制君主立宪制
password,n. 密码；口令
patrol,"n. 巡逻；巡逻队；侦察队
vt. 巡逻；巡查
vi. 巡逻；巡查"
peace saboteur,找不到解释
penal,adj. 刑事的；刑罚的
penalty,n. 罚款，罚金；处罚
perch,"n. 鲈鱼; 高位；栖木；杆
vt. 栖息；就位；位于；使坐落于
vi. 栖息；就位；位于"
permanent member,"un. 永久成员
 常任理事国；常任理事成员；永久会员"
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
pilgrimage,"n. 漫游；朝圣之行
vi. 朝拜；漫游"
play down,"na. (迎合对方的意思)放低语气  减弱；轻描淡写
 贬低；淡化；降低"
play up,"na. 勇敢行动；越发使劲弹奏；(比赛等时)奋战；逗弄
 加油；大肆渲染；大肆宣传"
policymaker,n. 政策制定者；决策人
polling station,"n. 投票站；投票点
 投票所；是您去投票的地点；轮询"
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
portal,n. 大门，入口
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
power plant,"n. 发电厂；发电站
 动力装置；动力厂；发动机"
power struggle,"n. 权力斗争
 权力争夺；政权斗争；权力挣扎"
preemptive,adj. 优先购买的；先发制人的；有先买权的
premature,"n. 早产儿；过早发生的事物
adj. 早产的；不成熟的；比预期早的"
price index,"n. 物价指数
 价格指数；普赖斯指数；股价指数"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
prison,"n. 监狱；监禁；拘留所
vt. 监禁，关押"
prisoner,n. 囚犯，犯人；俘虏；刑事被告
procedure,n. 程序，手续；步骤
processor,n.  处理器；处理程序；加工者
procurement,n. 采购；获得，取得
profitable,adj. 有利可图的；赚钱的；有益的
profiteering,"n. 暴利；不正当利益
v. 获暴利（profiteer的ing形式）
adj. 牟取暴利的"
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
prop up,"na. (把…)撑住；给…撑腰
 支撑；支持；给……撑腰"
prosecutor,n. 检察官；公诉人； 起诉人；实行者
protectorate,n. 保护国；摄政政体；摄政职位；摄政任期
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
protest vote,n. 抗议性投票（对一贯支持的政党投出的反对票）
pull out,"na. 拔(牙等)；把船划出；(车,船等)开出；(人)出发
 拔出；驶出；抽出"
ratio,n. 比率，比例
rational,"n. 有理数
adj. 合理的；理性的"
reciprocal trade agreement,互惠贸易协议，互惠贸易协定
reconstruction,n. 再建，重建；改造；复兴
red tape,"n. 繁文缛节；原指扎文件的红带
 官僚习气；官样文章；官僚作风"
refugee camp, 难民营；难展营；兵营
refugee,n. 难民，避难者；流亡者，逃亡者
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
relevance,n. 关联；适当；中肯
relic,n. 遗迹，遗物；废墟；纪念物
religious taboo,找不到解释
remains,n. 残余；遗骸
remittance,n. 汇款；汇寄之款；汇款额
republic,n. 共和国；共和政体
rescue,"n. 营救；援救；解救
vt. 营救；援救"
rescue plan, 救助计划；救援计划
rescue team, 救援小组；救援队；抢险救援队
restriction,n. 限制；约束；束缚
revenue,n. 税收，国家的收入；收益
revolution,n. 革命；旋转；运行；循环
riot,"n. 暴乱；放纵；蔓延
vt. 浪费，挥霍
vi. 骚乱；放荡"
robot,n. 机器人；遥控设备，自动机械；机械般工作的人
rubble,n. 碎石，碎砖；粗石堆
ruins,"n. 遗迹（ruin的复数形式）；废墟
v. 毁灭（ruin的三单形式）"
ruler,n. 尺；统治者； 划线板，划线的人
sabotage,"n. 破坏；破坏活动；怠工
vt. 妨害；对…采取破坏行动
vi. 从事破坏活动"
scanner,n.  扫描仪；扫描器；光电子扫描装置
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
scrabble,"n. 一种拼字游戏；抓；摸索；挣扎；涂鸦
vt. 在…上乱涂；在…上乱扒
vi. 扒寻；摸索；挣扎；乱涂"
sensor,n. 传感器
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
set a goal of,vi.制订目标
