agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
parliamentarism,n. 议会政治，议会制度
protectionism,n. 保护主义，贸易保护主义；贸易保护制度
deaf-mutism,"n. 聋哑状态
 聋哑症"
morphinism,n. 慢性吗啡中毒，吗啡瘾
rheumatism,n.  风湿病
iodism,n. 碘中毒
alcoholism,n. 酗酒； 酒精中毒
albinism,n.  白化病；皮肤变白症
patriotism,n. 爱国主义；爱国心，爱国精神
journalism,n. 新闻业，新闻工作；报章杂志
organism,n. 有机体；生物体；微生物
progressivism,n. 进步主义；革新论
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
communist,"n. 共产党员；共产主义者
adj. 共产主义的"
materialist,n. 唯物主义者；实利主义者
socialist,"n. 社会主义者；社会党党员
adj. 社会主义的"
naturalist,"n. 自然主义者；博物学者；（英）动物标本剥制者；买卖玩赏动物的商人
adj. 自然的（等于naturalistic）；自然主义的；博物学的"
nationalist,"n. 民族主义者；国家主义者；民族独立主义者
adj. 民族主义的（等于nationalistic）；国家主义的；民族独立主义的"
imperialist,"n. 帝国主义者
adj. 帝国主义的"
collectivist,"n. 集体主义者
adj. 集体主义的"
extremist,n. 极端主义者，过激分子
artist,n. 艺术家；美术家（尤指画家）；大师
tobacconist,n. （主英）烟草商；烟草制品零售商
scientist,n. 科学家
chemist,n. 化学家；化学工作者；药剂师；炼金术士
typist,n. 打字员，打字者
copyist,n. 抄写员；抄袭者
novelist,n. 小说家
motorist,n. 驾车旅行的人，开汽车的人
violinist,n. 小提琴演奏者，小提琴家
druggist,n. 药剂师；药商；（美）药房老板（兼营化妆品、文具、牙膏、漱口剂、香烟等杂货的）
physicist,n. 物理学家；唯物论者
moralist,n. 道德家；伦理学者
dentist,"n. 牙科医生
牙医诊所"
progressist, 进步分子，革新主义者，进步党派的成员
communist,"n. 共产党员；共产主义者
adj. 共产主义的"
materialist,n. 唯物主义者；实利主义者
socialist,"n. 社会主义者；社会党党员
adj. 社会主义的"
nationalist,"n. 民族主义者；国家主义者；民族独立主义者
adj. 民族主义的（等于nationalistic）；国家主义的；民族独立主义的"
Marxist,"n. 马克思主义者
adj. 马克思主义的"
capitalist,"n. 资本家；资本主义者
adj. 资本主义的；资本家的"
palmister,n. 看手相者
chorister,n. 唱诗队指挥；唱诗班歌手
sophister,n. 大学的二（三）年级学生，诡辨家
colouristic,"a. 色彩的, 用色的"
artistic,adj. 艺术的；风雅的；有美感的
simplistic,adj. 过分简单化的；过分单纯化的
humanistic,adj. 人文主义的；人道主义的
humoristic,"a. 幽默的, 诙谐的"
realistic,adj. 现实的；现实主义的；逼真的；实在论的
idealistic,adj. 理想主义的；唯心论的；唯心主义者的；空想家的
antagonistic,adj. 敌对的；对抗性的；反对的
futuristic,adj. 未来派的；未来主义的
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
fatalistic,adj. 宿命论的
novelistic,adj. 小说的
artistical,adj. 美术（家）的; 艺术（家）的; 富有艺术创造力的; 艺术性强的
antagonistical,"a. 对抗(性)的, 有反作用的, 敌对(性)的"
atomistical,a. 原子的；☉原子说的
Buddhistical,"a. 佛陀的, 佛教的"
idealistical,找不到解释
egoistical,adj. 自我中心的，自私自利的，利己主义的
theistical,"a. 有神论的, 一神论者的, 一神论的, 有神论者的"
linguistical,adj. 语言上的，语言学上的
bandit,n. 强盗，土匪；恶棍；敲诈者
Jesuit,找不到解释
hermit,n. （尤指宗教原因的）隐士；隐居者
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
pursuit,n. 追赶，追求；职业，工作
unit,n. 单位，单元；装置； 部队；部件
plaudit,n. 喝彩；赞美
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
deficit,n. 赤字；不足额
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
orbit,"n. 轨道；眼眶；势力范围；生活常规
vi. 盘旋；绕轨道运行
vt. 绕…轨道而行"
suburbanite,n. 郊区居民
Islamite,n. 伊斯兰教徒
socialite,n. 社会名流
Israelite,找不到解释
Tokyoite,n. 东京市民
Labourite,找不到解释
Muscovite,"n. 俄国人；莫斯科居民
adj. 俄国人的；莫斯科居民的"
favorite,"n. 幸运儿；喜欢的事物；特别喜欢的人
adj. 最喜爱的；中意的；宠爱的"
computerite,"n. 电脑技术人员, 电脑迷"
bedlamite,"n. 疯子
adj. 疯狂的；疯子似的"
Yemenite,"n. 也门人
adj. 也门的；也门人的"
negroite,找不到解释
partite,"adj. 分裂的，深裂的
n. 变奏曲，组曲( partita的名词复数 )"
definite,adj. 一定的；确切的
composite,"n. 复合材料；合成物；菊科
adj. 复合的；合成的；菊科的
vt. 使合成；使混合"
polite,adj. 有礼貌的，客气的；文雅的；上流的；优雅的
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
erudite,"n. 饱学之士
adj. 博学的；有学问的"
exquisite,"n. 服饰过于讲究的男子
adj. 精致的；细腻的；优美的，高雅的；异常的；剧烈的"
unite,"vi. 团结；联合；混合
vt. 使…混合；使…联合；使…团结"
ignite,"vt. 点燃；使燃烧；使激动
vi. 点火；燃烧"
expedite,"vt. 加快；促进；发出
adj. 畅通的；迅速的；方便的"
supposition,n. 假定；推测；想像；见解
competition,n. 竞争；比赛，竞赛
proposition,"n.  命题；提议；主题；议题
vt. 向…提议；向…求欢"
addition,n. 添加； 加法；增加物
opposition,n. 反对；反对派；在野党；敌对
imbibition,n. 吸入，吸取; 吸液
exposition,n. 博览会；阐述；展览会
partition,"n. 划分，分开； 分割；隔墙；隔离物
vt.  分割；分隔；区分"
composition,n. 作文，作曲，作品； 构成；合成物；成分
recognition,n. 识别；承认，认出；重视；赞誉；公认
audition,"n. 听力，听觉；试听
vt. 对…进行面试；让…试唱
vi. 试听；试音"
dentition,n. 齿列；生齿； 齿系
erudition,n. 博学；学识
aglutition, 吞咽不能
inanition,n. 空虚；营养不足；死气沉沉
perdition,n. 毁灭，破灭；地狱
suppositious,adj. 假定的，假设的
factitious,adj. 人为的，人工的；不自然的；虚假的
expeditious,adj. 迅速的；敏捷的
cementitious,adj. 胶结的，有粘结性的；似水泥的
nutritious,adj. 有营养的，滋养的
adventitious,adj. 外来的，偶然的
fictitious,adj. 虚构的；假想的；编造的；假装的
compositive,adj. 合成的，综合的
competitive,adj. 竞争的；比赛的；求胜心切的
suppositive,"adj. 想象的，假定的
n. 假定（连）词，假设词"
partitive,"n. 表示部分的词
adj. 区分的；表示部分的"
punitive,adj. 惩罚性的；刑罚的
additive,"n. 添加剂，添加物
adj. 附加的； 加法的"
definitive,"n. 限定词
adj. 决定性的；最后的；限定的"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
servitor,n. 仆人，随从
competitor,n. 竞争者，对手
compositor,n.  排字工人
progenitor,n. 祖先；原著；起源
expositor,n. 解释者；说明者；评注者
janitor,"n. 看门人；守卫；门警
n. 清洁工"
correctitude,n. 端正；得体
servitude,n. 劳役，奴役；地役权；奴隶状态
exactitude,n. 正确，精确；严格，规规矩矩
promptitude,n. 敏捷，迅速
similitude,n. 相似；外表；比拟
amplitude,n. 振幅；丰富，充足；广阔
longitude,n.  经度；经线
aptitude,n. 天资；自然倾向；适宜
latitude,n. 纬度；界限；活动范围
solitude,n. 孤独；隐居；荒僻的地方
gratitude,n. 感谢（的心情）；感激
plenitude,n. 充分；丰富；大量
speciality,n. 专业，专长；特性
familiarity,n. 熟悉，精通；亲密；随便
humanity,n. 人类；人道；仁慈；人文学科
popularity,n. 普及，流行；名气；受大众欢迎
equality,n. 平等；相等； 等式
complexity,n. 复杂，复杂性；复杂错综的事物
reality,n. 现实；实际；真实
generality,n. 概论；普遍性；大部分
futurity,n. 未来；来世；后世的人
extremity,n. 极端；绝境；非常手段；手足
modernity,n. 现代性；现代的东西；新式
fixity,n. 固定性，不变性；固定物
mutuality,n. 相互关系，相关；亲密
immensity,n. 巨大；无限；广大
perplexity,n. 困惑；混乱
fluidity,n.  流动性；流质；易变性
educative,adj. 教育的，教育上的
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
protective,adj. 防护的；关切保护的；保护贸易的
amusive,adj. 有趣的，愉快的
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
constructive,adj. 建设性的；推定的；构造上的；有助益的
preventive,"n. 预防药；预防法
adj. 预防的，防止的"
attractive,adj. 吸引人的；有魅力的；引人注目的
purposive,adj. 有目的的；故意的
selective,"adj. 选择性的
讲究的
有选择地
有选择性地
仔细挑选地"
resistive,adj. 有抵抗力的
expensive,adj. 昂贵的；花钱的
creative,adj. 创造性的
detective,"n. 侦探
adj. 侦探的"
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
locomotive,"adj. 火车头的；运动的；移动的
n. 机车；火车头"
anticorrosive,adj. 防蚀的; 防腐
explosive,"n. 炸药；爆炸物
adj. 爆炸的；爆炸性的；爆发性的"
preventive,"n. 预防药；预防法
adj. 预防的，防止的"
directive,"n. 指示；指令
adj. 指导的；管理的"
olive,"n. 橄榄；橄榄树；橄榄色
adj. 橄榄的；橄榄色的"
adhesive,"n. 粘合剂；胶黏剂
adj. 粘着的；带粘性的"
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
perspective,"n. 观点；远景；透视图
adj. 透视的"
subjunctive,"n. 虚拟语气
adj. 虚拟的；虚拟语气的"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
productivity,n. 生产力；生产率；生产能力
selectivity,n. 选择性；分离性；选择度
creativity,n. 创造力；创造性
resistivity,n.  电阻率；抵抗力；电阻系数
collectivity,n. 集体；集体主义
relativity,n. 相对论；相关性；相对性
activity,n. 活动；行动；活跃
expressivity,n. 表达性；善于表达；基因的表现度
conductivity,n. 导电性； 传导性
captivity,n. 囚禁；被关
modernization,n. 现代化
realization,n. 实现；领悟
industrialization,n. 工业化
economization,n. 节约；经济化
mechanization,n. 机械化；机动化
centralization,n. 集中化；中央集权管理
normalization,n. 正常化；标准化；正规化；常态化
popularization,n. 通俗化，大众化；普及
revolutionization, 革命化
organization,n. 组织；机构；体制；团体
modernize,"vt. 使…现代化
vi. 现代化"
realize,vt. 实现；认识到；了解；将某物卖得，把(证券等)变成现钱；变卖
industrialize,"vt. 使工业化
vi. 实现工业化"
economize,"vi. 节约，节省；有效地利用
vt. 节约，节省；有效地利用"
mechanize,vt. 使机械化；机动化；用机械装置
centralize,"vt. 使集中；使成为…的中心；使集权
vi. 集中；实行中央集权"
normalize,vt. 使正常化；使规格化，使标准化
popularize,"vt. 普及；使通俗化
vi. 通俗化"
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
revolutionize,"vt. 发动革命；彻底改革；宣传革命
vi. 革命化；从事革命"
ladykin,n. 小妇人，小女人
manikin,n. 侏儒；时装模特，人体模特
lambkin,n. 小羊; 好孩子; 乖乖; 宝贝
devilkin,n. 小鬼，小魔鬼
princekin,n. 幼主，小王子
cannikin,n. 小杯；小罐
pannikin,n. 小盘，小锅，酒杯
napkin,n. 餐巾；餐巾纸；尿布
winkle,"n. 食用螺
vt. 剔出；费劲找出
vi. 闪耀"
jingle,"n. 叮当声；节拍十分规则的简单诗歌
v. （使）叮当作响；具有简单而又引人注意的韵律"
twinkle,"n. 闪烁
vt. 使闪耀；闪耀
vi. 闪烁；发亮"
tinkle,"n. 叮当声
vt. 使发清脆的声响
vi. 发叮当声"
wriggle,"vt. 使蠕动；蠕动到；不知不觉地潜入
vi. 蠕动；蜿蜒而行
n. 蠕动；扭动"
sizzle,"n. 嘶嘶声
vt. 把…烧得发嘶嘶声
vi. 发嘶嘶声"
joggle,"vt. 啮合；摇动，摇曳；轻摇
vi. 啮合；摇动，摇曳；摇曳
n. 啮合；轻摇，摇动；榫接"
gurgle,"n. 咯咯声；汩汩声
vt. 用咯咯声表示
vi. 作汩汩声；作咯咯声"
darkle,vi. 潜藏在暗中，呈显黑色，变暗
sparkle,"n. 闪耀；火花；活力
vt. 使闪耀；使发光
vi. 闪耀；发泡；活跃"
speckle,"n. 斑点
vt. 弄上斑点；点缀"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
thimble,n. 顶针；套管；嵌环
spindle,"n. 轴；纺锤，锭子；细长的人或物
adj. 锭子的，锭子似的；细长的
vt. 装锭子于
vi. 长得细长，变细长"
shuttle,"n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等
vt. 使穿梭般来回移动；短程穿梭般运送
vi. 穿梭往返"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
girdle,"n. 腰带；围绕物；妇女紧身褡
vt. 围绕；绕…而行；用带子捆扎"
stopple,"n. 塞子
vt. 用塞子塞住"
homeless,"adj. 无家可归的
无家可归的人
无家可归"
sleepless,adj. 失眠的；不休息的；警觉的；永不停息的
useless,adj. 无用的；无效的
tireless,adj. 不知疲倦的；不疲劳的
colourless,adj. 无色的；不生动的；颜色黯淡的
ceaseless,adj. 不断的；不停的
hopeless,adj. 绝望的；不可救药的
countless,adj. 无数的；数不尽的
waterless,adj. 无水的；干的；不用水的，不需水的
fruitless,adj. 不成功的，徒劳的；不结果实的
rootless,adj. 无根的；无根据的；无所寄托的
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
jobless,"adj. 失业的，无业的；（关于）失业者的
n. 失业者"
restless,adj. 焦躁不安的；不安宁的；得不到满足的
