accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
quarter-century, 四分之一世纪
far-reaching,adj. 深远的；广泛的；伸至远处的
seriousness,n. 严重性；严肃；认真
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
criticism,n. 批评；考证；苛求
considerable,adj. 相当大的；重要的，值得考虑的
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
collection,n. 采集，聚集； 征收；收藏品；募捐
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
general-circulation daily,找不到解释
the turn of the ... century,找不到解释
dirt cheap,"adj. 极便宜的
adv. 极便宜地
 非常便宜；便宜透顶；特别便宜"
stylish,adj. 时髦的；现代风格的；潇洒的
journalism,n. 新闻业，新闻工作；报章杂志
calling,"n. 职业；欲望；点名；召集；邀请
v. 召；呼唤（call的现在分词）；称之为"
daily press,找不到解释
literary,adj. 文学的；书面的；精通文学的
gift,"n. 礼物；天赋；赠品
vt. 赋予；向…赠送"
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
stylist,n. 设计师；文体学家
best-seller,n. 畅销书；畅销唱片
be knighted, 拜爵
in print,"na. 已出版的；(书等)在出售中的；(书等)尚有供应的
 在印刷中；印出来；在销售中"
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
revival,n. 复兴；复活；苏醒；恢复精神；再生效
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
journalistic,adj. 新闻业的，新闻工作者的
postmodern,adj. 后现代的
upholstered,adj. 装上软垫的；经过布置的
prose,"n. 散文；单调
adj. 散文的；平凡的；乏味的
vt. 把…写成散文
vi. 写散文；乏味地讲话"
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
unusually informed,找不到解释
persuasive,adj. 有说服力的；劝诱的，劝说的
well connected,"adj. 与达官豪富有亲友关系的；社会关系强固的
 关系非常好的；连接良好；连接在一起"
intuitively,adv. 直观地；直觉地
supposed,"v. 假定（suppose的过去分词）
adj. 假定的；被信以为真的；想象上的"
plausible-sounding, 听起来可行的的；貌似合理
theory,n. 理论；原理；学说；推测
communication,n. 通讯， 通信；交流；信函
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
popularity,n. 普及，流行；名气；受大众欢迎
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
researcher,n. 研究员
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
argument,n. 论证；论据；争吵；内容提要
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
celebrity,n. 名人；名声
interpersonal,adj. 人际的；人与人之间的
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
acquaintance,n. 熟人；相识；了解；知道
in turn,"na. 挨次
 依次；轮流；反过来"
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
prove,"vi. 证明是
vt. 证明；检验；显示"
propagate,"vt. 传播；传送；繁殖；宣传
vi. 繁殖；增殖"
simulation,n. 仿真；模拟；模仿；假装
manipulate,vt. 操纵；操作；巧妙地处理；篡改
variable,"n.  变量；可变物，可变因素
adj. 变量的；可变的；易变的，多变的；变异的， 畸变的"
tendency,n. 倾向，趋势；癖好
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
global,adj. 全球的；总体的；球形的
network,n. 网络；广播网；网状物
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
director,n. 主任，主管；导演；人事助理
talk,"n. 谈话；演讲；空谈
vi. 谈话；说闲话
vt. 说；谈话；讨论"
announcement,n. 公告；宣告；发表；通告
appointment,n. 任命；约定；任命的职位
response,n. 响应；反应；回答
favorable,adj. 有利的；良好的；赞成的，赞许的；讨人喜欢的
sober-sided,"音节分段：so.ber-sid.ed; AHD音标：s?“b…r-so“d1d; 国际音标：6s*&b*6sa!d!d; 美国音标：6sob+6sa!d!d; Devoid of extreme qualities, such as exaggeration; sober.; 继承用法："
critic,n. 批评家，评论家；爱挑剔的人
air,"n. 空气，大气；天空；样子；曲调
vt. 使通风，晾干；夸耀
vi. 通风"
conductor,n. 导体；售票员；领导者；管理人
description,n. 描述，描写；类型；说明书
orchestra,n. 管弦乐队；乐队演奏处
composition,n. 作文，作曲，作品； 构成；合成物；成分
devoted,"v. 献身于…；致力于…（devote的过去分词）
adj. 献身的；忠诚的"
reply,"n. 回答； 答辩
vt. 回答；答复
vi. 回答； 答辩；回击"
recording,"n. 录音；唱片
v. 录音；记录；录像（record的ing形式）
adj. 记录的；记录用的"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
compete with,"v. 竞争
 与……竞争；与…抗争；高下"
museum,n. 博物馆
performance,n. 性能；绩效；表演；执行；表现
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
widespread,adj. 普遍的，广泛的；分布广的
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
traditional,adj. 传统的；惯例的
concert,"n. 音乐会；一致；和谐
adj. 音乐会用的；在音乐会上演出的
vt. 使协调；协同安排
vi. 协调；协力"
attractive,adj. 吸引人的；有魅力的；引人注目的
vibrant,adj. 振动的；充满生气的；响亮的；战栗的
organization,n. 组织；机构；体制；团体
audience,n. 观众；听众；读者；接见；正式会见；拜会
insightful,adj. 有深刻见解的，富有洞察力的
provocative,"n. 刺激物，挑拨物；兴奋剂
adj. 刺激的，挑拨的；气人的"
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
chatter,"n. 唠叨；饶舌；（动物的）啁啾声；潺潺流水声
vt. 喋喋不休地说；使卡嗒卡嗒作声
vi. 唠叨；喋喋不休；（动物等）吱吱叫"
rearing,"n. 饲养；养育；抚养
v. 抚养；建立（rear的ing形式）；竖起"
fulfilling,adj. 令人满意的；能实现个人抱负的；令人高兴的
redefine,vt. 重新定义
mood,n. 情绪，语气；心境；气氛
intense,adj. 强烈的；紧张的；非常的；热情的
gratification,n. 满意；喜悦；使人满意之事
delight,"n. 高兴
vt. 使高兴
vi. 高兴"
magazine cover,找不到解释
cute,adj. 可爱的；漂亮的；聪明的，伶俐的
adoptive,adj. 采用的；有收养关系的
pregnant,adj. 怀孕的；富有意义的
society,n. 社会；交往；社团；社交界
persistently,adv. 坚持地；固执地
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
procreation,n. 生殖；生产
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
be equivalent to,"na. 等于；相当于
 等价于；等效；与…相当"
regret,"n. 遗憾；抱歉；悲叹
vi. 感到后悔；感到抱歉
vt. 后悔；惋惜；哀悼"
be provoked to do,找不到解释
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
be bothered with,找不到解释
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
unrealistic,adj. 不切实际的；不实在的
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
dumb,adj. 哑的，无说话能力的；不说话的，无声音的
glamorous,adj. 迷人的，富有魅力的
stress-free,adj. 无压力的；无应力
subconscious,"n. 潜在意识；下意识心理活动
adj. 潜意识的；下意识的"
dissatisfaction,n. 不满；令人不满的事物
whispered,"adj. 低声的；耳语的
v. 窃窃私语（whisper的过去分词）；低声地说"
invitation,n. 邀请；引诱；请帖；邀请函
forcing,"n. 强迫
v. 强迫（force的变形）；强制
adj. 强迫的；强制的；施加压力的"
peer pressure, 同侪压力；同伴压力；同辈压力
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
prevention,n. 预防；阻止；妨碍
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
perceptive,adj. 感知的，知觉的；有知觉力的
observer,n. 观察者； 观测者；遵守者
critique,"n. 批评；评论文章
vt. 批判；评论"
lameness,n. 跛；残废；僵而疼痛的
spot-on,"adj. 准确的；恰好的
adv. 准确地；恰好地"
mobilize,"vt. 动员，调动；集合，组织；使…流通；使…松动
vi. 组织；动员起来"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
psychology,n. 心理学；心理状态
billboard,"n. 广告牌；布告板
vt. 宣传；介绍"
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
aim at,"v. 目的在于
 瞄准；针对；旨在"
fit in, 有地方容纳; 有时间从事（某事）; 有时间接待（某人）; 相处融洽
convincingly,adv. 令人信服地；有说服力地
take a page from,找不到解释
be skilled at, 政客和商人尤其擅长；善于；精通
effectiveness,n. 效力
be filled with, 充满；装满；充满着
exploration,n. 探测；探究；踏勘
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
glaring,adj. 耀眼的；瞪视的；炯炯的
funding,"n. 提供资金；用发行长期债券的方法来收回短期债券
v. 提供资金；积存（fund的ing形式）"
lasting,"adj. 持久的；永恒的
n.  厚实斜纹织物
v. 持续；维持（last的ing形式）"
exert,vt. 运用，发挥；施以影响
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
behavior,n. 行为，举止；态度；反应
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
via,prep. 渠道，通过；经由
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
unconsciously,adv. 不知不觉；无意识地
imitate,vt. 模仿，仿效；仿造，仿制
bureaucrat,n. 官僚；官僚主义者
virtuous,adj. 善良的；有道德的；贞洁的；正直的；有效力的
troublemaker,n. 捣乱者，闹事者；惹麻烦的人
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
engineer,"n. 工程师；工兵；火车司机
vt. 设计；策划；精明地处理
vi. 设计；建造"
insist on,"v. 坚持；强调
 坚决要求；坚持要；坚持认为"
U.S. Court of Appeals for the Federal Circuit,找不到解释
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
right,"n. 正确；右边；正义
adj. 正确的；直接的；右方的
vt. 纠正
adv. 正确地；恰当地；彻底地
vi. 复正；恢复平稳"
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
Supreme Court,找不到解释
lobbying,"n. 游说
v. 进行游说（lobby的ing形式）；对议员进行游说以影响其投票"
congress,n. 国会；代表大会；会议；社交
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
commissioner,n. 理事；委员；行政长官；总裁
political,adj. 政治的；党派的
commitment,n. 承诺，保证；委托；承担义务；献身
federal court,"na. 联邦法院
 联邦法庭；法院体系的；美国联邦法院"
regulator,n. 调整者；监管者；校准器
legislature,n. 立法机关；立法机构
senate,n. 参议院，上院；（古罗马的）元老院
government,n. 政府；政体；管辖
regulatory,adj. 管理的；控制的；调整的
authority,n. 权威；权力；当局
valid,adj. 有效的；有根据的；合法的；正当的
trade unionist,"n. 工会会员
 工团主义者；工会主义者；他们接著又对付贸易联合会"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
civil servant,"n. 公务员；政府官员
 文职人员；文官；行政能力倾向测试是公务员"
sector,"n. 部门；扇形，扇区；象限仪；函数尺
vt. 把…分成扇形"
politics,n. 政治，政治学；政治活动；政纲
Labour Party,找不到解释
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
patrol,"n. 巡逻；巡逻队；侦察队
vt. 巡逻；巡查
vi. 巡逻；巡查"
politician,n. 政治家，政客
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
