ditch,"n. 沟渠；壕沟
vt. 在…上掘沟；把…开入沟里；丢弃
vi. 开沟；掘沟"
jolly,"adj. 愉快的；欢乐的；宜人的
adv. 很；非常
vt. （口）用好话劝某人做…；（口）用好话使高兴
vi. （口）开玩笑"
rejoice,"vi. 高兴；庆祝
vt. 使高兴"
junction,n. 连接，接合；交叉点；接合点
conjunction,n. 结合； 连接词；同时发生
knit,"vi. 编织；结合；皱眉
vt. 编织；结合
n. 编织衣物；编织法"
knot,"n. （绳等的）结；节瘤，疙瘩；海里/小时（航速单位）
vt. 打结
vi. 打结"
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
lacking,"adj. 缺乏的；没有的；不足的
v. 缺少；不足（lack的ing形式）"
language,n. 语言；语言文字；表达能力
linguistic,adj. 语言的；语言学的
lingual,"adj. 语言的；舌的，舌音的
n. 舌音，舌音字"
law,"n. 法律；规律；法治；法学；诉讼；司法界
vi. 起诉；控告
vt. 控告；对…起诉"
lawful,adj. 合法的；法定的；法律许可的
unlawful,adj. 非法的；私生的
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
leader,n. 领导者；首领；指挥者
leadership,n. 领导能力；领导阶层
leading,"adj. 领导的；主要的
n. 领导；铅板；行距
v. 领导（lead的ing形式）"
mislead,vt. 误导；带错
leaf,"n. 叶子；（书籍等的）一张；扇页
vi. 生叶；翻书页
vt. 翻…的页，匆匆翻阅"
leaflet,n. 小叶；传单
left,"adj. 左边的；左派的；剩下的
adv. 在左面
n. 左边；左派；激进分子
v. 离开（leave的过去式）"
leftist,"n. 左派；急进派；左翼的人；左撇子
adj. 左派的；左撇子的；急进派的"
like,"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像"
likelihood,n. 可能性，可能
likewise,adv. 同样地；也
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
linking,"n. 连接；耦合
v. 链接（link的ing形式）"
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
liquor,"n. 酒，含酒精饮料；溶液；液体；烈酒
vi. 喝酒，灌酒
vt. 使喝醉"
list,"n.  列表；清单；目录
vi. 列于表上
vt. 列出；记入名单内"
enlist,"vt. 使入伍；征募；谋取…的赞助或帮助
vi. 支持；从军；应募；赞助"
load,"n. 负载，负荷；工作量；装载量
vi.  加载；装载；装货
vt. 使担负；装填"
unload,"vt. 卸；摆脱…之负担；倾销
vi. 卸货；退子弹"
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
locality,n. 所在；位置；地点
location,n. 位置（形容词locational）；地点；外景拍摄场地
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
loose,"adj. 宽松的；散漫的；不牢固的；不精确的
vt. 释放；开船；放枪
vi. 变松；开火
adv. 松散地
n. 放纵；放任；发射"
loosely,adv. 宽松地；放荡地；轻率地
loosen,"vt. 放松；松开
vi. 放松；松开"
lord,"n. 主；上帝
int. 主，天啊
vt. 使成贵族
vi. 作威作福，称王称霸"
lordship,n. 阁下；贵族身分（或权威）；统治
lot,"n. 份额；许多；命运；阄
adv. （与形容词和副词连用）很，非常；（与动词连用）非常
pron. 大量，许多
vt. 分组，把…划分（常与out连用）；把（土地）划分成块
vi. 抽签，拈阄"
lottery,n. 彩票；碰运气的事，难算计的事；抽彩给奖法
low,"adj. 低的，浅的；卑贱的；粗俗的；消沉的
adv. 低声地；谦卑地，低下地
n. 低；低价；低点；牛叫声
vi. 牛叫"
lower,"vt. 减弱，减少；放下，降下；贬低
vi. 降低；减弱；跌落
adj. 下游的；下级的；下等的"
lower,"vt. 减弱，减少；放下，降下；贬低
vi. 降低；减弱；跌落
adj. 下游的；下级的；下等的"
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的"
magical,adj. 魔术的；有魔力的
magician,n. 魔术师，变戏法的人
magnet,n. 磁铁； 磁体；磁石
magnetic,adj. 地磁的；有磁性的；有吸引力的
magnetism,n. 磁性，磁力；磁学；吸引力
maid,"n. 女仆；少女
vt. 侍候；做新娘的女傧相
vi. 当女仆"
maiden,"adj. 未婚的，处女的；初次的
n. 少女；处女"
male,"adj. 男性的；雄性的；有力的
n. 男人；雄性动物"
masculine,"adj. 男性的；阳性的；男子气概的
n. 男性；阳性，阳性词"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
management,n. 管理；管理人员；管理部门；操纵；经营手段
manager,n. 经理；管理人员
managerial,adj.  管理的；经理的
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
submarine,"n. 潜水艇；海底生物
adj. 海底的；水下的
vt. 用潜水艇攻击
vi. 在下疾行；在下滑动"
marry,"vt. 嫁；娶；与……结婚
vi. 结婚"
marital,adj. 婚姻的；夫妇间的
marvel,"n. 奇迹
vt. 对…感到惊异
vi. 感到惊讶"
marvelous,adj. 了不起的；非凡的；令人惊异的；不平常的
marvellous,adj. 不可思议的；惊人的
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
premature,"n. 早产儿；过早发生的事物
adj. 早产的；不成熟的；比预期早的"
meditate,"vt. 考虑；计划；企图
vi. 冥想；沉思"
meditation,n. 冥想；沉思，深思
melt,"vi. 熔化，溶解；渐混
vt. 使融化；使熔化；使软化；使感动
n. 熔化；熔化物"
melted,"adj. 融化的；溶解的
v. 融化；溶解（melt的过去式）"
molten,"adj. 熔化的；铸造的；炽热的
v. 换毛；脱毛（molt的过去分词）"
message,"n. 消息；差使；启示；预言；广告词
vi. 报信，报告； 报文
vt. 通知"
messenger,n. 报信者，送信者；先驱
metal,"n. 金属；合金
vt. 以金属覆盖
adj. 金属制的"
metallic,adj. 金属的，含金属的
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
militant,"adj. 好战的
n. 富有战斗性的人；好斗者；激进分子"
militia,n. 民兵组织；自卫队；义勇军；国民军
mine,"n. 矿，矿藏；矿山，矿井；地雷，水雷
vt. 开采，采掘；在…布雷
vi. 开矿，采矿；埋设地雷
pron. 我的"
miner,n. 矿工；开矿机
mineral,"n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）
adj. 矿物的；矿质的"
miserable,adj. 悲惨的；痛苦的；卑鄙的
commiserate,"vt. 同情，怜悯
vi. 同情，怜悯；吊慰"
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
missionary,"adj. 传教的；传教士的
n. 传教士"
mix,"vt. 配制；混淆；使混和；使结交
vi. 参与；相混合；交往
n. 混合；混合物；混乱"
mixture,n. 混合；混合物；混合剂
moist,"adj. 潮湿的；多雨的；含泪的
n. 潮湿"
moisten,"vt. 弄湿；使…湿润
vi. 潮湿；变潮湿"
moisture,n. 水分；湿度；潮湿；降雨量
mole,n. 鼹鼠；痣；防波堤；胎块；间谍
molecule,n.  分子；微小颗粒，微粒
molecular,adj.  分子的；由分子组成的
money,n. 钱；货币；财富
monetary,adj. 货币的；财政的
mint,"n. 薄荷； 造币厂，巨款
vt. 铸造，铸币
adj. 完美的"
mother,"n. 母亲；大娘；女修道院院长
vt. 生下；养育；像母亲般关怀或照管
adj. 母亲的；出生地的"
motherhood,n. 母性；母亲身份；母亲们（总称）
move,"n. 移动；步骤；迁居；策略
vi. 移动；搬家，迁移；离开
vt. 移动；感动"
moving,"adj. 移动的；动人的；活动的
v. 移动（move的ing形式）"
movement,n. 运动；活动；运转；乐章
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
removal,n. 免职；移动；排除；搬迁
muscle,"n. 肌肉；力量
vt. 加强；使劲搬动；使劲挤出
vi. 使劲行进"
muscular,adj. 肌肉的；肌肉发达的；强健的
mud,"vt. 弄脏；用泥涂
vi. 钻入泥中
n. 泥；诽谤的话；无价值的东西"
muddle,"vt. 混合；使咬字不清晰；使微醉
n. 糊涂；困惑；混浊状态
vi. 胡乱思考；糊里糊涂地行事"
muddy,"adj. 泥泞的；模糊的；混乱的
vt. 使污浊；使沾上泥；把…弄糊涂
vi. 变得泥泞；沾满烂泥"
narrate,"vt. 叙述；给…作旁白
vi. 叙述；讲述"
narration,n. 叙述，讲述；故事
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
need,"n. 需要，要求；缺乏；必要之物
vt. 需要
vi. 需要"
needless,adj. 不必要的，不需要的；多余的，无用的
needy,adj. 贫困的；贫穷的；生活艰苦的
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
negotiable,adj. 可通过谈判解决的；可协商的
negotiation,n. 谈判；转让；顺利的通过
new,"adj. 新的，新鲜的；更新的；初见的
adv. 新近"
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
nucleus,n. 核，核心；原子核
obese,adj. 肥胖的，过胖的
obesity,n. 肥大，肥胖
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
observation,n. 观察；监视；观察报告
observer,n. 观察者； 观测者；遵守者
occupy,vt. 占据，占领；居住；使忙碌
occupation,n. 职业；占有；消遣；占有期
occupational,adj. 职业的；占领的
open,"adj. 公开的；敞开的；空旷的；坦率的；营业着的
vi. 开始；展现
vt. 公开；打开
n. 公开；空旷；户外"
opener,n.  开启工具；开启的人
opening,"n. 开始；机会；通路；空缺的职位
adj. 开始的
v. 开放（open的ing形式）；打开；公开"
opinion,n. 意见；主张
opinionated,adj. 固执己见的；武断的
organ,n.  器官；机构；风琴；管风琴；嗓音
organic,adj.  有机的；组织的；器官的；根本的
organism,n. 有机体；生物体；微生物
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
organise,"vi. 组织起来；组织工会
vt. 组织（等于organize）；有机化；给予生机"
organization,n. 组织；机构；体制；团体
organisation,n. 组织；团体（等于organization）
paste,"n. 面团，膏；糊状物， 浆糊
vt. 张贴，裱糊；用浆糊粘"
pastry,n. 油酥点心；面粉糕饼
pave,vt. 铺设；安排；作铺设之用
pavement,"n. 人行道
路面"
pay,"n. 工资，薪水；付款；报答
vt. 支付，付；偿还，补偿；给予
vi. 付款；偿还
adj. 收费的；需付费的"
payment,n. 付款，支付；报酬，报答；偿还；惩罚，报应
repay,"vt. 回报；报复；付还
vi. 偿还；报答；报复"
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
peculiarity,n. 特性；特质；怪癖；奇特
period,"n. 周期，期间；时期；月经；课时；（语法学）句点，句号
adj. 某一时代的"
periodic,adj. 周期的；定期的
periodical,"n. 期刊；杂志
adj.  周期的；定期的"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
permission,n. 允许，许可
person,n. 人；身体；容貌，外表；人称
personal,"n. 人事消息栏；人称代名词
adj. 个人的；身体的；亲自的"
personality,n. 个性；品格；名人
personally,adv. 亲自地；当面；个别地；就自己而言
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
persuasion,n. 说服；说服力；信念；派别
persuasive,adj. 有说服力的；劝诱的，劝说的
petition,"n. 请愿；请愿书；祈求； 诉状
vt. 请愿；请求；恳求
vi. 请愿；请求"
petitioner,n. 请愿人；诉愿人；（英）离婚案原告
photograph,"n. 照片，相片
vt. 为…拍照；使深深印入
vi. 拍照；在照片上显得"
photographic,adj. 摄影的；逼真的；（尤指记忆）详细准确的
photography,n. 摄影；摄影术
piracy,n. 海盗行为；剽窃；著作权侵害；非法翻印
pirate,"n. 海盗；盗版；侵犯专利权者
vt. 掠夺；翻印；剽窃
vi. 做海盗；从事劫掠"
planet,n. 行星
planetary,adj. 行星的
plant,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植"
plantation,"n. 栽植；殖民；大农场
adj. 适用于种植园或热带、亚热带国家的"
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
plus,"prep. 加，加上
n. 正号，加号；好处；附加额
adj. 正的；附加的"
surplus,"n. 剩余； 顺差；盈余；过剩
adj. 剩余的；过剩的"
plural,"n. 复数
adj. 复数的"
pole,找不到解释
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
poor,adj. 贫穷的；可怜的；贫乏的；卑鄙的
poverty,n. 贫困；困难；缺少；低劣
post,"n. 岗位；邮件；标杆
vt. 张贴；公布；邮递；布置
vi. 快速行进"
postage,n. 邮资，邮费
postal,"n. 明信片
adj. 邮政的；邮局的"
post,"n. 岗位；邮件；标杆
vt. 张贴；公布；邮递；布置
vi. 快速行进"
poster,n. 海报，广告；招贴
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
empower,vt. 授权，允许；使能够
powerful,"adj. 强大的；强有力的
adv. 很；非常"
psychiatrist,n. 精神病学家，精神病医生
psychiatry,n. 精神病学；精神病治疗法
pure,adj. 纯的；纯粹的；纯洁的；清白的；纯理论的
purify,"vt. 净化；使纯净
vi. 净化；变纯净"
race,"n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进"
racial,adj. 种族的；人种的
rail,"n. 铁轨；扶手；横杆；围栏
vt. 铺铁轨；以横木围栏
vi. 抱怨；责骂"
derail,"n. 脱轨； 脱轨器
vt. 使出轨
vi. 出轨"
reason,"n. 理由；理性；动机
vt. 说服；推论；辩论
vi. 推论；劝说"
reasonable,adj. 合理的，公道的；通情达理的
unreasonable,adj. 不合理的；过度的；不切实际的；非理智的
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
rebellion,n. 叛乱；反抗；谋反；不服从
red,"n. 红色，红颜料；赤字
adj. 红色的；红肿的，充血的"
infrared,"n. 红外线
adj. 红外线的"
refuge,"n. 避难；避难所；庇护
vt. 给予…庇护；接纳…避难
vi. 避难；逃避"
refugee,n. 难民，避难者；流亡者，逃亡者
reluctant,adj. 不情愿的；勉强的；顽抗的
reluctance,n.  磁阻；勉强；不情愿
repeat,"n. 重复；副本
vi. 重做；重复发生
vt. 重复；复制；背诵"
repeatedly,adv. 反复地；再三地；屡次地
repetition,n. 重复；背诵；副本
rest,"n. 休息，静止；休息时间；剩余部分；支架
vt. 使休息，使轻松；把…寄托于
vi. 休息；静止；依赖；安置"
