code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
speech,n. 演讲；讲话； 语音；演说
skin,"n. 皮肤；外皮
vt. 剥皮
vi. 愈合；长皮"
excuse,"n. 借口；理由
vt. 原谅；为…申辩；给…免去
vi. 作为借口；请求宽恕；表示宽恕"
tall,"adj. 高的；长的；过分的；夸大的
adv. 夸大地"
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
race,"n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进"
video,"n.  视频；录像，录像机；电视
adj. 视频的；录像的；电视的
v. 录制"
tooth,"n. 牙齿
vt. 给……装齿
vi. 啮合"
window,n. 窗；窗口；窗户
reach,"n. 范围；延伸；河段；横风行驶
vi. 达到；延伸；伸出手；传开
vt. 达到；影响；抵达；伸出"
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
gold,"n. 金，黄金；金色；金币
adj. 金的，金制的；金色的"
polite,adj. 有礼貌的，客气的；文雅的；上流的；优雅的
question,"n. 问题，疑问；询问；疑问句
vt. 询问；怀疑；审问
vi. 询问；怀疑；审问"
Britain,n. 英国；不列颠
upon,prep. 根据；接近；在…之上
neighborhood,n. 附近；街坊；接近；街区
machine,"n. 机械，机器；机构；机械般工作的人
vt. 用机器制造"
topic,n. 主题（等于theme）；题目；一般规则；总论
sale,n. 销售；出售；拍卖；销售额；廉价出售
forest,"n. 森林
vt. 植树于，使成为森林"
summer,"n. 夏季；全盛时期
adj. 夏季的
vi. 避暑；过夏天"
sick,"adj. 厌恶的；病态的；不舒服；渴望的；恶心的 ；生病的
n. 病人
vt. 使狗去咬；呕吐；追击"
army,n. 陆军，军队
somewhere,"n. 某个地方
adv. 在某处；到某处"
reply,"n. 回答； 答辩
vt. 回答；答复
vi. 回答； 答辩；回击"
naturally,"adv. 自然地
自然而然地
轻而易举
天生地
大方地"
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
peaceful,adj. 和平的，爱好和平的；平静的
net,"n. 网；网络；净利；实价
vi. 编网
vt. 得到；净赚；用网捕
adj. 纯粹的；净余的"
fully,adv. 充分地；完全地；彻底地
magazine,n. 杂志；弹药库；胶卷盒
nitrogen,n.  氮
heat,"n. 高温；压力；热度；热烈
vt. 使激动；把…加热"
cartoon,"n. 卡通片， 动画片；连环漫画
vt. 为…画漫画
vi. 画漫画"
remember,"vi. 记得，记起
vt. 记得；牢记；纪念；代…问好"
relaxation,n. 放松；缓和；消遣
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
creator,找不到解释
spear,"n. 矛，枪
vt. 用矛刺"
dioxide,n. 二氧化物
victim,n. 受害人；牺牲品；牺牲者
medical,"adj. 医学的；药的；内科的
n. 医生；体格检查"
totally,adv. 完全地
oxygen,n.  氧气， 氧
dine,"vi. 进餐，用餐
vt. 宴请"
farming,"n. 农业，耕作
v. 耕种；出租（farm的ing形式）"
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
seaweed,n. 海藻，海草
Darwin,n. 达尔文（①姓氏， 男子名 ②Charles Robert， 1809-1882， 英国博物学家， 进化论创始人 ③澳大利亚港市）
chapter,"n. 章，回；（俱乐部、协会等的）分会；人生或历史上的重要时期
vt. 把…分成章节"
jet,"n. 喷射，喷嘴；喷气式飞机；黑玉
adj. 墨黑的
vt. 射出
vi. 射出； 乘喷气式飞机"
carrot,"n. 胡萝卜
诱饵"
bunch,"n. 群；串；突出物
vt. 使成一串；使打褶
vi. 隆起；打褶；形成一串"
lord,"n. 主；上帝
int. 主，天啊
vt. 使成贵族
vi. 作威作福，称王称霸"
forth,adv. 向前，向外；自…以后
wetland,n. 湿地；沼泽地
due,"n. 应付款；应得之物
adj. 到期的；预期的；应付的；应得的
adv. 正（置于方位词前）"
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
radar,n.  雷达，无线电探测器
elsewhere,adv. 在别处；到别处
boot,"n. 靴子；踢；汽车行李箱
vt. 引导；踢；解雇；使穿靴"
lobster,"n. 龙虾
龙虾肉"
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
treasure,"n. 财富，财产；财宝；珍品
vt. 珍爱；珍藏"
employer,n. 雇主，老板
moreover,adv. 而且；此外
container,n. 集装箱；容器
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
steel,"n. 钢铁；钢制品；坚固
adj. 钢制的；钢铁业的；坚强的
vt. 钢化；使冷酷"
directly,"conj. 一…就
adv. 直接地；立即；马上；正好地；坦率地"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
bun,"n. 小圆面包
屁股
圆髻"
European,"n. 欧洲人
adj. 欧洲的；欧洲人的"
timekeeper,n. 计时员；钟表；工作时间记录员
metal,"n. 金属；合金
vt. 以金属覆盖
adj. 金属制的"
lily,"n. 百合花，百合；类似百合花的植物；洁白之物
adj. 洁白的，纯洁的"
inexpensive,adj. 便宜的
belief,n. 相信，信赖；信仰；教义
humorous,adj. 诙谐的，幽默的；滑稽的，可笑的
ignore,vt. 驳回诉讼；忽视；不理睬
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
bay,"n. 海湾；狗吠声
vt. 向…吠叫
vi. 吠叫；大声叫嚷"
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
popularity,n. 普及，流行；名气；受大众欢迎
suitable,adj. 适当的；相配的
unless,"conj. 除非，如果不
prep. 除…之外"
friendliness,n. 友谊；亲切；亲密
disappoint,vt. 使失望
amazed,"v. 使…吃惊；把…弄糊涂（amaze的过去分词）
adj. 惊奇的，吃惊的"
mathematician,"n. 数学家
善作数字计算的人"
weigh,"n. 权衡；称重量
vt. 权衡；考虑；称…重量
vi. 重量为…；具有重要性；成为…的重荷；起锚"
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
spoon,"n. 匙，勺子；一杓的量
vt. 用匙舀；使成匙状
vi. 轻轻向上击"
explorer,n. 探险家；勘探者；探测器；探针
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
stonewall,"vt. 妨碍；阻碍；小心翼翼地打球
vi. 妨碍；阻碍；小心翼翼地打球"
giraffe,n. 长颈鹿
deed,"n. 行动；功绩；证书； 契据
vt. 立契转让"
scene,n. 场面；情景；景象；事件
photographic,adj. 摄影的；逼真的；（尤指记忆）详细准确的
whatever,"conj. 无论什么
adj. 不管什么样的
pron. 无论什么；诸如此类"
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
experimentally,adv. 实验上；用实验方法；实验式地
dragon,n. 龙；凶暴的人，凶恶的人；严厉而有警觉性的女人
flash,"n. 闪光，闪现；一瞬间
adj. 闪光的，火速的
vt. 使闪光；反射
vi. 闪光，闪现；反射"
beneficial,adj. 有益的，有利的；可享利益的
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
certainty,n. 必然；确实；确实的事情
gasoline,n. 汽油
breeze,"n. 微风；轻而易举的事；煤屑；焦炭渣；小风波
vi. 吹微风；逃走"
somehow,adv. 以某种方法；莫名其妙地
vitamin,n.  维生素； 维他命
blanket,"n. 毛毯，毯子；毯状物，覆盖层
adj. 总括的，全体的；没有限制的
vt. 覆盖，掩盖；用毯覆盖"
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
unclear,adj. 不清楚的；不易了解的
dust,"n. 灰尘；尘埃；尘土
vt. 撒；拂去灰尘
vi. 拂去灰尘；化为粉末"
broadcast,"n. 广播；播音；广播节目
adj. 广播的
vt. 播送，播放；（无线电或电视）广播；播撒（种子）
vi. 广播，播送；播放"
pine,"n.  松树；凤梨，菠萝
adj. 松木的；似松的
vt. 为…悲哀；哀悼
vi. 渴望，痛苦；憔悴"
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
recorder,n. 录音机；记录器；记录员；八孔直笛
exactly,adv. 恰好地；正是；精确地；正确地
gently,adv. 轻轻地；温柔地，温和地
prehistory,n. 史前；史前史；（导致事件、危机等的）背景
choice,"n. 选择；选择权；精选品
adj. 精选的；仔细推敲的"
climatic,adj. 气候的；气候上的；由气候引起的；受气候影响的
rename,vt. 重新命名，改名
sleepiness,n. 睡意，瞌睡；想睡
footstep,n. 脚步；脚步声；足迹
bone,"n. 骨；骨骼
vt. 剔去...的骨；施骨肥于
vi. 苦学；专心致志"
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
text,"n.  文本；课文；主题
vt. 发短信"
production,n. 成果；产品；生产；作品
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
pumpkin,n. 南瓜
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
department,n. 部；部门；系；科；局
beggar,"n. 乞丐；穷人；家伙
vt. 使贫穷；使沦为乞丐"
rooftop,"n. 屋顶
adj. 屋顶上的"
eager,adj. 渴望的；热切的；热心的
confusion,n. 混淆，混乱；困惑
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
apology,n. 道歉；谢罪；辩护；勉强的替代物
underneath,"prep. 在…的下面；在…的形式下；在…的支配下
n. 下面；底部
adj. 下面的；底层的
adv. 在下面；在底下"
wild,"n. 荒野
adj. 野生的；野蛮的；狂热的；荒凉的
adv. 疯狂地；胡乱地"
trader,n. 交易者；商人；商船
era,n. 时代；年代；纪元
outgoing,"adj. 对人友好的，开朗的；出发的，外出的；即将离职的；乐于助人的
n. 外出；流出；开支
v. 超过；优于（outgo的ing形式）"
capability,n. 才能，能力；性能，容量
unexplained,adj. 未经解释的；未经说明的；不清楚的
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
moveable,"adj. 可移动的
n. 动产"
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
wheat,n. 小麦；小麦色
mainly,adv. 主要地，大体上
fix,"n. 困境；方位；贿赂
vt. 使固定；修理；安装；准备
vi. 固定；注视"
pad,"n. 衬垫；护具；便笺簿；填补
vi. 步行；放轻脚步走
vt. 填补；走"
creativity,n. 创造力；创造性
plant,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植"
frozen,"v. 结冰（freeze的过去分词）；凝固；变得刻板
adj. 冻结的；冷酷的"
relation,n. 关系；叙述；故事；亲属关系
grand,"n. 大钢琴；一千美元
adj. 宏伟的；豪华的；极重要的"
plain,"n. 平原；无格式；朴实无华的东西
adj. 平的；简单的；朴素的；清晰的
adv. 清楚地；平易地"
monk,n. 僧侣，修道士；和尚
clerk,"n. 职员，办事员；店员；书记；记账员；<古>牧师，教士
vi. 当销售员，当店员；当职员"
freeze,"n. 冻结；凝固
vt. 使…冻住；使…结冰
vi. 冻结；冷冻；僵硬"
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
repay,"vt. 回报；报复；付还
vi. 偿还；报答；报复"
database,n. 数据库，资料库
fellow,"n. 家伙；朋友；同事；会员
adj. 同伴的，同事的；同道的
vt. 使…与另一个对等；使…与另一个匹敌"
afford,vt. 给予，提供；买得起
plan,"n. 计划；平面图
vt. 计划；设计；打算
vi. 计划；打算"
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
admirable,adj. 令人钦佩的；极好的；值得赞扬的
highland,"n. 高地；丘陵地带
adj. 高原的；高地的"
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
jewelry,n. 珠宝；珠宝类
hence,adv. 因此；今后
billboard,"n. 广告牌；布告板
vt. 宣传；介绍"
mix,"vt. 配制；混淆；使混和；使结交
vi. 参与；相混合；交往
n. 混合；混合物；混乱"
list,"n.  列表；清单；目录
vi. 列于表上
vt. 列出；记入名单内"
fear,"n. 害怕；恐惧；敬畏；担心
vt. 害怕；敬畏；为…担心
vi. 害怕；敬畏；为…担心"
response,n. 响应；反应；回答
oak,"n. 橡树；橡木色；橡木家具
adj. 栎树的；栎木制的"
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
pigeon,n. 鸽子
assistance,n. 援助，帮助；辅助设备
foreign,adj. 外国的；外交的；异质的；不相关的
tobacco,n. 烟草，烟叶；烟草制品；抽烟
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
plenty,"n. 丰富，大量；充足
adj. 足够的，很多的
adv. 足够"
decision,n. 决定，决心；决议
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物"
vice,"prep. 代替
n. 恶习；缺点； 老虎钳；卖淫
adj. 副的；代替的
vt. 钳住"
laser,n. 激光
disappearance,n. 消失；不见
per,prep. 每；经；按照；每一
region,n. 地区；范围；部位
threat,n. 威胁，恐吓；凶兆
president,n. 总统；董事长；校长；主席
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
steamboat,n. 汽船，轮船
arrow,"n. 箭，箭头；箭状物；箭头记号
vt. 以箭头指示；箭一般地飞向"
assure,vt. 保证；担保；使确信；弄清楚
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
meaningful,adj. 有意义的；意味深长的
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
seashell,n. 海贝，贝壳；海贝壳
entry,n. 进入；入口；条目；登记；报关手续；对土地的侵占
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
diary,n. 日志，日记；日记簿
reasonable,adj. 合理的，公道的；通情达理的
perfume,"n. 香水；香味
vt. 洒香水于…；使…带香味
vi. 散发香气"
print,"n. 印刷业；印花布；印刷字体；印章；印记
vt. 印刷；打印；刊载；用印刷体写；在…印花样
vi. 印刷；出版；用印刷体写"
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没"
cereal,"n. 谷类，谷物；谷类食品；谷类植物
adj. 谷类的；谷类制成的"
shortage,n. 缺乏，缺少；不足
unfair,adj. 不公平的，不公正的
national,"adj. 国家的；国民的；民族的；国立的
n. 国民"
hardly,adv. 几乎不，简直不；刚刚
disappointment,n. 失望；沮丧
