considerable,adj. 相当大的；重要的，值得考虑的
beneficiary,"n.  受益人，受惠者；封臣
adj. 拥有封地的；受圣俸的"
donor,"n. 捐赠者；供者；赠送人
adj. 捐献的；经人工授精出生的"
humanitarian,"n. 人道主义者；慈善家；博爱主义者；基督凡人论者
adj. 人道主义的；博爱的；基督凡人论的"
resident,"n. 居民；住院医生
adj. 居住的；定居的"
spectator,n. 观众；旁观者
viewer,n. 观察者；观看者；观众； 指示器
audience,n. 观众；听众；读者；接见；正式会见；拜会
create,vt. 创造，创作；造成
creation,n. 创造，创作；创作物，产物
recreation,n. 娱乐；消遣；休养
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
connection,n. 连接；关系；人脉；连接件
relation,n. 关系；叙述；故事；亲属关系
database,n. 数据库，资料库
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
measurement,n. 测量； 度量；尺寸；量度制
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
field survey,"na. 实地调查；“field work”的变体
 现场调查；野外测量；野外调查"
drone,"n. 雄蜂；嗡嗡的声音；懒惰者
n. 无人机（非正式）
vt. 低沉地说
vi. 嗡嗡作声；混日子"
satellite imagery,"un. 卫星图像
 卫星影像；卫星地图；卫星映象"
real-time,adj. 实时的；接到指示立即执行的
data,n. 数据（datum的复数）；资料
agrarian,adj. 土地的；耕地的；有关土地的
arable,"n. 耕地
adj. 适于耕种的；可开垦的"
arid,adj. 干旱的；不毛的， 荒芜的
bleak,adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
cold,"n. 寒冷；感冒
adj. 寒冷的；冷淡的，不热情的；失去知觉的
adv. 完全地"
raw,"n. 擦伤处
adj. 生的；未加工的；阴冷的；刺痛的；擦掉皮的；无经验的；（在艺术等方面）不成熟的
vt. 擦伤"
dismal,"n. 低落的情绪
adj. 凄凉的，忧郁的；阴沉的，沉闷的"
clay,"n.  粘土；泥土；肉体；似黏土的东西
vt. 用黏土处理"
clod,"n. 土块；笨蛋；牛颈肉
vt. 对…掷土块"
contaminated land, 污染的土地；污染土地；受污染土地
contaminated soil,"un. 污染的土壤；污染土壤
 矿区土壤的重金属污染"
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
infertile,adj. 不肥沃的；不毛的；不结果实的；不能生殖的
fertile,adj. 富饶的，肥沃的；能生育的
land carrying capacity,土地负载力
sterile,adj. 不育的；无菌的；贫瘠的；不毛的；枯燥乏味的
terrace,"n. 平台；梯田；阳台
adj. （女服）叠层式的
vt. 使成梯田，使成阶地；使有平台屋顶
vi. 成阶地；成梯田；筑成坛"
topsoil,n. 表层土；上层土
tract,n. 束；大片土地，地带；小册子
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
accommodation,n. 住处，膳宿；调节；和解；预订铺位
furnish,vt. 提供；供应；装备
unfurnish,"vt.搬走(房屋、房间等)的家具,拆除…的家具"
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
preparation,n. 预备；准备
clause,n. 条款； 子句
enquire,"vi. 询问；调查；问候（等于inquire）
vt. 询问；打听"
fieldwork,n. 野外工作；现场工作；野战工事
inquiry,n. 探究；调查；质询
inspection,n. 视察，检查
investigate,v. 调查；研究
observation,n. 观察；监视；观察报告
observational,adj. 观测的；根据观察的
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
perspective,"n. 观点；远景；透视图
adj. 透视的"
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
questionary,"n. 调查表，问卷
adj. 质问的"
continue,"vt. 继续说…；使…继续；使…延长
vi. 继续，延续；仍旧，连续"
discontinue,"vt. 停止；使中止
vi. 停止，中断"
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
National Trust,找不到解释
conservator,n. 保护者；管理员
mobilise,"vt. 动员；调动；使流通
vi. 动员起来（等于mobilize）"
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
stationer,n. 文具店；文具商
especially,adv. 特别；尤其；格外
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
blotting paper,"n. 吸墨纸
 吸水纸；吸墨水纸；凝胶吸墨纸"
desperately,adv. 拼命地；绝望地；极度地
anguish,"n. 痛苦；苦恼
vt. 使极度痛苦
vi. 感到极度的痛苦"
avalanche,"n. 雪崩
vt. 雪崩
vi. 崩塌"
calamity,n. 灾难；不幸事件
casualty,n. 意外事故；伤亡人员；急诊室
cataclysm,n. 灾难；大洪水，地震；（社会政治的）大变动
catastrophe,n. 大灾难；大祸；惨败
catastrophic,adj. 灾难的；悲惨的；灾难性的，毁灭性的
debris,n. 碎片，残骸
deluge,"n. 洪水；泛滥；暴雨
vt. 使泛滥；压倒"
destroy,vt. 破坏；消灭；毁坏
disaster,n. 灾难，灾祸；不幸
disastrous,adj. 灾难性的；损失惨重的；悲伤的
famine,n. 饥荒；饥饿，奇缺
massacre,"vt. 残杀；彻底击败
n. 大屠杀；惨败"
misfortune,n. 不幸；灾祸，灾难
fortune,"n. 财富；命运；运气
vt. 给予财富
vi. 偶然发生"
mishap,n. 灾祸；不幸事故；晦气
slaughter,"n. 屠宰，屠杀；杀戮；消灭
vt. 屠宰，屠杀；杀戮；使惨败"
torment,"n. 痛苦，苦恼；痛苦的根源
vt. 折磨，使痛苦；纠缠，作弄"
persecute,vt. 迫害；困扰；同…捣乱
unfortunate,adj. 不幸的；令人遗憾的；不成功的
upheaval,n. 剧变；隆起；举起
victim,n. 受害人；牺牲品；牺牲者
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
wreckage,n. （失事船或飞机等的）残骸；（船只等的）失事
impetuous,adj. 冲动的；鲁莽的；猛烈的
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
impulsive,adj. 冲动的；受感情驱使的；任性的
momentum,n. 势头； 动量；动力；冲力
motivate,vt. 刺激；使有动机；激发…的积极性
motivation,n. 动机；积极性；推动
motivational,adj. 动机的；激发性的；有关动机的；动机说明
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
stimulus,n. 刺激；激励；刺激物
accidental explosion, 意外爆炸
alarm bell,"na. 警钟；警铃
 警报钟；敲响了警钟；警钟是"
blast,"n. 爆炸；冲击波；一阵
vt. 爆炸；损害；使枯萎
vi. 猛攻"
burning area,火区
burning intensity,燃烧强度
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
combustible,"n. 可燃物；易燃物
adj. 易燃的；易激动的；燃烧性的"
death by burning,烧死
death count,死亡数
devastating effect,找不到解释
elevated temperature,"un. 高温；升温
 升高温度；高温拉伸；高温环境"
elevator,n. 电梯；升降机；升降舵；起卸机
emergency exit,"na. 太平门
 紧急出口；安全出口；安全门"
extinguish,vt. 熄灭；压制；偿清
fire alarm,"n. 火警钟；火警报警器
 火警警报；火警警报器；火情警报设施"
fire engine access,找不到解释
fire engine,"n. 消防车；救火车
 灭火车；消防泵；救火车图片"
fire extinguisher,"n. 灭火器
 灭火筒；灭火专用；灭火机"
fire hydrant,"n. 消防栓；消防龙头
 消火栓；消防栓图片；壁式消防栓"
fire injury,"烧伤,灼伤"
fire inspection, 消防设施检查；消防安全检测；消防检查
fire insurance,"na. 火(灾保)险
 火险；火灾保险；东京海上火灾保险"
fire telephone, 火警电话
firefighting,n. 消防；防火，打火
fireman,n. 消防队员；救火队员；锅炉工
firefighter,n. 消防队员
first aid telephone,找不到解释
first aid,"n. 急救
 急救方法；急救员；急救知识"
inhibition,n. 抑制；压抑；禁止
lifesaver,n. 济急的人；水难救生员；救命者
origin of the fire,找不到解释
oxygen deficiency,"un. 缺氧
 缺氧现象；氧气不足"
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
poisonous atmosphere,找不到解释
refuge,"n. 避难；避难所；庇护
vt. 给予…庇护；接纳…避难
vi. 避难；逃避"
relief work,"un. 压印操作；救济工作
 救援工作；救灾工作；社会救济"
rescue,"n. 营救；援救；解救
vt. 营救；援救"
save,"prep. 除...之外
n. 救援
vi. 节省；挽救
vt. 节省；保存；储蓄；解救"
self-contained breathing equipment,找不到解释
smoke,"n. 烟；抽烟；无常的事物
vt. 吸烟；抽
vi. 冒烟，吸烟；抽烟；弥漫"
stair,n. 楼梯，阶梯；梯级
suffocation,n. 窒息；闷死
water,"n. 水；海水；雨水；海域，大片的水
vt. 使湿；供以水；给…浇水
vi. 加水；流泪；流口水"
contribution,n. 贡献；捐献；投稿
physics,n. 物理学；物理现象
immense,adj. 巨大的，广大的；无边无际的；非常好的
demonstrate,"vt. 证明；展示；论证
vi. 示威"
demonstration,n. 示范；证明；示威游行
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
subsequent,adj. 后来的，随后的
subsequently,adv. 随后，其后；后来
generation,n. 一代；产生；一代人；生殖
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
physicist,n. 物理学家；唯物论者
chemist,n. 化学家；化学工作者；药剂师；炼金术士
colossal,adj. 巨大的；异常的，非常的
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
enormously,adv. 巨大地，庞大地；非常地，在极大程度上
gigantic,adj. 巨大的，庞大的
tiny,adj. 微小的；很少的
microscopic,adj. 微观的；用显微镜可见的
immeasurable,adj. 无限的； 不可计量的；不能测量的
incalculable,adj. 无数的；不可计算的；不可预料的
magnitude,n. 大小；量级； 震级；重要；光度
mammoth,"n. 长毛象；猛犸象；庞然大物
adj. 巨大的，庞大的；猛犸似的"
mighty,"adj. 有力的；强有力的；有势力的
adv. 很；极；非常
n. 有势力的人"
prodigious,adj. 惊人的，异常的，奇妙的；巨大的
wonderful,adj. 极好的，精彩的，绝妙的；奇妙的；美妙；胜；神妙
huge,adj. 巨大的；庞大的；无限的
tremendous,adj. 极大的，巨大的；惊人的；极好的
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
vastness,n. 巨大；广大；广漠
vastly,adv. 极大地；广大地；深远地
celebrated,"v. 庆祝（celebrate的过去式和过去分词）
adj. 著名的；有名望的"
complimentary,adj. 赠送的；称赞的；问候的
eminent,adj. 杰出的；有名的；明显的
entitle,vt. 称做…；定名为…；给…称号；使…有权利
laudable,adj. 值得赞赏的
legendary,"adj. 传说的，传奇的
n. 传说集；圣徒传"
lofty,adj. 高的；崇高的；高级的；高傲的
matchless,adj. 无比的；无敌的
notable,"adj. 值得注意的，显著的；著名的
n. 名人，显要人物"
notably,adv. 显著地；尤其
noteworthy,adj. 值得注意的；显著的
noted,"adj. 著名的；显著的；附有乐谱的
v. 注意；记下（note的过去式和过去分词）"
pre-eminent,adj. 优秀的，杰出的（等于preeminent）
prominent,adj. 突出的，显著的；杰出的；卓越的
renowned,"v. 使有声誉（renown的过去分词）
adj. 著名的；有声望的"
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
commend,"vt. 推荐；称赞；把…委托
vi. 称赞；表扬"
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
laud,"vt. 赞美；称赞
n. 赞美；称赞；颂歌"
deference,n. 顺从；尊重
dignify,vt. 使高贵；增威严；授以荣誉
dignified,"adj. 庄严的；有尊严的；高贵的
v. 使高贵（dignify的过去式）"
prestige,n. 威望，声望；声誉
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
respectable,"n. 可敬的人
adj. 值得尊敬的；人格高尚的；相当数量的"
revere,vt. 敬畏；尊敬；崇敬
reverence,"n. 崇敬；尊严；敬礼
vt. 敬畏；尊敬"
accelerator,n. 油门；催化剂； 加速装置
atom,n. 原子
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
chafe,"n. 擦伤；气恼
vt. 擦破；擦热；擦痛；激怒
vi. 擦伤；磨擦；激怒"
clutter,"n. 杂乱，混乱
vt. 使凌乱；胡乱地填满"
cohesion,n. 凝聚；结合； 内聚力
concave,"n. 凹面
adj. 凹的，凹面的
vt. 使成凹形"
conduction,n.  传导
convex,"n. 凸面体；凸状
adj. 凸面的；凸圆的"
decelerate,"vt. 使减速
vi. 减速，降低速度"
declivity,n. 下坡；倾斜
dilute,"vt. 稀释；冲淡；削弱
adj. 稀释的；淡的
vi. 变稀薄；变淡"
distillation,n. 精馏，蒸馏，净化；蒸馏法；精华，蒸馏物
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
elasticity,n. 弹性；弹力；灵活性
elastic,"n. 松紧带；橡皮圈
adj. 有弹性的；灵活的；易伸缩的"
electricity,n. 电力；电流；强烈的紧张情绪
electron,n. 电子
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
gravity,n. 重力，地心引力；严重性；庄严
inertia,n.  惯性；惰性，迟钝；不活动
intensity,n. 强度；强烈； 亮度；紧张
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
magnetic,adj. 地磁的；有磁性的；有吸引力的
magnetism,n. 磁性，磁力；磁学；吸引力
matter,"n. 物质；事件
vi. 有关系；要紧"
mechanics,n. 力学（用作单数）；结构；技术；机械学（用作单数）
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
neutron,n.  中子
nucleus,n. 核，核心；原子核
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
