gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
bass,"n. 鲈鱼；男低音；低音部；椴树
adj. 低音的"
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
bald,"adj. 秃顶的；光秃的；单调的；无装饰的
vi. 变秃"
bump,"n. 肿块，隆起物；撞击
vi. 碰撞，撞击；颠簸而行
vt. 碰，撞；颠簸
adv. 突然地，猛烈地"
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
bore,"n. 孔；令人讨厌的人
vt. 钻孔；使烦扰
vi. 钻孔"
aviation,n. 航空；飞行术；飞机制造业
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
syndrome,n.  综合症状；并发症状；校验子；并发位
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
spotlight,"n. 聚光灯；反光灯；公众注意的中心
vt. 聚光照明；使公众注意"
detach,vt. 分离；派遣；使超然
gleam,"n. 微光；闪光；瞬息的一现
vt. 使闪烁；使发微光
vi. 闪烁；隐约地闪现"
hysterical,adj. 歇斯底里的；异常兴奋的
harass,vt. 使困扰；使烦恼；反复袭击
intervene,vi. 干涉；调停；插入
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
fling,"n. 掷，抛；嘲弄；急冲
vt. 掷，抛；嘲笑；使陷入；轻蔑地投射；猛动
vi. 猛冲，急行"
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
blade,n. 叶片；刀片，刀锋；剑
hover,"n. 徘徊；盘旋；犹豫
vi. 盘旋，翱翔；徘徊
vt. 孵；徘徊在…近旁"
futile,adj. 无用的；无效的；没有出息的；琐细的；不重要的
rear,"n. 后面；屁股；后方部队
adj. 后方的；后面的；背面的
vt. 培养；树立；栽种
adv. 向后；在后面
vi. 暴跳；高耸"
ceramic,"n. 陶瓷；陶瓷制品
adj. 陶瓷的；陶器的；制陶艺术的"
unanimous,adj. 全体一致的；意见一致的；无异议的
emulate,"n. 仿真；仿效
vt. 仿真；模仿；尽力赶上；同…竞争"
streak,"n. 条纹，线条；倾向
vi. 飞跑，疾驶；加上条纹
vt. 飞跑，疾驰；加条纹于"
relic,n. 遗迹，遗物；废墟；纪念物
etiquette,n. 礼节，礼仪；规矩
quiver,"n. 颤抖；箭袋；震动
vi. 颤抖；振动
vt. 使…颤动；抖动"
breach,"n. 违背，违反；缺口
vt. 违反，破坏；打破"
aptitude,n. 天资；自然倾向；适宜
underneath,"prep. 在…的下面；在…的形式下；在…的支配下
n. 下面；底部
adj. 下面的；底层的
adv. 在下面；在底下"
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
dine,"vi. 进餐，用餐
vt. 宴请"
aesthetic,adj. 美的；美学的；审美的，具有审美趣味的
commerce,n. 贸易；商业；商务
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
agitate,"vt. 摇动；骚动；使…激动
vi. 煽动"
allure,"n. 诱惑力
vt. 引诱，诱惑；吸引
vi. 诱人，吸引人"
militant,"adj. 好战的
n. 富有战斗性的人；好斗者；激进分子"
cognitive,adj. 认知的，认识的
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
clan,n. 宗族；部落；集团
feeble,adj. 微弱的，无力的；虚弱的；薄弱的
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
trifle,"n. 琐事；蛋糕；少量
vt. 浪费；虚度
vi. 开玩笑；闲混；嘲弄"
immerse,vt. 沉浸；使陷入
beverage,n. 饮料
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
adjacent,adj. 邻近的，毗连的
reap,"vt. 收获，获得；收割
vi. 收割，收获"
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
cosmos,n. 宇宙；和谐；秩序；大波斯菊
censor,"n. 检查员； 潜意识压抑力；信件检查员
vt. 审查，检查；检查和删节"
statute,n.  法规；法令；条例
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
plague,"n. 瘟疫；灾祸；麻烦；讨厌的人
vt. 折磨；使苦恼；使得灾祸"
aggravate,vt. 加重；使恶化；激怒
sack,"n. 麻布袋；洗劫
vt. 解雇；把……装入袋；劫掠"
detergent,n. 清洁剂；去垢剂
feminine,adj. 女性的；妇女（似）的；阴性的；娇柔的
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
persecute,vt. 迫害；困扰；同…捣乱
magnitude,n. 大小；量级； 震级；重要；光度
faction,n. 派别；内讧；小集团；纪实小说
dedicate,vt. 致力；献身；题献
ascertain,vt. 确定；查明；探知
exile,"n. 流放，充军；放逐，被放逐者；流犯
vt. 放逐，流放；使背井离乡"
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
culminate,"vt. 使结束；使达到高潮
vi. 到绝顶；达到高潮；达到顶点"
coarse,adj. 粗糙的；粗俗的；下等的
abide,"vi. 持续；忍受；停留
vt. 忍受，容忍；停留；遵守"
beetle,"n. 甲虫；大槌
vt. 用槌打
vi. 急忙来回；突出"
poise,"n. 平衡；姿势；镇静
vi. 平衡；准备好；悬着
vt. 使平衡；保持...姿势"
snob,n. 势利小人，势利眼；假内行
query,"n. 疑问，质问；疑问号 ； 查询
vi. 询问；表示怀疑
vt. 询问；对……表示疑问"
exquisite,"n. 服饰过于讲究的男子
adj. 精致的；细腻的；优美的，高雅的；异常的；剧烈的"
intimidate,vt. 恐吓，威胁；胁迫
sensation,n. 感觉；轰动；感动
medication,n. 药物；药物治疗；药物处理
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
infringe,"vt. 侵犯；违反；破坏
vi. 侵犯；侵害"
rack,"n.  齿条；架子；拷问台
vt. 折磨；榨取
vi. 变形；随风飘；小步跑"
conceit,"n. 自负；狂妄；幻想
vt. 幻想"
patrol,"n. 巡逻；巡逻队；侦察队
vt. 巡逻；巡查
vi. 巡逻；巡查"
conducive,adj. 有益的；有助于…的
banquet,"n. 宴会，盛宴；宴请，款待
vt. 宴请，设宴款待
vi. 参加宴会"
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
spiral,"n. 螺旋；旋涡；螺旋形之物
adj. 螺旋形的；盘旋的
vt. 使成螺旋形；使作螺旋形上升
vi. 盘旋；成螺旋形；螺旋形上升（过去式spiraled/spiralled，过去分词spiraled/spiralled，现在分词spiraling/spiralling，第三人称单数spirals，副词spirally）"
hypocrisy,n. 虚伪；伪善
shrimp,"n. 虾；小虾；矮小的人
adj. 有虾的；虾制的
vi. 捕虾"
tumble,"n. 跌倒；翻筋斗；跌跤
vt. 使摔倒；使滚翻；弄乱
vi. 摔倒；倒塌；滚动；打滚；仓惶地行动
"
trivial,adj. 不重要的，琐碎的；琐细的
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
renaissance,n. 文艺复兴（欧洲14至17世纪）
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
commemorate,vt. 庆祝，纪念；成为…的纪念
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
ballot,"n. 投票；投票用纸；投票总数
vt. 使投票表决；拉选票
vi. 投票；抽签决定"
amid,prep. 在其中，在其间
loop,"vi. 打环；翻筋斗
n. 环；圈；弯曲部分；翻筋斗
vt. 使成环；以环连结；使翻筋斗"
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
transcend,vt. 胜过，超越
aspire,vi. 渴望；立志；追求
diplomat,n. 外交家，外交官；有外交手腕的人；处事圆滑机敏的人
rape,"n. 强奸，掠夺； 油菜；葡萄渣
vt. 强奸；掠夺，抢夺
vi. 犯强奸罪"
epoch,n.  世；新纪元；新时代；时间上的一点
rotate,"vt. 使旋转；使转动；使轮流
adj.  辐状的
vi. 旋转；循环"
renovate,vt. 更新；修复；革新；刷新
convoy,"n. 护送；护卫；护航队
vt. 护航；护送"
negligent,adj. 疏忽的；粗心大意的
subsequent,adj. 后来的，随后的
wield,vt. 使用；行使；挥舞
assortment,n. 分类；混合物
doom,"n. 厄运；死亡；判决；世界末日
vt. 注定；判决；使失败"
electoral,adj. 选举的；选举人的
lever,"n. 杠杆；控制杆
vt. 用杠杆撬动；把…作为杠杆
vi. 用杠杆撬"
seduce,vt. 引诱；诱惑；诱奸；怂恿
confide,"vt. 吐露；委托
vi. 信赖；吐露秘密"
eradicate,vt. 根除，根绝；消灭
ditch,"n. 沟渠；壕沟
vt. 在…上掘沟；把…开入沟里；丢弃
vi. 开沟；掘沟"
curtail,vt. 缩减；剪短；剥夺…特权等
grease,"n. 油脂；贿赂
vt. 涂脂于；贿赂"
velvet,"adj. 天鹅绒的
n. 天鹅绒，丝绒；天鹅绒似的东西"
stammer,"n. 口吃；结巴
vt. 口吃；结巴着说出
vi. 口吃；结结巴巴地说"
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
depreciate,"vi. 贬值；轻视；贬低
vt. 使贬值；贬低；轻视"
strive,vi. 努力；奋斗；抗争
longitude,n.  经度；经线
sneak,"n. 鬼鬼祟祟的人；偷偷摸摸的行为；告密者
adj. 暗中进行的
vi. 溜；鬼鬼祟祟做事；向老师打小报告
vt. 偷偷地做；偷偷取得"
miniature,"adj. 微型的，小规模的
n. 缩图；微型画；微型图画绘画术
vt. 是…的缩影"
glow,"n. 灼热；色彩鲜艳；兴高采烈
vi. 发热；洋溢；绚丽夺目"
petition,"n. 请愿；请愿书；祈求； 诉状
vt. 请愿；请求；恳求
vi. 请愿；请求"
clutch,"n. 离合器；控制；手；紧急关头
vt. 抓住；紧握
adj. 没有手提带或背带的；紧要关头的
vi. 攫；企图抓住"
dental,"n. 齿音
adj. 牙科的；牙齿的，牙的"
analogy,n. 类比；类推；类似
relish,"n. 滋味；风味；食欲；开胃小菜；含义；调味品
vt. 盼望;期待;享受; 品味；喜爱；给…加佐料
vi. 有特定意味；味道可口"
peel,"n. 皮
v. 剥，剥落；削"
afloat,"adj. 在海上的；飘浮的；浸满水的；在传播的
adv. 在海上；飘浮著；浸满水"
despise,vt. 轻视，鄙视
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
dividend,n. 红利；股息； 被除数；奖金
vacuum,"n. 真空；空间；真空吸尘器
adj. 真空的；利用真空的；产生真空的
vt. 用真空吸尘器清扫"
handicraft,n. 手工艺；手工艺品
intact,adj. 完整的；原封不动的；未受损伤的
drought,n. 干旱；缺乏
allege,vt. 宣称，断言；提出…作为理由
slash,"n. 削减；斜线；猛砍；砍痕；沼泽低地
vt. 猛砍；鞭打；严厉批评；大幅度裁减或削减
vi. 猛砍；严厉批评"
agony,n. 苦恼；极大的痛苦；临死的挣扎
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
derive,"vt. 源于；得自；获得
vi. 起源"
patch,"n. 眼罩；斑点；碎片；小块土地
vi. 打补丁
vt. 修补；解决；掩饰"
tribune,n. 护民官；讲坛；看台；公民权利保护者
indict,vt. 控告，起诉； 揭发
coupon,n. 息票；赠券；联票； 配给券
discord,"n. 不和；不调和；嘈杂声
vi. 不一致；刺耳"
inflict,vt. 造成；使遭受（损伤、痛苦等）；给予（打击等）
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
parachute,"n. 降落伞
vi. 跳伞
空投"
indignant,adj. 愤愤不平的；义愤的
static,"n. 静电；静电干扰
adj. 静态的；静电的；静力的"
viable,adj. 可行的；能养活的；能生育的
await,vt. 等候，等待；期待
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
composite,"n. 复合材料；合成物；菊科
adj. 复合的；合成的；菊科的
vt. 使合成；使混合"
haul,"n. 拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离
vt. 拖运；拖拉
vi. 拖，拉；改变主意；改变方向"
latitude,n. 纬度；界限；活动范围
delegate,"n. 代表
vt. 委派…为代表"
buckle,"n. 皮带扣，带扣
vi. 扣住；变弯曲
vt. 扣住；使弯曲"
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
mediate,"vi. 调解；斡旋；居中
vt. 调停；传达
adj. 间接的；居间的"
morale,n. 士气，斗志
vicinity,n. 邻近，附近；近处
eject,vt. 喷射；驱逐，逐出
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
bleach,"n. 漂白剂
vt. 使漂白，使变白
vi. 变白，漂白"
medieval,adj. 中世纪的；原始的；仿中世纪的；老式的
embody,vt. 体现，使具体化；具体表达
haunt,"n. 栖息地；常去的地方
vt. 常出没于…；萦绕于…；经常去…
vi. 出没；作祟"
rim,"n. 边，边缘；轮辋；圆圈
vt. 作…的边，装边于
vi. 作…的边，装边于"
dubious,adj. 可疑的；暧昧的；无把握的；半信半疑的
respective,adj. 分别的，各自的
amiable,adj. 和蔼可亲的，亲切的
deport,vt. 驱逐出境；举止；放逐
enact,vt. 颁布；制定法律；扮演；发生
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
prestige,n. 威望，声望；声誉
accustom,vt. 使习惯于
peck,"n. 许多；配克（容量单位，等于2加仑）；啄痕；快速轻吻
vt. 啄食；扔
vi. 啄食；扔石头；吹毛求疵"
analogue,"n. 类似物；类似情况；对等的人
adj. 类似的；相似物的；模拟计算机的"
consecutive,adj. 连贯的；连续不断的
assorted,"v. 把…分等级；把…归为一类（assort的过去分词）
adj. 组合的；各种各样的；混杂的"
fuse,"n. 保险丝，熔线；导火线，雷管
vt. 使融合；使熔化，使熔融
vi. 融合；熔化，熔融"
incidence,n. 发生率；影响； 入射；影响范围
deduct,vt. 扣除，减去；演绎
shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
lavish,"adj. 浪费的；丰富的；大方的
vt. 浪费；慷慨给予；滥用"
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
hut,"n. 小屋；临时营房
vt. 使住在小屋中；驻扎
vi. 住在小屋中；驻扎"
blunt,"adj. 钝的，不锋利的；生硬的；直率的
vt. 使迟钝"
equator,n. 赤道
augment,"n. 增加；增大
vt. 增加；增大
vi. 增加；增大"
blush,"n. 脸红；红色；羞愧
vt. 红著脸表示；使成红色
vi. 脸红；感到惭愧"
compassion,n. 同情；怜悯
elapse,"n. 流逝；时间的过去
vi. 消逝；时间过去"
lavatory,n. 厕所，盥洗室
dome,"n. 圆屋顶
vi. 成圆顶状
vt. 加圆屋顶于…上"
allude,vi. 暗指，转弯抹角地说到；略为提及，顺便提到
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
frantic,adj. 狂乱的，疯狂的
clasp,"n. 扣子，钩子；握手
vt. 紧抱；扣紧；紧紧缠绕
vi. 扣住"
console,"n.  控制台； 操纵台
vt. 安慰；慰藉"
sauce,"n. 酱油；沙司；调味汁
vt. 使增加趣味；给…调味"
predator,n.  捕食者； 食肉动物；掠夺者
discern,"vt. 识别；领悟，认识
vi. 看清楚，辨别"
escalate,"vt. 使逐步上升
vi. 逐步增强；逐步升高"
cohesion,n. 凝聚；结合； 内聚力
negligible,adj. 微不足道的，可以忽略的
astray,"adj. 迷路的；离开正道的；不对头的
adv. 误入歧途地；迷途地；迷路"
plaza,n. 广场；市场，购物中心
escort,"n. 陪同；护航舰；护卫队；护送者
vt. 护送；陪同；为…护航"
appease,vt. 使平息；使满足；使和缓；对…让步
partition,"n. 划分，分开； 分割；隔墙；隔离物
vt.  分割；分隔；区分"
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
legislate,"vt. 用立法规定；通过立法
vi. 立法；制定法律"
strangle,"vt. 把…勒死；使…窒息
vi. 窒息而死；被勒死"
sway,"n. 影响；摇摆；统治
vt. 影响；统治；使摇动
vi. 影响；摇摆"
armor,"n.  装甲；盔甲
vt. 为…装甲"
deck,"n. 甲板；行李仓；露天平台
vt. 装饰；装甲板；打扮"
bait,"n. 饵；诱饵
vt. 引诱；在…中放诱饵；折磨
vi. 中途休息"
irrespective,adj. 无关的；不考虑的；不顾的
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
integral,"n. 积分；部分；完整
adj. 积分的；完整的，整体的；构成整体所必须的"
dread,"n. 恐惧；可怕的人（或物）
vt. 惧怕；担心
adj. 可怕的
vi. 惧怕；担心"
manuscript,"n.  手稿；原稿
adj. 手写的"
