dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
outlet,n. 出口，排放孔； 电源插座；销路；发泄的方法；批发商店
submarine,"n. 潜水艇；海底生物
adj. 海底的；水下的
vt. 用潜水艇攻击
vi. 在下疾行；在下滑动"
weep,"n. 哭泣；眼泪；滴下
vt. 哭泣；流泪；悲叹；流出或渗出液体
vi. 哭泣；流泪；哀悼；滴落；渗出液体"
veil,"n. 面纱；面罩；遮蔽物；托词
vt. 遮蔽；掩饰；以面纱遮掩；用帷幕分隔
vi. 蒙上面纱；出现轻度灰雾"
inflate,"vt. 使充气；使通货膨胀
vi. 膨胀；充气"
waist,n. 腰，腰部
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
oriental,"adj. 东方的；东方人的
n. 东方人"
erase,"vt. 抹去；擦除
vi. 被擦去，被抹掉"
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
revenge,"n. 报复；复仇
vt. 报复；替…报仇；洗雪
vi. 报仇；雪耻"
superstition,n. 迷信
breast,"n. 乳房，胸部；胸怀；心情
vt. 以胸对着；与…搏斗"
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
emit,vt. 发出，放射；发行；发表
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
piracy,n. 海盗行为；剽窃；著作权侵害；非法翻印
ridiculous,adj. 可笑的；荒谬的
elastic,"n. 松紧带；橡皮圈
adj. 有弹性的；灵活的；易伸缩的"
tame,"adj. 驯服的；平淡的；乏味的；顺从的
vt. 驯养；使变得平淡；制服
vi. 变得驯服"
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
slogan,n. 标语；呐喊声
refine,vt. 精炼，提纯；改善；使…文雅
sparse,adj. 稀疏的；稀少的
meditate,"vt. 考虑；计划；企图
vi. 冥想；沉思"
delete,vt. 删除
stiff,"adj. 呆板的；坚硬的；严厉的；拘谨的
adv. 僵硬地；彻底地
n. 死尸；令人讨厌者；流通票据；劳动者
vt. 诈骗；失信"
swap,"n. 交换；交换之物
vt. 与...交换；以...作交换
vi. 交换；交易"
gymnasium,n. 体育馆；健身房
diverge,"vt. 使偏离；使分叉
vi. 分歧；偏离；分叉；离题"
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
shave,"vi. 剃须，剃毛
vt. 剃，削去；修剪；切成薄片；掠
n. 刮脸，剃胡子；修面；<口>侥幸逃过，幸免；剃刀，刮刀"
mosquito,n. 蚊子
commence,v. 开始；着手；<英>获得学位
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
twilight,"adj. 黎明，黄昏；薄暮；衰退期；朦胧状态
n. 黄昏；薄暮；衰退期；朦胧状态"
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
bump,"n. 肿块，隆起物；撞击
vi. 碰撞，撞击；颠簸而行
vt. 碰，撞；颠簸
adv. 突然地，猛烈地"
rational,"n. 有理数
adj. 合理的；理性的"
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
revolution,n. 革命；旋转；运行；循环
cuisine,n. 烹饪，烹调法
decent,adj. 正派的；得体的；相当好的
stuff,"n. 东西；材料；填充物；素材资料
vt. 塞满；填塞；让吃饱
vi. 吃得过多"
biography,n. 传记；档案；个人简介
freeway,n. 高速公路
atom,n. 原子
sunbathe,"n. 日光浴；太阳灯浴
vi. 沐日光浴"
gasoline,n. 汽油
blush,"n. 脸红；红色；羞愧
vt. 红著脸表示；使成红色
vi. 脸红；感到惭愧"
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网"
wrinkle,"n. 皱纹
vi. 起皱
vt. 使起皱纹"
solemn,adj. 庄严的，严肃的；隆重的，郑重的
skid,"n. 打滑； 刹车；滑轨，滑动垫木
vt. 刹住，使减速；滚滑
vi. 打滑"
noble,"adj. 高尚的；贵族的；惰性的；宏伟的
n. 贵族
vt. 抓住；逮捕"
flexible,adj. 灵活的；柔韧的；易弯曲的
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
complement,"n. 补语；余角；补足物
vt. 补足，补助"
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
apposite,adj. 适当的；贴切的
lease,"n. 租约；租期；租赁物；租赁权
vt. 出租；租得
vi. 出租"
weary,"adj. 疲倦的；厌烦的；令人厌烦的
vt. 使疲倦；使厌烦
vi. 疲倦；厌烦"
irony,"n. 讽刺；反语；具有讽刺意味的事
adj. 铁的；似铁的"
surname,"n. 姓，姓氏；绰号，别名
vt. 给…起别名；给…姓氏"
offspring,n. 后代，子孙；产物
stationer,n. 文具店；文具商
reclaim,"n. 改造，感化；再生胶
vt. 开拓；回收再利用；改造某人，使某人悔改
vi. 抗议，喊叫"
optical,adj. 光学的；眼睛的，视觉的
exempt,"n. 免税者；被免除义务者
adj. 被免除的；被豁免的
vt. 免除；豁免"
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
disintegrate,"vi. 瓦解；碎裂；衰变
vt. 使分解；使碎裂；使崩溃；使衰变"
collaborate,vi. 合作；勾结，通敌
utilise,vt. 使用（等于utilize）；利用
utilize,vt. 利用
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
deficiency,n. 缺陷，缺点；缺乏；不足的数额
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
implicate,vt. 使卷入；涉及；暗指；影响
succession,n. 连续；继位；继承权； 演替
aptitude,n. 天资；自然倾向；适宜
departure,n. 离开；出发；违背
induce,vt. 诱导；引起；引诱；感应
trivial,adj. 不重要的，琐碎的；琐细的
republic,n. 共和国；共和政体
deputy,"n. 代理人，代表
adj. 副的；代理的"
bribery,n.  贿赂；受贿；行贿
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
liberty,n. 自由；许可；冒失
liberate,vt. 解放；放出；释放
literary,adj. 文学的；书面的；精通文学的
speculate,"vi. 推测；投机；思索
vt. 推断"
heritage,n. 遗产；传统；继承物；继承权
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
delegate,"n. 代表
vt. 委派…为代表"
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
extinguish,vt. 熄灭；压制；偿清
nickname,"n. 绰号；昵称
vt. 给……取绰号；叫错名字"
ego,n. 自我；自负；自我意识
cushion,"n. 垫子；起缓解作用之物；（猪等的）臀肉；银行储蓄
vt. 给…安上垫子；把…安置在垫子上；缓和…的冲击"
radiance,n. 辐射；光辉；发光；容光焕发
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
subtract,vt. 减去；扣掉
devastate,vt. 毁灭；毁坏
utmost,"n. 极限；最大可能
adj. 极度的；最远的"
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
violate,vt. 违反；侵犯，妨碍；亵渎
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
expedition,n. 远征；探险队；迅速
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
partial,adj. 局部的；偏爱的；不公平的
semester,n. 学期；半年
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
envy,"n. 嫉妒，妒忌；羡慕
vt. 嫉妒，妒忌；羡慕
vi. 感到妒忌；显示出妒忌"
tragedy,n. 悲剧；灾难；惨案
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
sketch,"n. 素描；略图；梗概
vt. 画素描或速写
vi. 画素描或速写"
mercy,n. 仁慈，宽容；怜悯；幸运；善行
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
silent,"n. 无声电影
adj. 沉默的；寂静的；无记载的"
cosy,"n. 保温罩
adj. 舒适的；惬意的"
undergo,vt. 经历，经受；忍受
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
questionnaire,n. 问卷；调查表
intern,"n. 实习生，实习医师
vt. 拘留，软禁
vi. 作实习医师"
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
vice,"prep. 代替
n. 恶习；缺点； 老虎钳；卖淫
adj. 副的；代替的
vt. 钳住"
tiresome,adj. 烦人的，无聊的；令人讨厌的
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
appetite,n. 食欲；嗜好
put in,"v. 探进；放进；输入；纳入
 插嘴；放入；提出"
put on,"na. 假话
 穿上；上演；戴上"
put down,"na. 平定；贬低(的话)；(飞机的)降落
 放下；镇压；记下"
put away,"v. 把…收起来；储存
 放好；把……收起来；收好"
put up,提供；建造；举起；提高；推举，提名；供给…住宿；直接行动
put out,"v. 扑灭；熄灭；放出；伸出
 关；关熄；消灭，关"
put into,"na. 插入；注入；(船)入港
 使进入；放进；投入"
put off,"na. 延期；辩解
 推迟；拖延；推延"
put back,"v. 放回；推迟
 放回原处；拨回；把……放回原处"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
 提前；推荐；表提出"
put an end to,"na. 结束
 终止；废除；停止"
put up with,"na. 忍住
 忍受；容忍；忍耐"
make after,"na. 追赶；跟随
 追逐；追求；追随"
make up,"na. 弥补；起草；定；签订
 组成；化妆；编造"
make up for,"v. 偿还；赔偿
 弥补；补偿；补偿，弥补"
make up from,vt.由...制成
make up of,"v. 由…组成
 由……组成；由……构成；弥补"
make for,"na. 有利于；对…有益；倾向于；支持
 走向；向…前进；有助于"
make out,"na. 理解；发现；起草；证明
 辨认出；填写；开列"
make friends with,"na. 跟…做朋友
 与……交朋友；和……交朋友；与……交友"
make use of,"na. 使用
 利用；利用某事物；利用好时间"
make an apology to sb. for sth.,找不到解释
make up one's mind,"na. 决心 (to do)
 下决心；下定决心；决定"
make fun of,"na. 嘲弄
 取笑；嘲笑；开玩笑"
make room for,"na. 让地位给…
 给……腾出地方；腾出空间；给……腾地方"
make comments on, 发表评论；评论某事；对某事进行评论
take in,"na. 加以考虑；访问；收进；收容
 欺骗；吸收；接受"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
 承担；雇用；雇佣"
take after,"na. 尾随；仿效；像
 象；长得像；与相像"
take down,"na. 扯下；卷起；记下；卸下
 拿下；取下；拆卸"
take away,"adj. 买回去的
 拿走；带走；外带"
take apart,"na. 分解；拆分；剖析
 拆开；拆卸；卸开"
take up,"na. 拿起；举起；拾起；给搭(火车等)
 占据；从事；开始"
take out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
 拿出；去掉；拿出来"
take off,"v. (飞机)起飞；出去；拿掉；移送
 脱下；脱掉；脱去"
take over,"na. 接管；继承
 接收；接任；接替"
take back,"na. 退回；收回(说过的话)；承认…是错的；拿回
 取消；取回；拿回来"
take sth. for granted,"v. 想当然
 认为…理所当然；视为当然；认为…是理所当然"
take notice of,"v. 注意；理会；留心
 注意到；在意；睬"
pay attention to,"na. 注意
 重视；对……注意；关心"
take pride in,"na. 以…自豪；对…感到满意
 对…感到自豪；以……为自豪；骄傲"
take the place of,"na. 接替某人的位置
 代替；取代；替代"
take part in,"na. 参加；贡献
 参与；参加活动；参与…活动"
set down,"na. 记入；登记；定；设
 记下；放下；写下"
set up,"na. 建立；创立；发起；开办
 设立；设置；成立"
set about,"na. 动手；开始；下手；着手
 散布；着手做某事；开始做"
set aside,"na. 搁置；拨出；驳回
 留出；取消；挑出，留出"
set out,"n. 开始；出发；动身；准备
 陈列；着手；陈述"
set off,"na. 分；分割；划开；区划
 出发；动身；引起"
set fire to,"na. 点燃；放火
 使燃烧；放火烧；纵火"
set an example to sb.,找不到解释
give in,"na. 让步；屈服；投降；上交
 交上；认输；放弃"
give away,"na. 赠送；分发；放弃；露马脚
 泄露；出卖；分送"
give up,"na. 放弃；断绝；投降；自首
 停止；抛弃；认输"
give out,"na. 发表；放出；分发
 发出；用完；用尽"
give off,"na. 发散(水蒸气等)
 发出；放出；释放"
give way to,"v. 让步；退却
 让位于；给…让路；给…让路，对…让步"
go in for,"na. 赞成；寻求；参加
 从事；追求；爱好"
go on,"na. 往前走；继续…下去 (with； doing)；日子过得
 发生；进行；继续下去"
go after,"na. 追求
 追逐；追赶；寻找"
go against,"na. 违背；不利于
 反对；违反；不顺心"
go along,"na. 前进
 进行；沿着……一直走；同意"
go through,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
 经历；经受；仔细检查"
go away,"na. 离开；带走
 走开；离去；消失"
go with,"na. 同…一致；跟…谈恋爱；带有；领会
 伴随；与…相配；跟…相配"
go up,"na. 上升；上城市去；腾贵；烧起来
 上涨；增长；上去"
go out,"na. 出去；灭；辞职；下台
 熄灭；外出；过时"
go into,"na. 进入；(门等)通着；加入；参与
 调查；从事；研究"
go over,"na. 仔细查看；仔细搜查；排练；重温
 复习；检查；仔细检查"
go by,"na. 走过；以…为根据(作判断)；顺道访问；受…所控制
 过去；经过；依照"
go back,"na. “Come back”的变体；回来；追溯到；回顾
 回去；返回；回到"
come in,"na. 进入；当选；上台；(党派)组阁
 进来；请进；流行起来"
come on,"na. (演员)出台；进行(很好)；(暴风雨等)起；(病,苦痛等)加深
 来吧；加油；快点"
come about,"na. 发生；(风等)变向；抢风调向
 产生；迎风折驶；形成"
come along,"na. 进步；同意；一道来；请过来
 出现；进展；快点"
come to,"na. 总计为；结果是；苏醒；把船朝着风头
 达到；来到；恢复知觉"
come across,"na. 尽(义务)；发现；碰见；(穿过…)来到
 遇见；偶然遇见；碰到"
come up with,"na. 想出(一个主意或计划)；提出；提供；筹措
 赶上；找到；想出某事"
come out,"na. 出来
 出现；出柜；现身"
come back,"na. 回来；想起来；复原；归
 恢复；回来吧；回想起来"
come up to,"na. 到达；不亚于；不负(期待)
 达到；符合；达到，符合"
come from,"v. 来自；出身；归因于
 来自于；来源于；出生"
turn in,"v. 向里弯曲
 上交；上床睡觉；交出"
turn on,"na. 转向；对…进行突击
 打开；接通；开启"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
 关小；调低；驳回"
turn against,"na. 背叛；使对抗；厌恶
 反对；转而反对；反抗"
turn to,"v. 向(某人)求助；求助于
 转向；变成；翻到"
turn up,"v. 朝上翻；出现
 开大；找到；露面"
turn out,v. （以某种方式）发生；最后是；结果是 （尤指天气突然）变得（晴好） 原来是；结果发现 出席;参加;前去观看关掉，熄灭（电灯、煤气等） 出席;参加;前去观看生产；制造 （尤指把某人从其长期居住处）撵走，赶出，逐出 翻出；倒出 出席；参加；前去观看
turn into,"v. 变成
 成为；把……变成；变为"
