unofficial,adj. 非官方的；非正式的
dusk,"n. 黄昏，薄暮；幽暗，昏暗
vt. 使变微暗
adj. 微暗的
vi. 变微暗"
bolt,"n. 螺栓，螺钉；闪电，雷电；门闩；弩箭;（布的）一匹，一卷
vt. 筛选；囫囵吞下；（把门、窗等）闩上；突然说出，脱口说出
vi. （门窗等）闩上，拴住；冲出，跳出；（马等的）脱缰；囫囵吞下
adv. 突然地；像箭似地；直立地"
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
cold front,"na. 冷锋
 冷峰；寒冷前线；寒流"
heat wave,"na. 热浪；热浪期
 热波；阳炎；酷暑"
air mass,"na. 气团
 空气质量；进气质量；空气大气光程"
tropical depression,"un. 热带低气压
 热带低压；热带性低气压；热带低气压的缩写"
atmospheric pressure,"na. (大)气压(力)
 大气压力；大气压强；常压"
barometer,n.  气压计；晴雨表；显示变化的事物
thermometer,n. 温度计；体温计
Celsius,找不到解释
centigrade,adj. 摄氏的； 摄氏温度的；百分度的
Fahrenheit,找不到解释
EI Nino,找不到解释
astronaut,n. 宇航员，航天员；太空旅行者
cosmology,n.  宇宙论， 宇宙学
astrophysics,n. 天体物理学
celestial,"n. 神仙，天堂里的居民
adj. 天上的，天空的"
celestial body,"na. 天体；“celestial object”的变体
 星球；星体；天球理论是假设所有天体"
heavenly body,"n. 天体
 星球；星体；天听"
interstellar,adj.  星际的
stellar,adj. 星的；星球的；主要的；一流的
outer space,"na. 外层空间；宇宙空间
 外太空；外部空间；星际空间"
black hole,"n. 黑洞（宇宙中包括光线在内的任何东西都无法逃逸的强引力区域）
 黑洞理论；感情黑洞；牢房"
nebula,n. 星云；角膜云翳
nebulae,n. 星云
galaxy,"n. 银河； 星系；银河系；一群显赫的人
n. 三星智能手机品牌 2015年三星中国公布Galaxy的中文名称为“盖乐世”（Galaxy）
"
constellation,n.  星座；星群；荟萃；兴奋丛
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
Milky Way,银河；银河系（等于Milky Way galaxy）
magnetosphere,n. 磁气圈；磁层
infrared rays,"na. 红外线
 例如红外线；红外光；红外射线"
ultraviolet rays,"na. 紫外线
 紫外线辐射；紫外光；紫外线光"
satellite,n. 卫星；人造卫星；随从；卫星国家
comet,n.  彗星
star,"n. 星，恒星；明星；星形物
adj. 明星的，主角的；星形的
vt. 用星号标于；由…主演，由…担任主角
vi. 担任主角"
nova,n.  新星
supernova,n.  超新星
planet,n. 行星
planetoid,n.  小行星
asteroid,"n.  小行星； 海盘车；小游星
adj. 星状的"
interplanetary,adj. 太阳系内的；行星间的
meteor,n. 流星； 大气现象
meteoric,adj. 大气的；流星的；疾速的
shooting star,"n. 流星
 射击之星；射星；流星炮击"
meteor shower,"un. 流星雨
 一起来看流星雨；陨石雨；流星术"
meteorite,n. 陨星；流星
meteoroid,n.  流星体
aurora,n.  极光；曙光
corona,n.  电晕；日冕；冠状物
solar radiation,"na. 太阳放射热
 太阳辐射；太阳幅射；日射"
sunspot,n. 太阳黑子；雀斑
solar wind,"na. 太阳风
 太阳风美国科学卫星；太阳风暴太阳风；太阳抛出来的高能量粒子"
Mercury,找不到解释
Venus,n.  金星；维纳斯（爱与美的女神）
Mars,n. 战神； 火星
Jupiter,n.  木星；朱庇特（罗马神话中的宙斯神）
Saturn,n.  土星；农业之神（罗马神话中的一个形象）
Uranus,n.  天王星
Neptune,n.  海王星；海神
Pluto,n.  冥王星；冥王
rotation,n. 旋转；循环，轮流
revolution,n. 革命；旋转；运行；循环
orbit,"n. 轨道；眼眶；势力范围；生活常规
vi. 盘旋；绕轨道运行
vt. 绕…轨道而行"
axis,n. 轴；轴线；轴心国
gravitation,n. 重力；万有引力；地心吸力
gravitational pull,"na. (星球等对另一物体的)引力作用
 地心引力；万有引力；重力牵引力"
gravitational force,"n. 地心引力
 重力；万有引力；引力作用"
lunar,adj. 月亮的，月球的；阴历的；银的；微亮的
lunar eclipse,"na. 月蚀
 月食；月全食；月全蚀"
crescent,找不到解释
solar eclipse,"na. 日蚀
 日食；日全食；日环食"
light year,"n. 光年（指光在一年中走过的距离：9.4607 × 10&sup12 公里）
 光年俊驹"
leap year,"n. 闰年
 败犬求婚日；闰年龙；平年"
planetarium,n. 天文馆；行星仪
observatory,n. 天文台；气象台；瞭望台
space shuttle,"n. 航天飞机
 太空梭；太空穿梭机；太空飞船"
spacecraft,n.  宇宙飞船，航天器
space probe,"na. 航天探测器
 空间探测器；宇宙探测器；太空探测器"
time zone,"n. 时区
 选择时区；时间区域；时区管理"
Greenwich Mean Time,找不到解释
GMT,abbr. 格林威治标准时间（Greenwich Mean Time）
organic chemistry,"n. 有机化学
 化学丛书之有机化学；有机化学常用词汇；有机化学领域"
inorganic chemistry,"n. 无机化学
 无机化学常用词汇；非有机化学；无机化学与无机化学工程"
biochemistry,"n. 生物化学
生物化学过程"
acoustics,n. 声学；音响效果，音质
sound wave,"n. 声波
 音波；纵波有声波；声音波形"
microwave,n. 微波
echolocation,n. 回波定位；回声测距；回声定位能力（鲸和蝙蝠等所具备得一种机能）
echo,"n. 回音；效仿
vt. 反射；重复
vi. 随声附和；发出回声"
sonar,n. 声纳；声波定位仪（等于asdic）
radar,n.  雷达，无线电探测器
optics,n.  光学
optical,adj. 光学的；眼睛的，视觉的
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
prism,n. 棱镜； 棱柱
lens,"n. 透镜，镜头；眼睛中的水晶体；晶状体；隐形眼镜；汽车的灯玻璃
vt. 给……摄影"
magnet,n. 磁铁； 磁体；磁石
magnetic,adj. 地磁的；有磁性的；有吸引力的
magnetize,"vt. 吸引；使磁化
vi. 磁化；受磁"
magnetization,n. 磁化
magnetic force,"na. 磁力
 磁化力；磁场力；磁性"
magnetic field,"n. 磁场
 耐电源频率磁场测试；磁力传感器；磁力场"
electromagnetism,n. 电磁；电磁学
magnetism,n. 磁性，磁力；磁学；吸引力
electromagnetic radiation,"na. 电磁辐射
 电磁波；电磁放射；电磁幅射"
electromagnetic wave,"na. 电磁波
 电磁锡炉；电磁能量；电磁波的概念"
photon,n.  光子；辐射量子；见光度（等于light quantum）
gravity,n. 重力，地心引力；严重性；庄严
resistance,n. 阻力；电阻；抵抗；反抗；抵抗力
wind resistance,"na. 风(对运动)的阻力
 风阻力；抗风性；抗风性能"
air resistance,"n. 空气阻力
 降低空气阻力；风阻；空气中的阻力"
traction,n. 牵引； 牵引力
centripetal force,"na. 向心力
 向心力实验；离心力；定心力"
centrifugal force,"n. 离心力
 向心力；激振力；地心引力"
inertia,n.  惯性；惰性，迟钝；不活动
momentum,n. 势头； 动量；动力；冲力
kinetic,adj.  运动的；活跃的
kinetic energy,"na. 动能
 动能引；湍流动能；运动能量"
acceleration,n. 加速，促进； 加速度
deceleration,n. 减速
lever,"n. 杠杆；控制杆
vt. 用杠杆撬动；把…作为杠杆
vi. 用杠杆撬"
pulley,"n. 滑轮；皮带轮；滑车
vt. 用滑轮升起"
universal gravitation,"na. 万有引力
 万有引力原意是普遍的重力；牛顿万有引力"
conservation of energy,"na. 能量守恒
 节约能源；能量不灭；能量守恒定律"
uniform motion,"na. 匀速运动
 等速运动；等速运动规律；均匀运动"
circular motion,"un. 圆正态分布；曲线动作
 圆周运动；圆运动；圆弧运动"
electric current,"na. 电流
 水中能放电流；电流强度；输出电流"
electric charge,"na. 电荷
 电量；电费；充电"
positive charge,"na. 阳电荷
 正电荷；正电菏；负电荷"
negative charge,"na. 阴(电)荷
 负电荷；阴电荷；带负电荷"
static electricity,"na. 静电
 静电学；静位觉；静电気"
static,"n. 静电；静电干扰
adj. 静态的；静电的；静力的"
electric circuit,"na. 电路
 电气线路；电路分析；电机电路"
pole,找不到解释
electrode,顽皮雷弹
ion,n.  离子
ionize,"vt. 电离；使离子化
vi. 离子化"
ionization,n.  离子化
electron,n. 电子
proton,n.  质子
neutron,n.  中子
atom,n. 原子
nucleus,n. 核，核心；原子核
nuclei,n. 核心，核子；原子核（nucleus的复数形式）
plasma,n.  等离子体；血浆； 深绿玉髓
fusion,n. 融合；熔化；熔接；融合物； 核聚变
fission,n. 裂变；分裂；分体；分裂生殖法
nuclear reactor,"na. (原子)核反应堆
 核子反应炉；核反应器；核反应炉"
reactor,n.  反应器； 反应堆；起反应的人
radioactive,adj.  放射性的；有辐射的
radioactivity,n. 放射性； 放射能力； 放射现象
reflectivity,n.  反射率； 反射性；反射比
refract,vt. 使折射
refraction,n. 折射；折光
voltage,n.  电压
volt,n. 伏特（电压单位）；环骑；闪避
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
watt,n. 瓦特
megawatt,n. 兆瓦特，百万瓦特
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
fluorescent light,"na. “fluorescent lamp”的变体
 荧光灯；日光灯；萤光灯"
wire,"n. 电线；金属丝；电报
vt. 拍电报；给…装电线
vi. 打电报"
filament,n. 灯丝；细丝；细线；单纤维
semiconductor,n.  半导体
conductivity,n. 导电性； 传导性
isotope,n. 同位素
chemical reaction,"na. 化学反应
 化学反应性质；化学作用；化学反应法"
solution,n. 解决方案；溶液；溶解；解答
solvent,"n. 溶剂；解决方法
adj. 有偿付能力的；有溶解力的"
reagent,n.  试剂；反应物
catalyst,n.  催化剂；刺激因素
test tube,"n. 试管
 小试管；硬质试管；试验用了很多试管"
vessel,n. 船，舰； 脉管，血管；容器，器皿
flask,n.  烧瓶；长颈瓶，细颈瓶；酒瓶，携带瓶
beaker,n. 烧杯；大口杯
gasify,vt.& vi. 使成为气体，使气化
gas,"n. 气体； 瓦斯；汽油；毒气
vt. 加油；毒（死）
vi. 加油；放出气体；空谈"
liquefy,vt. 液化；溶解
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
solidify,"vt. 团结；凝固
vi. 团结；凝固"
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的"
volatilize,"vt. 使挥发；使发散
vi. 挥发"
fluid,"n. 流体；液体
adj. 流动的；流畅的；不固定的"
acid,"n. 酸；<俚>迷幻药
adj. 酸的；讽刺的；刻薄的"
acidic,adj. 酸的，酸性的；产生酸的
acidity,n. 酸度；酸性；酸过多；胃酸过多
alkali,"n. 碱；可溶性无机盐
adj. 碱性的"
alkaline,adj. 碱性的，碱的
alkalinity,n.  碱度； 碱性
saline,"n. 盐湖；碱盐泻药
adj. 盐的；含盐分的"
salinity,n. 盐度；盐分；盐性
salinization,n. 盐化作用，盐碱化
nitrogen,n.  氮
ammonia,n.  氨，阿摩尼亚
methane,n.  甲烷； 沼气
hydrogen,n.  氢
helium,n.  氦（符号为He，2号元素）
chlorine,n.  氯（17号化学元素）
fluoride,n. 氟化物
noble gas,"n. 稀有气体；惰性气体
 贵气体；高贵气体；贵重气体"
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
carbonize,vt. 碳化；使与碳化合；使成碳
carbonate,"n. 碳酸盐
vt. 使充满二氧化碳；使变成碳酸盐"
calcium carbonate,"n. 碳酸钙
 碳酸钠；轻质碳酸钙；钙片"
silicon,n.  硅；硅元素
sulfur,"n. 硫磺；硫磺色
vt. 用硫磺处理"
silica,n. 二氧化硅； 硅土
sulfide,n.  硫化物
silicate,n.  硅酸盐
sulfate,"n.  硫酸盐
vt. 使成硫酸盐；用硫酸处理；使在上形成硫酸铅沉淀
vi. 硫酸盐化"
nitrate,"n. 硝酸盐
vt. 用硝酸处理"
phosphorus,n. 磷
phosphate,n. 磷酸盐；皮膜化成
hydrocarbon,n.  碳氢化合物
iodine,n. 碘；碘酒
sodium,n.  钠（11号元素，符号 Na）
aluminum,n. 铝
mercury,n. 水星
quicksilver,"n. 水银；汞；快银（漫威漫画旗下超级英雄）
adj. 水银的；水银似的；多变的
vt. 涂水银于；用水银处理"
platinum,"n.  铂；白金；唱片集达100万张的销售量；银灰色
adj. 唱片集已售出100万张的"
copper,"n. 铜；铜币；警察
adj. 铜制的
vt. 镀铜"
bronze,"n. 青铜；古铜色；青铜制品
adj. 青铜色的；青铜制的
vt. 镀青铜于
vi. 变成青铜色，被晒黑"
brass,n. 黄铜；黄铜制品；铜管乐器；厚脸皮
zinc,"n. 锌
vt. 镀锌于…; 在…上镀锌"
magnesium,n.  镁
calcium,n.  钙
potassium,n.  钾
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
titanium,n.  钛（金属元素）
nickel,"n. 镍；镍币；五分镍币
vt. 镀镍于"
uranium,n.  铀
iridium,n.  铱（Ir）
lithium,n. 锂（符号Li）
tin,"n. 锡；罐头，罐；马口铁
adj. 锡制的
vt. 涂锡于；给…包马口铁"
carbonic acid,"n. 碳酸
 炭酸；碳酸值；譬如碳酸"
nitric acid,"n. 硝酸
 硝酸类；硝镪水；销酸"
sulfuric acid,"n. 硫酸
 硫磺酸；发烟硫酸；浓硫酸"
hydrochloric acid,"n. 盐酸
 氢氯酸；氯化氢；浓盐酸"
ethanol,n.  乙醇， 酒精
ether,n. 乙醚； 以太；苍天；天空醚
gasoline,n. 汽油
petrol,n. （英）汽油
petroleum,n. 石油
kerosene,n. 煤油，火油
diesel,"n. 柴油机；柴油；（俚）健康的身体
adj. 内燃机传动的；供内燃机用的
n. 迪赛（意大利时装品牌）"
graphite,"n. 石墨；黑铅
n. 用石墨涂（或掺入等）"
indigo,"n. 靛蓝，靛蓝染料；靛蓝色；槐蓝属植物
adj. 靛蓝色的"
dye,"n. 染料；染色
vt. 染；把…染上颜色
vi. 被染色"
tint,"n. 色彩；浅色
vt. 染（发）；给…着色"
refrigerate,vt. 冷藏，冷冻；使冷却；使清凉
refrigeration,n. 制冷；冷藏； 冷却
latex,n. 乳胶；乳液
rubber,"n. 橡胶；橡皮；合成橡胶；按摩师
adj. 橡胶制成的
vt. 涂橡胶于；用橡胶制造
vi. 扭转脖子看；好奇地引颈而望"
foam,"n. 泡沫；水沫；灭火泡沫
vt. 使起泡沫；使成泡沫状物
vi. 起泡沫；吐白沫；起着泡沫流动"
polyethylene,n.  聚乙烯
polythene,n.  聚乙烯（等于polyethylene）
powder,"n. 粉；粉末； 火药；尘土
vt. 使成粉末；撒粉；搽粉于
vi. 搽粉；变成粉末"
gunpowder,n. 火药；有烟火药
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
nanometer,n.  纳米（即十亿分之一米）
nanotechnology,n. 纳米技术
laboratory,n. 实验室，研究室
lab,n. 实验室，研究室
combustion,n. 燃烧，氧化；骚动
combustible,"n. 可燃物；易燃物
adj. 易燃的；易激动的；燃烧性的"
diameter,n. 直径
radius,n. 半径，半径范围； 桡骨；辐射光线；有效航程
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
curve,"n. 曲线；弯曲；曲线球；曲线图表
adj. 弯曲的；曲线形的
vt. 弯；使弯曲
vi. 成曲形"
curvature,n. 弯曲， 曲率
husbandry,n. 饲养；务农，耕种；家政
horticulture,n. 园艺，园艺学
aquaculture,n.  水产养殖；水产业
hydroponics,n. 水栽培，水耕法； 溶液培养学
arable,"n. 耕地
adj. 适于耕种的；可开垦的"
agrarian,adj. 土地的；耕地的；有关土地的
crop rotation,"na. 轮作(法)
 作物轮作；轮流耕作；轮种"
plow,"n.  犁；似犁的工具；北斗七星
vt.  犁；耕；开路
vi.  犁；耕地；破浪前进；开路"
plough,"n. 犁；耕地（等于plow）
vi. 用犁耕田；开路
vt. 犁；耕"
till,"prep. 直到
conj. 直到...为止
n.  冰碛；放钱的抽屉；备用现金
vt. 耕种；犁
vi. 耕种；耕耘"
tillage,n. 耕作，耕种
harrow,"vt. 耙地；使苦恼
n. 耙
vi. 被耙松"
sow,"n. 母猪
vt. 播种；散布；使密布
vi. 播种"
fallow,"n. 休耕地；休耕
adj. 休耕的；不活跃的
vt. 使（土地）休闲；潜伏"
cattle,n. 牛；牲畜（骂人的话）；家畜；无价值的人
herd,"n. 兽群，畜群；放牧人
vt. 放牧；使成群
vi. 成群，聚在一起"
herdsman,n. 牧人
herder,n. 牧人；（美俚）监狱看守
graze,"n. 放牧；轻擦
vi. 吃草；擦伤
vt. 放牧；擦伤"
grazer,n. 吃草的动物; 食植动物; 食草者; 食植者
overgraze,"vi. 过度放牧
vt. 在…上过度放牧"
irrigate,"vt. 灌溉；冲洗；使清新
vi. 灌溉；冲洗"
irrigation,n. 灌溉； 冲洗；冲洗法
overirrigation,过量灌溉; 灌水过多
cropland,n. 农田；植作物之农地
seedbed,n. 苗床，苗圃；温床，发源地
seedling,n. 秧苗，幼苗；树苗
seed,"n. 种子；根据；精液；萌芽；子孙；原由
vt. 播种；结实；成熟；去…籽
vi. 播种；（植物）结实"
drought,n. 干旱；缺乏
barrel,"n. 桶；枪管，炮管
vt. 把……装入桶内
vi. 快速移动"
bucket,"n. 桶，水桶；铲斗；一桶的量
v. 倾盆而下；颠簸着行进"
hoe,"n. 锄头
vi. 用锄耕地
vt. 锄，用锄头"
