purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
sex,"n. 性；性别；性行为；色情
vt. 引起…的性欲；区别…的性别"
sexy,adj. 性感的；迷人的；色情的
sexual,adj. 性的；性别的；有性的
gay,"n. 同性恋者
adj. 快乐的；放荡的；艳丽的"
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
male,"adj. 男性的；雄性的；有力的
n. 男人；雄性动物"
generation,n. 一代；产生；一代人；生殖
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
related,"v. 叙述（relate过去式）
adj. 有关系的，有关联的；讲述的，叙述的"
relation,n. 关系；叙述；故事；亲属关系
relationship,n. 关系；关联
kin,"n. 亲戚；家族；同族
adj. 同类的；有亲属关系的；性质类似的"
elder,"n. 老人；长辈；年长者；父辈
adj. 年长的；年龄较大的；资格老的"
elderly,adj. 上了年纪的；过了中年的；稍老的
affection,n. 喜爱，感情；影响；感染
temptation,n. 引诱；诱惑物
tempting,"v. 引诱（tempt的ing形式）
adj. 吸引人的；诱惑人的"
obsession,n. 痴迷；困扰； 强迫观念
obsessed,"adj. 着迷的；无法摆脱的
v. 着迷（obsess的过去式）；纠缠"
lover,"n. 爱人，恋人；爱好者
n. 小三；第三者"
beloved,"n. 心爱的人；亲爱的教友
adj. 心爱的；挚爱的"
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
proposal,n. 提议，建议；求婚
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
wedding,"n. 婚礼，婚宴；结婚；结合
v. 与…结婚（wed的ing形式）"
bride,n. 新娘；姑娘，女朋友
bridegroom,n. 新郎
kiss,"vt. 吻；（风等）轻拂
vi. 接吻；（风等）轻触
n. 吻；轻拂"
oath,n. 誓言，誓约；诅咒，咒骂
marry,"vt. 嫁；娶；与……结婚
vi. 结婚"
marriage,n. 结婚；婚姻生活；密切结合，合并
married,"adj. 已婚的，有配偶的；婚姻的，夫妇的；密切结合的
n. 已婚者
v. 结婚，与…结婚（marry的过去式）"
marital,adj. 婚姻的；夫妇间的
spouse,"n. 配偶
vt. 和…结婚"
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
housewife,n. 家庭主妇
husband,"n. 丈夫
vt. 节约地使用（或管理）"
wife,n. 妻子，已婚妇女；夫人
divorce,"n. 离婚；分离
vt. 使离婚，使分离；与…离婚
vi. 离婚"
widow,"n. 寡妇；孀妇
vt. 使成寡妇"
window,n. 窗；窗口；窗户
twin,"n. 双胞胎中一人
adj. 双胞胎的
vt. 使成对
vi. 成对；生双胞胎"
nephew,n. 侄子；外甥
niece,n. 外甥女，侄女
hero,n. 英雄；男主角，男主人公
heroine,n. 女主角；女英雄；女杰出人物
juvenile,"adj. 青少年的；幼稚的
n. 青少年；少年读物"
youngster,n. 年轻人；少年
youth,n. 青年；青春；年轻；青少年时期
youthful,adj. 年轻的；早期的
lad,n. 少年，小伙子；家伙
laddish,adj. 稚气的；男孩的；如少年的
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
teen,"n. 青少年（等于teenager）；愤怒；悲哀
adj. 十几岁的（等于teenaged）"
heir,n.  继承人；后嗣；嗣子
successor,n. 继承者；后续的事物
successive,adj. 连续的；继承的；依次的；接替的
infant,"n. 婴儿；幼儿；未成年人
adj. 婴儿的；幼稚的；初期的；未成年的"
orphan,"adj. 孤儿的；无双亲的
n. 孤儿
vt. 使成孤儿"
servant,n. 仆人，佣人；公务员；雇工
mistress,n. 情妇；女主人；主妇；女教师；女能人
maid,"n. 女仆；少女
vt. 侍候；做新娘的女傧相
vi. 当女仆"
fellow,"n. 家伙；朋友；同事；会员
adj. 同伴的，同事的；同道的
vt. 使…与另一个对等；使…与另一个匹敌"
fellowship,n. 团体；友谊；奖学金；研究员职位
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
member,n. 成员；会员；议员
membership,n. 资格；成员资格；会员身份
neighbourhood,n. 邻近；周围；邻居关系；附近一带
neighborhood,n. 附近；街坊；接近；街区
neighbour,"n. n. 邻居;同胞；仁慈的人
vt. 邻接
vi. 住在邻近；毗邻；友善，和睦
adj. 邻居的；邻近的"
neighbor,"n. 邻居
adj. 邻近的
vi. 友好；毗邻而居
vt. 邻接"
friendship,n. 友谊；友爱；友善
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
comrade,n. 同志；伙伴
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
colleague,n. 同事，同僚
college,n. 大学；学院；学会
predecessor,n. 前任，前辈
stranger,n. 陌生人；外地人；局外人
pioneer,"n. 先锋；拓荒者
vt. 开辟；倡导；提倡
vi. 作先驱"
chancellor,n. 总理（德、奥等的）；（英）大臣；校长（美国某些大学的）；（英）大法官；（美）首席法官
senator,n. 参议员；（古罗马的）元老院议员；评议员，理事
royalty,n. 皇室；版税；王权；专利税
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
employer,n. 雇主，老板
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
employee,n. 雇员；从业员工
employment,n. 使用；职业；雇用
boss,"n. 老板；首领；工头
vt. 指挥，调遣；当…的领导
vi. 当首领，发号施令"
manager,n. 经理；管理人员
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
management,n. 管理；管理人员；管理部门；操纵；经营手段
director,n. 主任，主管；导演；人事助理
deputy,"n. 代理人，代表
adj. 副的；代理的"
attorney,n. 律师；代理人；检查官
guest,"n. 客人，宾客；顾客
adj. 客人的；特邀的，客座的
vt. 款待，招待
vi. 作客，寄宿"
client,n.  客户；顾客；委托人
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
landlord,n. 房东，老板；地主
landlady,n. 女房东；女地主；女店主
tenant,"n. 承租人；房客；佃户；居住者
vt. 租借（常用于被动语态）"
tenancy,n. 租期；租用
fireman,n. 消防队员；救火队员；锅炉工
actress,n. 女演员
actor,n. 男演员；行动者；作用物
nurse,"vt. 看护，护理；照顾；培养；给…喂奶
vi. 照料，护理；喂奶；当保姆
n. 护士；奶妈，保姆"
nursing,"n. 护理；看护；养育
v. 看护；养育（nurse的ing形式）"
librarian,n. 图书馆员；图书管理员
cashier,"n. 出纳员；司库；收银员
vt. 解雇；抛弃"
cash,"n. 现款，现金
vt. 将…兑现；支付现款"
fisherman,n. 渔夫；渔人
thief,n. 小偷，贼
burglar,n. 夜贼，窃贼
burgle,"vt. 偷窃，破门盗窃
vi. 偷窃，破门盗窃"
butcher,"n. 屠夫
vt. 屠杀"
pirate,"n. 海盗；盗版；侵犯专利权者
vt. 掠夺；翻印；剽窃
vi. 做海盗；从事劫掠"
slave,"n. 奴隶；从动装置
vi. 苦干；拼命工作"
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
gang,"n. 群；一伙；一组
vt. 使成群结队；结伙伤害或恐吓某人
vi. 成群结队"
Negro,找不到解释
prophet,n. 先知；预言者；提倡者
clergy,n. 神职人员；牧师；僧侣
clergyman,n. 牧师；教士
intercourse,n. 性交；交往；交流
symposium,n. 讨论会，座谈会；专题论文集；酒宴，宴会
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
inarticulate,adj. 口齿不清的；说不出话的； 无关节的
mingle,"vi. 混合；交往
vt. 使混合；使相混"
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
committee,n. 委员会
appointment,n. 任命；约定；任命的职位
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
delegate,"n. 代表
vt. 委派…为代表"
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
unanimous,adj. 全体一致的；意见一致的；无异议的
unanimity,n. 同意，全体一致
solidarity,n. 团结，团结一致
reciprocal,"n.  倒数；互相起作用的事物
adj. 互惠的；相互的；倒数的，彼此相反的"
mutual,adj. 共同的；相互的，彼此的
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
dedicate,vt. 致力；献身；题献
dedicated,"adj. 专用的；专注的；献身的
v. 以…奉献；把…用于（dedicate的过去式和过去分词）"
dedication,n. 奉献；献身；赠言
relish,"n. 滋味；风味；食欲；开胃小菜；含义；调味品
vt. 盼望;期待;享受; 品味；喜爱；给…加佐料
vi. 有特定意味；味道可口"
miss,"n. 女士，小姐，年轻未婚女子
vt. 错过，想念，缺（勤）"
amiable,adj. 和蔼可亲的，亲切的
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
shrewd,"n. 精明（的人）；机灵（的人）
adj. 精明的；狡猾的；机灵的"
vocal,"adj. 直言不讳的
adj. 歌唱的；声音的，有声的
n. 声乐作品；元音"
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
depend,vi. 依赖，依靠；取决于；相信，信赖
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
interdependent,adj. 相互依赖的；互助的
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
conceivable,adj. 可能的；想得到的，可想像的
tentative,"n. 假设，试验
adj. 试验性的，暂定的；踌躇的"
tentatively,adv. 暂时地；试验性地
reconcile,vt. 使一致；使和解；调停，调解；使顺从
detach,vt. 分离；派遣；使超然
detachable,adj. 可分开的；可拆开的；可分遣的
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
separately,adv. 分别地；分离地；个别地
separation,n. 分离，分开；间隔，距离； 分居；缺口
single,"n. 一个；单打；单程票
adj. 单一的；单身的；单程的
vt. 选出
vi. 击出一垒安打"
respective,adj. 分别的，各自的
respectively,adv. 分别地；各自地，独自地
arrogant,adj. 自大的，傲慢的
blush,"n. 脸红；红色；羞愧
vt. 红著脸表示；使成红色
vi. 脸红；感到惭愧"
blusher,n. 脸红的人；红色敷面粉
sarcastic,adj. 挖苦的；尖刻的，辛辣的
ironic,adj. 讽刺的；反话的
satire,n. 讽刺；讽刺文学，讽刺作品
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
scornful,adj. 轻蔑的
pretext,"n. 借口；托辞
vt. 以…为借口"
skeptical,adj. 怀疑的；怀疑论的，不可知论的
skeptic,"n. 怀疑论者；怀疑者；无神论者
sceptic（英）"
plea,n. 恳求，请求；辩解，辩护；借口，托辞
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
flatter,vt. 奉承；谄媚；使高兴
flatterer,n. 奉承者；阿谀者；谄媚者
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
trivial,adj. 不重要的，琐碎的；琐细的
trivia,n. 琐事
tangle,"n. 纠纷；混乱状态
vt. 使纠缠；处于混乱状态
vi. 缠结；乱作一团"
tangled,adj. 紊乱的；纠缠的；缠结的；复杂的
reproach,"n. 责备；耻辱
vt. 责备；申斥"
reproachful,adj. 责备的；申斥的；非难的
pathetic,adj. 可怜的，悲哀的；感伤的；乏味的
pathetically,adv. 可怜地；感伤地；悲哀地；情绪上地
monotonous,adj. 单调的，无抑扬顿挫的；无变化的
monotonously,adv. 无变化地，单调地
rotten,"adj. 腐烂的；堕落的；恶臭的；虚弱的；极坏的
adv. 非常"
rot,"n. 腐烂；腐败；腐坏
vt. 使腐烂；使腐朽；使堕落
vi. 腐烂；腐败；堕落
int. （表示厌恶、蔑视、烦恼等）胡说；糟了"
ruthless,adj. 无情的，残忍的
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
behaviour,n. 行为；习性；运行状况（=behavior）
behavior,n. 行为，举止；态度；反应
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
conductive,adj. 传导的；传导性的；有传导力的
deed,"n. 行动；功绩；证书； 契据
vt. 立契转让"
indeed,"adv. 的确；实在；真正地；甚至
int. 真的（表示惊讶、怀疑、讽刺等）"
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
activity,n. 活动；行动；活跃
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
action,n. 行动；活动；功能；战斗；情节
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
wish,"n. 希望；祝福；心愿
vt. 祝愿；渴望；向…致问候语
vi. 愿望；需要"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
aspire,vi. 渴望；立志；追求
aspiring,"v. 立志（aspire的ing形式）
adj. 有抱负的；追求…的；高耸的"
aspirational,"n. 成功指南；处世自助手册
adj. 有雄心壮志的；（生活形态等）梦寐以求的"
aspiration,n. 渴望；抱负；送气；吸气；吸引术
strive,vi. 努力；奋斗；抗争
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
quester,n. 探求者，追求者
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
effort,n. 努力；成就
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
heighten,"vt. 提高；增高；加强；使更显著
vi. 升高；变强"
augment,"n. 增加；增大
vt. 增加；增大
vi. 增加；增大"
augmentation,n. 增加，增大；增加物
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
amplification,n.  放大（率）；扩大；详述
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
elevator,n. 电梯；升降机；升降舵；起卸机
uphold,vt. 支撑；鼓励；赞成；举起
upholder,n. 支撑物；支持者
heave,"n. 举起；起伏；投掷；一阵呕吐
vt. 举起；使起伏；投掷；恶心；发出（叹息等）
vi. 起伏；举起；喘息；呕吐"
hoist,"n. 起重机；升起，吊起
vt. （用绳索，起重机等）使升起
vi. 升起；吊起"
hoister,"n. 起重机, 卷扬机
 起电机"
propel,vt. 推进；驱使；激励；驱策
propellent,"n. 推动者；推进物；推进燃料
adj. 推进的；有推动力的"
propellor,n. 螺旋桨，推进器，推进者
prolong,vt. 延长；拖延
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
overtake,"vt. 赶上；压倒；突然来袭
vi. 超车"
surpass,vt. 超越；胜过，优于；非…所能办到或理解
surpassing,"adj. 胜过的；卓越的；优秀的
v. 胜过（surpass的ing形式）
adv. 卓越地；非凡地"
