compatible,adj. 兼容的；能共处的；可并立的
butter,"n. 黄油；奶油；奉承话
vt. 涂黄油于；讨好"
butterfly,n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
buy,"n. 购买，买卖；所购的物品
vi. 买，采购
vt. 购买；获得；贿赂"
cabbage,n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里"
cafe,n. 咖啡馆；小餐馆
cafeteria,n. 自助餐厅
cage,"n. 笼，兽笼；牢房，监狱
vt. 把…关进笼子；把…囚禁起来"
cake,"n. 蛋糕；块状物；利益总额
vt. 使结块
vi. 结成块状"
calcium,n.  钙
camera,n. 照相机；摄影机
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
candle,"n. 蜡烛；烛光；烛形物
vt. 对着光检查"
candy,"n. 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品
adj. 新潮的（服饰）；甜言蜜语的
vt. 用糖煮；使结晶为砂糖；美化
vi. 糖煮；成为结晶"
cannon,"n. 大炮；加农炮；榴弹炮；机关炮
vt. 炮轰
vi. 炮轰；开炮"
canoe,"n. 独木舟；轻舟
vi. 乘独木舟
vt. 用独木舟运"
canteen,n. 食堂，小卖部；水壶
canvas,"n. 帆布
adj. 帆布制的
vt. 用帆布覆盖，用帆布装备"
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
capsule,"n. 胶囊； 蒴果；太空舱；小容器
adj. 压缩的；概要的
vt. 压缩；简述"
car,n. 汽车；车厢
card,"n. 卡片；纸牌；明信片
vt. 记于卡片上"
care,"n. 关怀；照料；谨慎；忧虑
vt. 在意；希望或喜欢
vi. 照顾；关心；喜爱；顾虑"
carpenter,"n. 木匠，木工
vt. 制作
vi. 当木匠，做木匠工作"
carpet,"n. 地毯；地毯状覆盖物
vt. 在…上铺地毯，把地毯铺在…上；斥责"
cart,"n. 二轮运货马车
vt. 用车装载
vi. 驾运货马车；用运货车运送"
cartoon,"n. 卡通片， 动画片；连环漫画
vt. 为…画漫画
vi. 画漫画"
cassette,n. 盒式磁带；暗盒；珠宝箱；片匣
castle,"n. 城堡；象棋中的车
vt. 置…于城堡中；筑城堡防御"
cat,n. 猫，猫科动物
cathedral,n. 大教堂
Catholic,
cattle,n. 牛；牲畜（骂人的话）；家畜；无价值的人
cave,"n. 洞穴，窑洞
vi. 凹陷，塌落；投降
vt. 使凹陷，使塌落；在…挖洞穴"
cellar,"n. 地窖；酒窖；地下室
vt. 把…藏入地窖"
cemetery,n. 墓地；公墓
chalk,"n. 粉笔；白垩；用粉笔划的记号
adj. 用粉笔写的
vt. 用粉笔写；用白垩粉擦；记录；规划
vi. 变成白垩状"
cheap,"adj. 便宜的；小气的；不值钱的
adv. 便宜地"
cheek,"n. 面颊，脸颊；臀部
vt. 无礼地向…讲话，对…大胆无礼"
cheese,"n.  奶酪；干酪；要人
adj. 叛变的；胆小的
vt. 停止"
chef,n. 厨师，大师傅
chemist,n. 化学家；化学工作者；药剂师；炼金术士
chemistry,n. 化学；化学过程
cherry,n. 樱桃；樱桃树；如樱桃的鲜红色；处女膜，处女
chess,n. 国际象棋，西洋棋
chicken,"n. 鸡肉；小鸡；胆小鬼，懦夫
adj. 鸡肉的；胆怯的；幼小的"
child,n. 儿童，小孩，孩子；产物；子孙；幼稚的人；弟子
children,n. 孩子们（child的复数）
chimney,n. 烟囱
chin,"n. 下巴；聊天；引体向上动作
vt. 用下巴夹住；与…聊天；在单杠上作引体向上动作
vi. 闲谈；作引体向上动作"
china,
chocolate,"n. 巧克力，巧克力糖；巧克力色
adj. 巧克力色的；巧克力口味的"
Christmas,n. 圣诞节；圣诞节期间
cigar,n. 雪茄
cigarette,n. 香烟；纸烟
cinema,n. 电影；电影院；电影业，电影制作术
circus,n. 马戏；马戏团
city,"n. 城市，都市
adj. 城市的；都会的"
classmate,n. 同班同学
claw,"n. 爪；螯，钳；爪形器具
vi. 用爪抓（或挖）
vt. 用爪抓（或挖）"
clay,"n.  粘土；泥土；肉体；似黏土的东西
vt. 用黏土处理"
clean,"n. 打扫
adj. 清洁的，干净的；清白的
vt. 使干净
vi. 打扫，清扫
adv. 完全地"
clergy,n. 神职人员；牧师；僧侣
clerk,"n. 职员，办事员；店员；书记；记账员；<古>牧师，教士
vi. 当销售员，当店员；当职员"
clever,"adj. 聪明的；机灵的；熟练的
"
cliff,n. 悬崖；绝壁
clinic,n. 临床；诊所
club,"n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
adj. 俱乐部的
vt. 用棍棒打；募集
vi. 集资；组成俱乐部"
coal,"n. 煤；煤块；木炭
vt. 给…加煤；把…烧成炭
vi. 上煤；加煤"
coast,"n. 海岸；滑坡
vt. 沿…岸航行
vi. 滑行；沿岸航行"
coat,"n. 外套
vt. 覆盖…的表面"
cocaine,n.  可卡因
cock,"n. 公鸡；龙头；雄鸟；头目
vt. 使竖起；使耸立；使朝上
vi. 翘起；竖起；大摇大摆"
coffee,n. 咖啡；咖啡豆；咖啡色
coil,"n. 线圈；卷
vt. 盘绕，把…卷成圈
vi. 成圈状"
cold,"n. 寒冷；感冒
adj. 寒冷的；冷淡的，不热情的；失去知觉的
adv. 完全地"
college,n. 大学；学院；学会
collision,n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
comb,"n. 梳子；蜂巢；鸡冠
vt. 梳头发；梳毛
vi. （浪）涌起"
comrade,n. 同志；伙伴
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
cook,"n. 厨师，厨子
vt. 烹调，煮
vi. 烹调，做菜"
cop,"n. 巡警，警官
vt. 抓住"
corner,"n. 角落，拐角处；地区，偏僻处；困境，窘境
vt. 垄断；迫至一隅；使陷入绝境；把…难住
vi. 囤积；相交成角"
corridor,走廊
costly,adj. 昂贵的；代价高的
cottage,n. 小屋；村舍；（农舍式的）小别墅
cotton,"n. 棉花；棉布；棉线
adj. 棉的；棉制的
vi. 一致；理解；和谐；亲近"
cough,"n. 咳嗽，咳嗽声；咳嗽病
vt. 咳出
vi. 咳嗽"
could,"aux. 能够
v. 能（can的过去式）"
courtyard,n. 庭院，院子；天井
cousin,n. 堂兄弟姊妹；表兄弟姊妹
crab,"n. 螃蟹；蟹肉；脾气乖戾的人；起重机
vt. 抱怨；破坏；使偏航
vi. 捕蟹；发牢骚；抱怨"
crane,"n. 吊车，起重机；鹤
vt. 用起重机起吊；伸长脖子
vi. 伸着脖子看；迟疑，踌躇"
cricket,n. 板球，板球运动；蟋蟀
cry,"n. 叫喊；叫声；口号；呼叫
vi. 哭；叫；喊
vt. 叫喊；哭出；大声说"
cucumber,n. 黄瓜；胡瓜
cupboard,n. 碗柜；食橱
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
cushion,"n. 垫子；起缓解作用之物；（猪等的）臀肉；银行储蓄
vt. 给…安上垫子；把…安置在垫子上；缓和…的冲击"
customer,n. 顾客；家伙
dairy,"n. 奶制品；乳牛；制酪场；乳品店；牛奶及乳品业
adj. 乳品的；牛奶的；牛奶制的；产乳的"
dam,"n.  水坝；障碍
v. 控制；筑坝"
danger,n. 危险；危险物，威胁
dangerous,"adj. 危险的
危险地"
dare,"n. 挑战；挑动
vt. 敢冒；不惧
vi. 敢；胆敢"
darling,n. 心爱的人；亲爱的
dark,"n. 黑暗；夜；黄昏；模糊
adj. 黑暗的，深色的；模糊的；无知的；忧郁的"
dear,"n. 亲爱的人
adj. 亲爱的；尊敬的；昂贵的
adv. 高价地；疼爱地
int. 哎呀"
death,n. 死；死亡；死神；毁灭
December,n. 十二月
deep,"n. 深处；深渊
adj. 深的；低沉的；深奥的
adv. 深入地；深深地；迟"
deer,n. 鹿
defence,n. 防御；防卫；答辩；防卫设备
defense,"n. 防卫，防护；防御措施；防守
vt. 谋划抵御"
dental,"n. 齿音
adj. 牙科的；牙齿的，牙的"
dessert,n. 餐后甜点；甜点心
destroy,vt. 破坏；消灭；毁坏
dew,"n. 珠，滴；露水；清新
vt. （露水等）弄湿
vi. 结露水"
dialog,n. 对话；会话
dialogue,"n. 对话；意见交换
vt. 用对话表达
vi. 对话"
diamond,"n. 钻石，金刚石；菱形；方块牌
adj. 菱形的；金刚钻的"
diary,n. 日志，日记；日记簿
dictionary,n. 字典；词典
die,"n. 冲模，钢模；骰子
vi. 死亡；凋零；熄灭
vt. 死，死于…"
difference,n. 差异；不同；争执
different,adj. 不同的；个别的，与众不同的
difficulty,n. 困难，困境
dinner,n. 晚餐，晚宴；宴会；正餐
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
dirt,n. 污垢，泥土；灰尘，尘土；下流话
disc,"n. 圆盘， 唱片（等于disk）
vt. 灌唱片"
disk,n.  磁盘，磁碟片；圆盘，盘状物；唱片
ditch,"n. 沟渠；壕沟
vt. 在…上掘沟；把…开入沟里；丢弃
vi. 开沟；掘沟"
dome,"n. 圆屋顶
vi. 成圆顶状
vt. 加圆屋顶于…上"
donkey,n. 驴子；傻瓜；顽固的人
doorway,n. 门口；途径
dormitory,"n. 宿舍，学生宿舍
adj. 住宅区的"
dorm,n. 宿舍（等于dormitory）
dove,"n. 鸽子；鸽派人士
v. 潜水（dive的过去式）"
downstairs,"n. 楼下
adj. 楼下的
adv. 在楼下"
dozen,"n. 十二个，一打
adj. 一打的"
dream,"n. 梦想，愿望；梦
adj. 梦的；理想的；不切实际的
vt. 梦想；做梦；想到
vi. 梦想；做梦，梦见；想到"
drunk,"v. 喝酒（drink的过去分词）
adj. 喝醉了的"
during,prep. 在…的时候，在…的期间
dust,"n. 灰尘；尘埃；尘土
vt. 撒；拂去灰尘
vi. 拂去灰尘；化为粉末"
dwelling,"n. 住处；寓所
v. 居住（dwell的现在分词）"
eagle,n. 鹰；鹰状标饰
earthquake,n. 地震；大动荡
Easter,n. 复活节
eclipse,"n. 日蚀，月蚀；黯然失色
vt. 使黯然失色；形成蚀"
elder,"n. 老人；长辈；年长者；父辈
adj. 年长的；年龄较大的；资格老的"
electricity,n. 电力；电流；强烈的紧张情绪
electron,n. 电子
electronic,"adj. 电子的
n. 电子电路；电子器件"
else,"adj. 别的；其他的
adv. 其他；否则；另外"
embassy,n. 大使馆；大使馆全体人员
emperor,n. 皇帝，君主
encyclopedia,n. 百科全书（亦是encyclopaedia）
encyclopaedia,n. 百科全书
ending,n. 结局；结尾
enemy,"n. 敌人，仇敌；敌军
adj. 敌人的，敌方的"
enjoy,vt. 欣赏，享受；喜爱；使过得快活
enough,"n. 很多；充足
adj. 充足的
adv. 足够地，充足地
int. 够了！"
enter,"n.  输入；回车
vt. 进入；开始；参加
vi. 参加，登场；进去"
envelope,n. 信封，封皮；包膜； 包层；包迹
exam,n. 考试；测验
examination,n. 考试；检查；查问
excellent,adj. 卓越的；极好的；杰出的
excessive,adj. 过多的，极度的；过分的
excite,"vt. 激起；刺激…，使…兴奋
vi. 激动"
exciting,"adj. 令人兴奋的；使人激动的
v. 激动；刺激（excite的ing形式）；唤起"
expensive,adj. 昂贵的；花钱的
explain,v. 说明；解释
eyebrow,"n. 眉毛
v. 为…描眉；用皱眉蹙额迫使"
eyesight,n. 视力；目力
famous,adj. 著名的；极好的，非常令人满意的
fairy,"n. 仙女，小精灵；漂亮姑娘
adj. 虚构的；仙女的"
far,"n. 远方
adj. 远的；久远的
adv. 很；遥远地；久远地；到很远的距离；到很深的程度"
farm,"n. 农场；农家；畜牧场
vt. 养殖；耕种；佃出（土地）
vi. 种田，务农；经营农场"
farmer,n. 农夫，农民
fertilizer,n.  肥料；受精媒介物；促进发展者
fertiliser,n. 化肥（等于fertilizer）
festival,"n. 节日；庆祝，纪念活动；欢乐
adj. 节日的，喜庆的；快乐的"
few,"n. 很少数
adj. 很少的；几乎没有的
pron. 很少"
finger,"n. 手指；指针，指状物
vt. 伸出；用手指拨弄
vi. 用指触摸；拨弄"
fist,"n. 拳，拳头；笔迹；掌握；指标参见号
vt. 紧握；握成拳；用拳打"
flag,"n. 标志；旗子
vt. 标记；插旗
vi. 标记；衰退；枯萎"
fleet,"n. 舰队；港湾；小河
adj. 快速的，敏捷的
vt. 消磨
vi. 飞逝；疾驰；掠过"
floor,"n. 地板，地面；楼层；基底；议员席
vt. 铺地板；打倒，击倒；（被困难）难倒"
flower,"n. 花；精华；开花植物
vt. 使开花；用花装饰
vi. 成熟，发育；开花；繁荣；旺盛"
forest,"n. 森林
vt. 植树于，使成为森林"
forever,adv. 永远；不断地；常常
forget,"vi. 忘记
vt. 忘记；忽略"
fork,"n. 叉；餐叉；耙
vt. 叉起；使成叉状
vi. 分叉；分歧"
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
found,"v. 找到（find的过去分词）
vt. 创立，建立；创办"
fox,"n. 狐狸；狡猾的人
vt. 欺骗；使变酸
vi. 假装；耍狡猾手段"
fridge,n. 电冰箱
refrigerator,n. 冰箱，冷藏库
frog,"n. 青蛙； 辙叉；饰扣
vi. 捕蛙"
front,"n. 前面；正面；前线
adj. 前面的；正面的
vt. 面对；朝向；对付
vi. 朝向
adv. 在前面；向前"
full,"n. 全部；完整
adj. 完全的，完整的；满的，充满的；丰富的；完美的；丰满的；详尽的
vt. 把衣服缝得宽大
adv. 十分，非常；完全地；整整"
fun,"n. 乐趣；玩笑；有趣的人或事
adj. 供娱乐用的
vi. 开玩笑"
furious,adj. 激烈的；狂怒的；热烈兴奋的；喧闹的
furnace,n. 火炉，熔炉
furniture,n. 家具；设备；储藏物
gallon,n. 加仑（容量单位）
garden,"n. 花园；菜园
vt. 栽培花木
vi. 从事园艺；在园中种植"
garlic,n. 大蒜；蒜头
garment,"n. 衣服，服装；外表，外观
vt. 给…穿衣服"
gasoline,n. 汽油
gasolene,n. 汽油，挥发油
gate,"n. 大门；出入口；门道
vt. 给…装大门"
genetic,adj. 遗传的；基因的；起源的
gentleman,n. 先生；绅士；有身份的人
glass,"n. 玻璃；玻璃制品；镜子
vt. 反映；给某物加玻璃
vi. 成玻璃状"
glove,"n. 手套
vt. 给…戴手套"
god,
golf,"n. 高尔夫球；高尔夫球运动
vi. 打高尔夫球"
goodness,"n. 善良，优秀 ；精华，养分
int. 天哪"
goose,"n. 鹅；鹅肉；傻瓜；雌鹅
vt. 突然加大油门；嘘骂"
grammar,n. 语法；语法书
grass,"n. 草；草地，草坪
vt. 放牧；使……长满草；使……吃草
vi. 长草"
gray,"n. 灰色；暗淡的光线
adj. 灰色的；苍白的；灰白头发的；阴郁的
vt. 使成灰色或灰白
vi. 成为灰色或灰白"
grey,"n. 灰色
adj. 灰色的；灰白的
vt. 使变成灰色；使变老
vi. 变成灰色；老化"
guess,"n. 猜测；推测
vi. 猜；推测；猜中
vt. 猜测；认为；推测；猜中
n. 盖尔斯（美国服装品牌）"
guy,"n. 男人，家伙
vt. 嘲弄，取笑
vi. 逃跑"
gymnasium,n. 体育馆；健身房
gym,n. 健身房；体育；体育馆
hamburger,n. 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉
handkerchief,n. 手帕；头巾，围巾
handsome,adj. （男子）英俊的；可观的；大方的，慷慨的；健美而端庄的
harness,"n. 马具；甲胄；挽具状带子；降落伞背带；日常工作
vt. 治理；套；驾驭；披上甲胄；利用"
hate,"n. 憎恨；反感
vt. 憎恨；厌恶；遗憾
vi. 仇恨"
headache,n. 头痛；麻烦；令人头痛之事
headmaster,n. 校长
hen,n. 母鸡；女人；雌禽
hide,"n. 躲藏；兽皮；躲藏处
vt. 隐藏；隐瞒；鞭打
vi. 隐藏"
