appoint,"vt. 任命；指定；约定
vi. 任命；委派"
sour,"n. 酸味；苦事
adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的
vt. 使变酸；使失望
vi. 发酵；变酸；厌烦"
southeast,"n. 东南；东南地区
adj. 东南的；来自东南的
adv. 来自东南"
southwest,"n. 西南方
adj. 西南的
adv. 往西南；来自西南"
spacecraft,n.  宇宙飞船，航天器
spade,"n. 铁锹，铲子
vt. 铲；把……弄实抹平
vi. 铲"
sparkle,"n. 闪耀；火花；活力
vt. 使闪耀；使发光
vi. 闪耀；发泡；活跃"
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
specimen,n. 样品，样本；标本
spelling,"n. 拼写；拼字；拼法
v. 拼写；意味着（spell的ing形式）；迷住"
spider,n. 蜘蛛；设圈套者；三脚架
spine,n. 脊柱，脊椎；刺；书脊
spit,"n. 唾液
vi. 吐痰；吐口水；发出劈啪声
vt. 吐，吐出；发出；发射"
splash,"n. 飞溅的水；污点；卖弄
vt. 溅，泼；用...使液体飞溅
vi. 溅湿；溅开"
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
spokesman,n. 发言人；代言人
sponge,"n. 海绵；海绵状物
vt. 抹掉；用海绵擦拭；讨得
vi. 采集海绵；过寄生生活；海绵般地吸收"
spontaneous,adj. 自发的；自然的；无意识的
sportsman,n. 运动员；运动家；冒险家
spouse,"n. 配偶
vt. 和…结婚"
spray,"n. 喷雾；喷雾器；水沫
vt. 喷射
vi. 喷"
spy,"n. 间谍；密探
vt. 侦察；发现；暗中监视
vi. 侦察；当间谍"
stability,n. 稳定性；坚定，恒心
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
stagger,"n. 蹒跚；交错安排
vt. 蹒跚；使交错；使犹豫
adj. 交错的；错开的
vi. 蹒跚；犹豫"
staircase,n. 楼梯
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
staple,"n. 主要产品；订书钉；主题；主食
adj. 主要的，大宗生产的；常用的；纺织纤维的
vt. 把…分级；钉住"
steak,n. 牛排；肉排；鱼排
steamer,n. 轮船；蒸汽机；蒸笼
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
stereotype,"n. 陈腔滥调，老套；铅版
vt. 使用铅版；套用老套，使一成不变"
stocking,n. 长袜
stool,"n. 凳子；粪便；厕所
vt. 引诱，诱捕
vi. 长新枝；分檗"
stoop,"n. 弯腰，屈背；屈服
vt. 辱没，堕落；俯曲
vi. 弯腰；屈服；堕落"
storage,n. 存储；仓库；贮藏所
stove,"n. 火炉；窑；温室
vt. 用火炉烤"
strap,"n. 带；皮带；磨刀皮带；鞭打
vt. 用带捆绑；用皮条抽打；约束
vi. 精力旺盛地工作；受束缚"
straw,"n. 稻草；吸管；一文不值的东西
adj. 稻草的；无价值的"
streak,"n. 条纹，线条；倾向
vi. 飞跑，疾驶；加上条纹
vt. 飞跑，疾驰；加条纹于"
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
stripe,"n. 条纹，斑纹；种类
vt. 加条纹于…"
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
subtract,vt. 减去；扣掉
suburb,n. 郊区；边缘
subway,"n. 地铁；地道
vi. 乘地铁"
succession,n. 连续；继位；继承权； 演替
suck,"n. 吮吸
vt. 吸吮；吸取
vi. 吸吮；糟糕；巴结"
suddenly,adv. 突然地；忽然
sum,"n. 金额；总数
vt. 总结；合计
vi. 概括"
sunlight,n. 日光
sunrise,n. 日出；黎明
sunset,n. 日落，傍晚
sunshine,n. 阳光；愉快；晴天；快活
superficial,adj. 表面的；肤浅的 ；表面文章的；外表的；（人）浅薄的
supermarket,n. 超级市场；自助售货商店
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
surf,"vi. 作冲浪运动
vt. 在…冲浪
n. 海浪，拍岸浪"
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
surgeon,n. 外科医生
surgery,n. 外科；外科手术；手术室；诊疗室
surroundings,n. 环境；周围的事物
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
sweat,"n. 汗；水珠；焦急；苦差使
vt. 使出汗；流出；使干苦活；剥削；藉出汗减轻；焦急地期待
vi. 出汗；辛苦工作；懊恼；结水珠"
sweater,n. 毛线衣，运动衫；大量出汗的人，发汗剂
swift,"n. 褐雨燕
adj. 快的；迅速的；敏捷的；立刻的
adv. 迅速地
n. 苹果公司开创的新款编程语言，应用于iOS 8及以上的应用程序"
swipe,"n. 猛击；尖刻的话
vt. 猛击；偷窃；刷…卡
vi. 猛打；大口喝酒"
sword,n. 刀，剑；武力，战争
symbol,n. 象征；符号；标志
sympathetic,"n. 交感神经；容易感受的人
adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的"
sympathize,vi. 同情，怜悯；支持
sympathy,n. 同情；慰问；赞同
system,n. 制度，体制；系统；方法
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随"
takeoff,"起飞
开始
起跳
起跳的，起飞的"
tangible,"n. 有形资产
adj. 有形的；切实的；可触摸的"
tank,"n. 坦克；水槽；池塘
vt. 把…贮放在柜内；打败
vi. 乘坦克行进"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
tax,"n. 税金；重负
vt. 向…课税；使负重担"
technician,n. 技师，技术员；技巧纯熟的人
technology,n. 技术；工艺；术语
teen,"n. 青少年（等于teenager）；愤怒；悲哀
adj. 十几岁的（等于teenaged）"
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
telecommunications,n. 通讯行业：服务类型变更，缴纳话费，账户总览等所有业务均可通过移动设备完成
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
teller,n. （美）出纳员；讲述者；讲故事者；计票员
temple,n. 庙宇；寺院；神殿；太阳穴
terrific,adj. 极好的；极其的，非常的；可怕的
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
textbook,n. 教科书，课本
textile,"n. 纺织品，织物
adj. 纺织的"
theoretical,adj. 理论的；理论上的；假设的；推理的
theory,n. 理论；原理；学说；推测
thereby,adv. 从而，因此；在那附近；在那方面
thermometer,n. 温度计；体温计
thesis,n. 论文；论点
threat,n. 威胁，恐吓；凶兆
thrill,"n. 激动；震颤；紧张
vt. 使…颤动；使…紧张；使…感到兴奋或激动
vi. 颤抖；感到兴奋；感到紧张"
thriller,n. 惊险小说；使人毛骨悚然的东西；使人毛骨悚然的小说
throat,"n. 喉咙；嗓子，嗓音；窄路
vt. 开沟于；用喉音说"
thrust,"n.  推力；刺
vt. 插；插入；推挤
vi. 插入；用向某人刺去；猛然或用力推"
thumb,"n. 拇指
vt. 翻阅；以拇指拨弄；作搭车手势；笨拙地摆弄
vi. 用拇指翻书页；竖起拇指要求搭车"
thunder,"n. 雷；轰隆声；恐吓
vt. 轰隆地发出；大声喊出
vi. 打雷；怒喝"
tick,"n. 滴答声；扁虱；记号；赊欠
vt. 标记号于；滴答地记录
vi. 发出滴答声；标以记号"
timetable,n. 时间表；时刻表；课程表
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
toe,"n. 脚趾；足尖
vt. 用脚尖走；以趾踏触
vi. 动脚尖；用足尖跳舞"
token,"n. 表征；代币；记号
adj. 象征的；表意的；作为对某事的保证的
vt. 象征；代表"
toll,"vt. 征收；敲钟
n. 通行费；代价；钟声；伤亡人数
vi. 鸣钟；征税"
topic,n. 主题（等于theme）；题目；一般规则；总论
torch,"n. 火把，火炬；手电筒；启发之物
vt. 用火炬点燃
vi. 像火炬一样燃烧"
torture,"n. 折磨；拷问；歪曲
vt. 折磨；拷问；歪曲"
tourism,n. 旅游业；游览
towel,"n. 毛巾，手巾； 纸巾
vi. 用毛巾擦干身体
vt. 用毛巾擦"
tractor,n. 拖拉机；牵引机
trademark,"n. 商标
标志"
traditional,adj. 传统的；惯例的
trail,"n. 小径；痕迹；尾部；踪迹；一串，一系列
vt. 追踪；拖；蔓延；落后于
vi. 飘出；蔓生；垂下；拖曳"
transaction,n. 交易；事务；办理；会报，学报
transcript,n. 成绩单；抄本，副本；文字记录
transit,"n. 运输；经过
vt. 运送
vi. 经过"
translation,n. 翻译；译文；转化；调任
transportation,n. 运输；运输系统；运输工具；流放
trash,"n. 垃圾；废物
vt. 丢弃；修剪树枝"
tray,n. 托盘；文件盒；隔底匣；（无线电的）发射箱
treaty,n. 条约，协议；谈判
tremendous,adj. 极大的，巨大的；惊人的；极好的
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
triangle,n. 三角（形）；三角关系；三角形之物；三人一组
trifle,"n. 琐事；蛋糕；少量
vt. 浪费；虚度
vi. 开玩笑；闲混；嘲弄"
trim,"n. 修剪；整齐；情形
vt. 修剪；整理；装点
adj. 整齐的
vi. 削减"
triple,"n. 三倍数；三个一组
adj. 三倍的；三方的
vt. 使成三倍
vi. 增至三倍"
trolley,"n. 手推车；（美）有轨电车（等于trolley car）；（英）无轨电车（等于trolleybus）；空中吊运车
vt. 用手推车运
vi. 乘电车"
troop,"vt. 把（骑兵）编成骑兵连
vi. 群集；成群而行；结队
n. 军队；组；群；多数"
tropical,adj. 热带的；热情的；酷热的
trousers,n. 裤子，长裤
truly,adv. 真实地，不假；真诚地
trumpet,"n. 喇叭；喇叭声
vt. 吹喇叭；吹嘘
vi. 吹喇叭；发出喇叭般的声音"
trunk,"n. 树干；躯干；象鼻；汽车车尾的行李箱
adj. 干线的；躯干的；箱子的
vt. 把…放入旅行箱内"
T-shirt,n. 短袖圆领汗衫
tube,"n. 管；电子管；隧道；电视机
vt. 使成管状；把…装管；用管输送
vi. 乘地铁；不及格"
tuition,n. 学费；讲授
tumor,n. 肿瘤；肿块；赘生物
tumour,n.  瘤；肿瘤；肿块
tune,"n. 曲调；和谐；心情
vt. 调整；使一致；为…调音
vi.  调谐；协调"
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
turbine,n.  涡轮； 涡轮机
twin,"n. 双胞胎中一人
adj. 双胞胎的
vt. 使成对
vi. 成对；生双胞胎"
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
typewriter,n. 打字机
typist,n. 打字员，打字者
umbrella,n. 雨伞；保护伞；庇护；伞形结构
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
underneath,"prep. 在…的下面；在…的形式下；在…的支配下
n. 下面；底部
adj. 下面的；底层的
adv. 在下面；在底下"
undo,"vt. 取消；解开；破坏；扰乱
vi. 撤消"
unemployment,n. 失业；失业率；失业人数
unfair,adj. 不公平的，不公正的
universe,n. 宇宙；世界；领域
unlike,"prep. 和…不同，不像
adj. 不同的，不相似的"
upload,vt. 上传
upper,adj. 上面的，上部的；较高的
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
user,"n. 用户
n. 使用者"
utilize,vt. 利用
utmost,"n. 极限；最大可能
adj. 极度的；最远的"
utter,"adj. 完全的；彻底的；无条件的
vt. 发出，表达；发射"
vacuum,"n. 真空；空间；真空吸尘器
adj. 真空的；利用真空的；产生真空的
vt. 用真空吸尘器清扫"
vapor,"n. 蒸汽；烟雾
vt. 使……蒸发；使……汽化
vi. 蒸发；吹牛；沮丧"
vapour,n. 蒸气（等于vapor）；水蒸气
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
vendor,n. 卖主；小贩；供应商； 自动售货机
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
verb,"n. 动词；动词词性；动词性短语或从句
adj. 动词的；有动词性质的；起动词作用的"
versus,prep. 对；与...相对；对抗
vertical,"n. 垂直线，垂直面
adj. 垂直的，直立的； 头顶的，顶点的"
veto,"n. 否决权
vt. 否决；禁止
vi. 否决；禁止"
via,prep. 渠道，通过；经由
video,"n.  视频；录像，录像机；电视
adj. 视频的；录像的；电视的
v. 录制"
videophone,n. 电视电话
viewpoint,n. 观点，看法；视角
vinegar,n. 醋
violet,"n. 紫罗兰；堇菜；羞怯的人
adj. 紫色的；紫罗兰色的"
violin,n. 小提琴；小提琴手
visa,"n. 签证
vt. 签发签证"
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
visual,adj. 视觉的，视力的；栩栩如生的
vital,adj. 至关重要的；生死攸关的；有活力的
vitamin,n.  维生素； 维他命
vivid,adj. 生动的；鲜明的；鲜艳的
vocation,n. 职业；天职；天命；神召
volcano,n. 火山
volleyball,n. 排球
volt,n. 伏特（电压单位）；环骑；闪避
voltage,n.  电压
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
wagon,"n. 货车，四轮马车
vt. 用运货马车运输货物"
waggon,n. 四轮运货马车；运货车
waist,n. 腰，腰部
waken,"vt. 唤醒；使觉醒
vi. 醒来；觉醒"
wallet,n. 钱包，皮夹
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
ware,"n. 陶器，器皿；制品；器具；货物
vt. 留心；小心"
warfare,n. 战争；冲突
warmth,n. 温暖；热情；激动
warrior,n. 战士，勇士；鼓吹战争的人
wary,adj. 谨慎的；机警的；惟恐的；考虑周到的
watertight,adj. 水密的；不漏水的；无懈可击的
wax,"n. 蜡；蜡状物
adj. 蜡制的；似蜡的
vt. 给…上蜡
vi. 月亮渐满；增大"
weapon,n. 武器，兵器
weave,"vi. 纺织；编成；迂回行进
vt. 编织；编排；使迂回前进
n. 织物；织法；编织式样"
web,"n. 网；卷筒纸；蹼；织物；圈套
vt. 用网缠住；使中圈套
vi. 形成网"
webcast,n. 网络广播；网络直播；网路广播
weed,"n. 杂草，野草；菸草
vt. 除草；铲除
vi. 除草"
weekday,n. 平日，普通日；工作日
weekly,"n. 周刊
adj. 每周的；周刊的；一周一次的
adv. 每周一次；逐周"
weld,"n. 焊接；焊接点
vt. 焊接；使结合；使成整体
vi. 焊牢"
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
whale,"n. 鲸；巨大的东西
vt. 猛揍；使惨败
vi. 捕鲸"
whichever,"adj. 无论哪个；无论哪些
pron. 任何一个；无论哪个"
whip,"n. 鞭子；抽打；车夫； 搅拌器
vt. 抽打；煽动；搅打（蛋，奶油）；彻底击败
vi. 抽打；急走；拍击"
whisky,"n. 威士忌酒
adj. 威士忌酒的"
whistle,"n. 口哨；汽笛；呼啸声
vt. 吹口哨；鸣汽笛"
whoever,"pron. 无论谁；任何人
n. 《爱谁谁》（电影名）"
wholly,adv. 完全地；全部；统统
wicked,adj. 邪恶的；恶劣的；不道德的；顽皮的
widen,"vt. 放宽
vi. 变宽"
widow,"n. 寡妇；孀妇
vt. 使成寡妇"
width,n. 宽度；广度
willpower,n. 意志力；毅力
wisdom,n. 智慧，才智；明智；学识；至理名言
wolf,"n. 狼；色狼；残忍贪婪之人
vt. 大吃；狼吞虎咽地吃"
wool,n. 羊毛；毛线；绒线；毛织品；毛料衣物
woolen,"n. 毛织品
adj. 羊毛的；羊毛制的"
workman,n. 工匠；技工；男工
workout,n. 锻炼；练习；试验
workshop,n. 车间；研讨会；工场；讲习班
worldwide,"adj. 全世界的
adv. 在世界各地"
worm,"n. 虫，蠕虫；蜗杆；螺纹；小人物
vt. 使蠕动；给除虫；使缓慢前进
vi. 慢慢前进；蠕行"
worried,adj. 担心的
worthless,adj. 无价值的；不值钱的；卑微的
worthy,"n. 杰出人物；知名人士
adj. 值得的；有价值的；配得上的，相称的；可尊敬的；应…的"
wrap,"n. 外套；围巾
vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣"
wrinkle,"n. 皱纹
vi. 起皱
vt. 使起皱纹"
wrist,"n. 手腕；腕关节
vt. 用腕力移动"
writer,n. 作家；作者
writing,"n. 书写；作品；著作； 笔迹
v. 书写（write的ing形式）"
X-ray,
yawn,"n. 哈欠；裂口
vt. 张开；打著哈欠说
vi. 打哈欠；裂开"
yearly,"n. 年刊；年鉴
adj. 每年的
adv. 每年；一年一次"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
youngster,n. 年轻人；少年
zone,  地带、地区（德语）
zoo,n. 动物园; <美俚>（铁路货车的最后一节）守车; <美俚>核粒子园
