abnormal,adj. 反常的，不规则的；变态的
jeopardize,vt. 危害；使陷危地；使受危困
jeopardise,vt. 危及（等于jeopardize）；使…受危险
visualize,"vt. 形象，形象化；想像，设想
vi. 显现"
visualise,"vt. 使…可见；使…具体化（等于visualize）
vi. 想象；显现"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
constituent,"n. 成分；选民；委托人
adj. 构成的；选举的"
constitute,vt. 组成，构成；建立；任命
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
sullen,adj. 愠怒的，不高兴的；（天气）阴沉的；沉闷的
indignant,adj. 愤愤不平的；义愤的
hysterical,adj. 歇斯底里的；异常兴奋的
frantic,adj. 狂乱的，疯狂的
sum,"n. 金额；总数
vt. 总结；合计
vi. 概括"
summary,"n. 概要，摘要，总结
adj. 简易的；扼要的"
summarize,"vt. 总结；概述
vi. 作总结；作概括"
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
sue,"vt. 控告；请求
vi. 控告；提出请求"
prosecute,"vt. 检举；贯彻；从事；依法进行
vi. 起诉；告发；作检察官"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
corpse,n. 尸体
cemetery,n. 墓地；公墓
superficial,adj. 表面的；肤浅的 ；表面文章的；外表的；（人）浅薄的
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
superiority,n. 优越，优势；优越性
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
supervisor,n. 监督人， 管理人；检查员
preside,"vi. 主持，担任会议主席
vt. 管理"
surveillance,n. 监督；监视
custody,n. 保管；监护；拘留；抚养权
suppress,vt. 抑制；镇压；废止
repress,"vt. 抑制；镇压（叛乱等）；约束
vi. 抑制；镇压"
squash,"n. 壁球；挤压；咯吱声；南瓜属植物；（英）果汁饮料
vt. 镇压；把…压扁；使沉默
vi. 受挤压；发出挤压声；挤入"
survival,n. 幸存，残存；幸存者，残存物
vitamin,n.  维生素； 维他命
vivid,adj. 生动的；鲜明的；鲜艳的
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
symmetry,n. 对称（性）；整齐，匀称
symphony,n. 交响乐；谐声，和声
symposium,n. 讨论会，座谈会；专题论文集；酒宴，宴会
syndrome,n.  综合症状；并发症状；校验子；并发位
symptom,n.  症状；征兆
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
hectic,"n. 脸红；患肺结核
adj. 兴奋的，狂热的；脸上发红；肺病的；忙碌的"
numb,"vt. 使麻木；使发愣；使失去感觉
adj. 麻木的；发愣的"
allergic,adj. 对…过敏的；对…极讨厌的
dizzy,"adj. 晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的
vt. 使头晕眼花；使混乱；使茫然"
synonym,n. 同义词；同义字
antonym,n.  反义词
renown,"n. 声誉；名望
vt. 使有声望"
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
system,n. 制度，体制；系统；方法
systematically,adv. 有系统地；有组织地
tack,"n. 大头钉；粗缝；行动方针；食物
vt. 附加；以大头针钉住
vi. 抢风航行；作文字形移动"
tact,n. 机智；老练；圆滑；鉴赏力
tick,"n. 滴答声；扁虱；记号；赊欠
vt. 标记号于；滴答地记录
vi. 发出滴答声；标以记号"
temptation,n. 引诱；诱惑物
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
tempting,"v. 引诱（tempt的ing形式）
adj. 吸引人的；诱惑人的"
terminate,"vt. 使终止；使结束；解雇
adj. 结束的
vi. 结束，终止；结果"
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
termination,n. 结束，终止
terrain,n.  地形，地势；领域；地带
hemisphere,n. 半球
crust,"n. 地壳；外壳；面包皮；坚硬外皮
vi. 结硬皮；结成外壳
vt. 盖以硬皮；在…上结硬皮"
inland,"n. 内地；内陆
adj. 内陆的；内地的；国内的
adv. 在内地；向内地；向内陆；在内陆"
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
isle,"n. 岛
vt. 使成为岛屿
vi. 住在岛屿上"
peninsula,n. 半岛
plateau,"n. 高原
n.   普拉托
n. （活动或进程中的）稳定阶段，停滞时期
adj. 高原印第安人的"
terrific,adj. 极好的；极其的，非常的；可怕的
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
terrorist,n. 恐怖主义者，恐怖分子
terrify,vt. 恐吓；使恐怖；使害怕
theft,n. 盗窃；偷；赃物
burglar,n. 夜贼，窃贼
spy,"n. 间谍；密探
vt. 侦察；发现；暗中监视
vi. 侦察；当间谍"
assassinate,vt. 暗杀；行刺
assassination,n. 暗杀，行刺
rape,"n. 强奸，掠夺； 油菜；葡萄渣
vt. 强奸；掠夺，抢夺
vi. 犯强奸罪"
parole,"n. 语言；誓言，诺言；释放宣言
vt. 有条件释放，假释；使假释出狱；宣誓后释放"
thesis,n. 论文；论点
theory,n. 理论；原理；学说；推测
dissertation,n. 论文，专题；学术演讲
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
excerpt,"n. 摘录，引用
vt. 引用，摘录
vi. 摘录，引用"
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
thrash,"n. 打谷；逆风浪行进；踢水动作
vt. 打；使逆行
vi. 打谷；白忙；猛烈摆动"
thresh,"vt. 推敲；打谷；反复做
vi. 打；打谷；颠簸
n. 打谷"
thread,"n. 线；螺纹；思路；衣服；线状物；玻璃纤维；路线
vt. 穿过；穿线于；使交织
vi. 通过；穿透过"
threshold,n. 入口；门槛；开始；极限；临界值
thorough,adj. 彻底的；十分的；周密的
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
tickle,"n. 胳肢；痒感；使人发痒、高兴的东西
vt. 使发痒；使高兴；使满足
vi. 觉得痒；（东西）使人发痒"
twinkle,"n. 闪烁
vt. 使闪耀；闪耀
vi. 闪烁；发亮"
wrinkle,"n. 皱纹
vi. 起皱
vt. 使起皱纹"
sparkle,"n. 闪耀；火花；活力
vt. 使闪耀；使发光
vi. 闪耀；发泡；活跃"
tiger,n. 老虎；凶暴的人
linger,"vi. 徘徊；苟延残喘；磨蹭
vt. 消磨；缓慢度过"
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
anger,"n. 怒，愤怒；忿怒
vt. 使发怒，激怒；恼火
vi. 发怒；恼火"
tile,"n. 瓷砖，瓦片
vt. 铺以瓦；铺以瓷砖"
gravel,"n. 碎石；砂砾
vt. 用碎石铺；使船搁浅在沙滩上；使困惑"
stone,"n. 石头；结石； 宝石
adj. 石的，石制的
vt. 向扔石块；用石头铺"
marble,"n. 大理石；大理石制品；弹珠
adj. 大理石的；冷酷无情的"
timid,adj. 胆小的；羞怯的
intimidate,vt. 恐吓，威胁；胁迫
intimidation,n. 恐吓，威胁
tolerate,vt. 忍受；默许；宽恕
tolerant,adj. 宽容的；容忍的；有耐药力的
tolerable,adj. 可以的；可容忍的
toleration,n. 宽容，忍受，默认；耐受性
toll,"vt. 征收；敲钟
n. 通行费；代价；钟声；伤亡人数
vi. 鸣钟；征税"
poll,"n. 投票；民意测验；投票数；投票所
adj. 无角的；剪过毛的；修过枝的
vt. 投票；剪短；对…进行民意测验；获得选票
vi. 投票"
stroll,"n. 漫步；闲逛；巡回演出
vt. 散步；闲逛
vi. 散步；闲逛；巡回演出"
topple,"vt. 推翻；颠覆；使倒塌
vi. 倾倒；倒塌；摇摇欲坠"
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
overthrow,"n. 推翻；倾覆；瓦解
vt. 推翻；打倒；倾覆"
tract,n. 束；大片土地，地带；小册子
leaflet,n. 小叶；传单
pamphlet,n. 小册子
tragic,adj. 悲剧的；悲痛的，不幸的
devastating,"adj. 毁灭性的；全然的
v. 摧毁（devastate的ing形式）；毁坏"
disastrous,adj. 灾难性的；损失惨重的；悲伤的
trait,n. 特性，特点；品质；少许
streak,"n. 条纹，线条；倾向
vi. 飞跑，疾驶；加上条纹
vt. 飞跑，疾驰；加条纹于"
trademark,"n. 商标
标志"
tranquil,adj. 安静的，平静的；安宁的；稳定的
cozy,"n. 保温罩
vt. 蒙骗；抚慰
adj. 舒适的；安逸的"
cosy,"n. 保温罩
adj. 舒适的；惬意的"
peaceful,adj. 和平的，爱好和平的；平静的
transaction,n. 交易；事务；办理；会报，学报
currency,n. 货币；通货
earnings,n. 收入
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
insurance,n. 保险；保险费；保险契约；赔偿金
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
trader,n. 交易者；商人；商船
transcend,vt. 胜过，超越
transition,n. 过渡；转变； 转换；变调
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
interim,"n. 过渡时期，中间时期；暂定
adj. 临时的，暂时的；中间的；间歇的"
intermittent,adj. 间歇的；断断续续的；间歇性
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
transmission,n. 传动装置， 变速器；传递；传送；播送
convey,vt. 传达；运输；让与
circulation,n. 流通，传播；循环；发行量
trauma,n.  创伤（由心理创伤造成精神上的异常）；外伤
bruise,"n. 擦伤；挫伤；青肿
vt. 使受瘀伤；使受挫伤
vi. 擦伤；受伤"
bleed,"vt. 使出血；榨取
vi. 流血；渗出；悲痛"
tribute,n. 礼物； 贡物；颂词；（尤指对死者的）致敬，悼念，吊唁礼物
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
distribute,vt. 分配；散布；分开；把…分类
troop,"vt. 把（骑兵）编成骑兵连
vi. 群集；成群而行；结队
n. 军队；组；群；多数"
corps,n. 军团；兵种；兵队；（德国大学的）学生联合会
militia,n. 民兵组织；自卫队；义勇军；国民军
brigade,"n. 旅；大部队；队列
vt. 把…编成旅；把…编成队"
tub,"n. 浴盆；桶
vt. 把…装入桶；为…洗盆浴
vi. 洗盆浴；（衣服等）被放在桶里洗"
basin,n. 水池；流域；盆地；盆
cork,"n. 软木橡树皮；瓶塞；软木塞
vt. 用瓶塞塞住"
hose,"n. 软管；长筒袜；男性穿的紧身裤
vt. 用软管浇水；痛打"
pipe,"n. 管；烟斗；笛
vt. 用管道输送；尖声唱；用管乐器演奏
vi. 吹笛；尖叫"
quart,n. 夸脱（容量单位）；一夸脱的容器
turbulent,adj. 骚乱的，混乱的；狂暴的；吵闹的；激流的，湍流的
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
warfare,n. 战争；冲突
uprising,"n. 起义；升起
v. 起义（uprise的ing形式）；升起
adj. 升起的"
crackdown,n. 镇压；（美）制裁；强制取缔；惩罚
crumble,"n. 面包屑
vi. 崩溃；破碎，粉碎
vt. 崩溃；弄碎，粉碎"
curfew,n. 宵禁；宵禁令；晚钟；打晚钟时刻
tutorial,"n. 个别指导
adj. 辅导的；家庭教师的，个别指导的"
intuitive,adj. 直觉的；凭直觉获知的
intuition,n. 直觉；直觉力；直觉的知识
tuition,n. 学费；讲授
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
underlie,vt. 成为……的基础；位于……之下
underestimate,"n. 低估
vt. 低估；看轻"
underlying,"adj. 潜在的；根本的；在下面的；优先的
v. 放在…的下面；为…的基础；优先于（underlie的ing形式）"
implicit,adj. 含蓄的；暗示的；盲从的
latent,adj. 潜在的；潜伏的；隐藏的
underwear,n. 内衣物
blouse,"n. 宽松的上衣；女装衬衫
vt. 使…宽松下垂
vi. 宽松下垂"
vest,"n. 背心；汗衫
vt. 授予；使穿衣
vi. 归属；穿衣服"
pants,n. 裤子
jeans,n. 牛仔裤；工装裤
gown,"n. 长袍，长外衣；礼服；睡袍；法衣
vt. 使穿睡衣"
unfold,"vi. 展开；显露
vt. 打开；呈现"
uneasy,adj. 不舒服的；心神不安的；不稳定的
unpaid,adj. 未付款的； 未缴纳的；无报酬的
unlimited,adj. 无限制的；无限量的；无条件的
uncommon,"adj. 不寻常的；罕有的
adv. 非常地"
unprecedented,adj. 空前的；无前例的
unlock,"vt. 开启；开…的锁；表露
vi. 解开；解除锁定；被开启"
unveil,"vt. 使公之于众，揭开；揭幕
vi. 除去面纱；显露"
unleash,"vt. 发动；解开…的皮带；解除…的束缚
vi. 不受约束；自由自在；放荡不羁"
unity,n. 团结；一致；联合；个体
solidarity,n. 团结，团结一致
accordance,n. 一致；和谐
unify,vt. 统一；使相同，使一致
unanimous,adj. 全体一致的；意见一致的；无异议的
vain,adj. 徒劳的；自负的；无结果的；无用的
conceit,"n. 自负；狂妄；幻想
vt. 幻想"
conceited,adj. 自负的；狂想的；逞能的
vegetation,n. 植被；植物，草木；呆板单调的生活
oak,"n. 橡树；橡木色；橡木家具
adj. 栎树的；栎木制的"
olive,"n. 橄榄；橄榄树；橄榄色
adj. 橄榄的；橄榄色的"
coconut,n. 椰子；椰子肉
bamboo,"n. 竹，竹子
adj. 竹制的；土著居民的
vt. 为…装上篾条"
shrub,n. 灌木；灌木丛
thorn,n. 刺； 荆棘
herb,n. 香草，药草
cane,"n. 手杖；藤条；细长的茎
vt. 以杖击；以藤编制"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
locomotive,"adj. 火车头的；运动的；移动的
n. 机车；火车头"
van,"n. 先锋；厢式货车；增值网
vt. 用车搬运"
wagon,"n. 货车，四轮马车
vt. 用运货马车运输货物"
compartment,"n.  隔间；区划；卧车上的小客房
vt. 分隔；划分"
depot,"n. 仓库；停车场；航空站
adj. 药性持久的
vt. 把…存放在储藏处"
vent,"n. （感情的）发泄；出口；通风孔
vt. 发泄感情；放出…；给…开孔
vi. 放出；（通过排泄等）减轻压力"
ventilate,vt. 使通风；给…装通风设备；宣布
ventilation,n. 通风设备；空气流通
vibrate,"vt. 使振动；使颤动
vi. 振动；颤动；摇摆；踌躇"
quiver,"n. 颤抖；箭袋；震动
vi. 颤抖；振动
vt. 使…颤动；抖动"
thrill,"n. 激动；震颤；紧张
vt. 使…颤动；使…紧张；使…感到兴奋或激动
vi. 颤抖；感到兴奋；感到紧张"
agitate,"vt. 摇动；骚动；使…激动
vi. 煽动"
vicinity,n. 邻近，附近；近处
venue,n. 审判地；犯罪地点；发生地点；集合地点
clearing,"n. 结算；空地；清扫
v. 澄清；放晴（clear的ing形式）"
estate,n. 房地产；财产；身份
hive,"n. 蜂房，蜂巢；热闹的场所；熙攘喧闹的人群
vi. 群居；入蜂房；生活在蜂房中
vt. 入蜂箱；贮备"
violate,vt. 违反；侵犯，妨碍；亵渎
violation,n. 违反；妨碍，侵害；违背；强奸
breach,"n. 违背，违反；缺口
vt. 违反，破坏；打破"
default,"n. 违约；缺席；缺乏；系统默认值
vt. 不履行；不参加（比赛等）；对…处以缺席裁判
vi. 拖欠；不履行；不到场"
void,"n. 空虚；空间；空隙
adj. 空的；无效的；无人的
vt. 使无效；排放"
invalid,"n. 病人；残疾者
adj. 无效的；有病的；残疾的
vt. 使伤残；使退役
vi. 变得病弱；因病而奉命退役"
futile,adj. 无用的；无效的；没有出息的；琐细的；不重要的
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
donation,n. 捐款，捐赠物；捐赠
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
dedicate,vt. 致力；献身；题献
weapon,n. 武器，兵器
ammunition,"n. 弹药；军火
vt. 装弹药于
vi. 装弹药"
