foods,n.  食品
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
predictor,n.  预报器；预言者
prediction,n. 预报；预言
predictable,adj. 可预言的
unpredictable,"n. 不可预言的事
adj. 不可预知的；不定的；出乎意料的"
unpredictability,n. 不可预测性，不可预知性；不可预见性
presumable,adj. 可能有的；可推测的
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
assumption,n. 假定；设想；担任；采取
proposition,"n.  命题；提议；主题；议题
vt. 向…提议；向…求欢"
speculate,"vi. 推测；投机；思索
vt. 推断"
speculator,n. 投机者；思索者
speculation,n. 投机；推测；思索；投机买卖
anticipate,vt. 预期，期望；占先，抢先；提前使用
anticipation,n. 希望；预感；先发制人；预支
unanticipated,adj. 意料之外的；不曾预料到的；未预料到的
skeptical,adj. 怀疑的；怀疑论的，不可知论的
skepticism,n. 怀疑论；怀疑的态度
skeptics,n. 疑论者，怀疑主义者（skeptic的复数形式）
deduce,vt. 推论，推断；演绎出
deductivism,n. 演绎主义
deductive,adj. 演绎的；推论的；推断的
deduction,n. 扣除，减除；推论；减除额
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
abstraction,n. 抽象；提取；抽象概念；空想；心不在焉
notion,n. 概念；见解；打算
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
depress,vt. 压抑；使沮丧；使萧条
depressive,adj. 抑郁的；压抑的
constraint,n.  约束；局促，态度不自然；强制
constrain,vt. 驱使；强迫；束缚
retain,vt. 保持；雇；记住
retainer,n. 保持器；家臣；保持者； 护圈；预付费用
restrict,vt. 限制；约束；限定
restrictive,"n. 限制词
adj. 限制的；限制性的；约束的"
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
interference,n. 干扰，冲突；干涉
interferometer,n.  干涉仪；干涉计
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
distract,vt. 转移；分心
distraction,n. 注意力分散；消遣；心烦意乱
erode,"vt. 腐蚀，侵蚀
vi. 侵蚀；受腐蚀"
mortality,n. 死亡数，死亡率；必死性，必死的命运
extinction,n. 灭绝；消失；消灭；废止
devastate,vt. 毁灭；毁坏
devastating,"adj. 毁灭性的；全然的
v. 摧毁（devastate的ing形式）；毁坏"
erosion,n. 侵蚀，腐蚀
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
suppress,vt. 抑制；镇压；废止
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
disposal,n. 处理；支配；清理；安排
predispose,vt. 预先处置；使…偏向于
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
vanishingly,adv. 难以察觉地；消遁似地；趋于零地
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
ultimately,adv. 最后；根本；基本上
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
cultivate,vt. 培养；陶冶；耕作
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
preservation,n. 保存，保留
conservation,n. 保存，保持；保护
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
canopy,"n. 天篷；华盖；遮篷；苍穹
vt. 用天蓬遮盖；遮盖"
commitment,n. 承诺，保证；委托；承担义务；献身
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
enable,vt. 使能够，使成为可能；授予权利或方法
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
facilitate,vt. 促进；帮助；使容易
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
provisional,"adj. 临时的，暂时的；暂定的
n. 临时邮票"
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
refine,vt. 精炼，提纯；改善；使…文雅
unrefined,adj. 未提炼的
enhance,vt. 提高；加强；增加
enhancement,n. 增加；放大
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
extraction,n. 取出；抽出；拔出；抽出物；出身
extractive,"n. 提取物；抽出物；精华
adj. 提取的；可萃取的；精萃的"
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
favour,"n. 偏爱；赞同；善行
vt. 赞成；喜爱；有助于"
favourable,"n. 有利
adj. 有利的，顺利的；赞成的"
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
entitle,vt. 称做…；定名为…；给…称号；使…有权利
modify,"vt. 修改，修饰；更改
vi. 修改"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
convertible,"n. 有活动折篷的汽车
adj. 可改变的；同意义的；可交换的"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
exceed,"vt. 超过；胜过
vi. 超过其他"
exceeding,"v. 超过；占优势（exceed的ing形式）
adj. 超越的；非常的；过度的"
exceedingly,adv. 非常；极其；极度地；极端
transcend,vt. 胜过，超越
subsequent,adj. 后来的，随后的
consecutive,adj. 连贯的；连续不断的
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
descendant,"n. 后裔；子孙
adj. 下降的；祖传的"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
inheritance,n. 继承；遗传；遗产
cognitive,adj. 认知的，认识的
cognition,n. 认识；知识；认识能力
recognition,n. 识别；承认，认出；重视；赞誉；公认
ingenious,adj. 有独创性的；机灵的，精制的；心灵手巧的
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
intelligent,adj. 智能的；聪明的；理解力强的
unintelligent,adj. 无知的；缺乏才智的
encyclopedia,n. 百科全书（亦是encyclopaedia）
profound,adj. 深厚的；意义深远的；渊博的
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
sophistication,n. 复杂；诡辩；老于世故；有教养
versatile,adj. 多才多艺的；通用的，万能的；多面手的
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
resilience,n. 恢复力；弹力；顺应力
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
discharge,"n. 排放；卸货；解雇
vt. 解雇；卸下；放出；免除
vi. 排放；卸货；流出"
enthusiasm,n. 热心，热忱，热情
robust,adj. 强健的；健康的；粗野的；粗鲁的
derive,"vt. 源于；得自；获得
vi. 起源"
obtain,"vi. 获得；流行
vt. 获得"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
gatherer,n. 采集者，收集器
excavate,"vt. 挖掘；开凿
vi. 发掘；细查"
excavation,n. 挖掘，发掘
excavator,n. 挖掘机；开凿者；打洞机
accumulate,"vt. 积攒
vi. 累积；积聚"
accumulation,n. 积聚，累积；堆积物
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
exploitation,n. 开发，开采；利用；广告推销；剥削
accessible,adj. 易接近的；可进入的；可理解的
utilization,n. 利用，使用
utilize,vt. 利用
capable,adj. 能干的，能胜任的；有才华的
incapable,adj. 不能的；无能力的；不能胜任的
capability,n. 才能，能力；性能，容量
capacity,n. 能力；容量；资格，地位；生产力
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
appropriately,adv. 适当地；合适地；相称地
appropriateness,n. 适当；适合
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
properly,adv. 适当地；正确地；恰当地
viable,adj. 可行的；能养活的；能生育的
unenviable,adj. 不值得羡慕的，不值得嫉妒的
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
prospector,n. 探勘者；采矿者
convenient,adj. 方便的；适当的；近便的；实用的
inconvenient,adj. 不便的；打扰的
inconvenience,"n. 不便；麻烦
vt. 麻烦；打扰"
conveniently,adv. 便利地；合宜地
adequate,adj. 充足的；适当的；胜任的
adequately,adv. 充分地；足够地；适当地
feasible,adj. 可行的；可能的；可实行的
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
desirability,n. 愿望；有利条件；值得向往的事物；合意
undesirable,"n. 不良分子；不受欢迎的人
adj. 不良的；不受欢迎的；不合需要的"
inevitably,adv. 不可避免地；必然地
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
undertake,vt. 承担，保证；从事；同意；试图
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
implementation,n.  实现；履行；安装启用
harness,"n. 马具；甲胄；挽具状带子；降落伞背带；日常工作
vt. 治理；套；驾驭；披上甲胄；利用"
dedicate,vt. 致力；献身；题献
dedication,n. 奉献；献身；赠言
valid,adj. 有效的；有根据的；合法的；正当的
validate,vt. 证实，验证；确认；使生效
validity,n.  有效性；正确；正确性
precise,adj. 精确的；明确的；严格的
precisely,adv. 精确地；恰恰
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
elaboration,n. 苦心经营，精巧；详细阐述
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
domesticated,"adj. 家养的；驯服的；喜欢家庭生活的
v. 驯养（domesticate的过去分词）；使习惯于家庭生活"
undomesticated,adj. 不爱做家务的；未驯服的
aboriginal,"n. 土著居民；土生生物
adj. 土著的；原始的"
inhabit,"vt. 栖息；居住于；占据
vi. （古）居住；栖息"
inhabitant,n. 居民；居住者
adjacent,adj. 邻近的，毗连的
consequence,n. 结果；重要性；推论
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
consequent,"n. 结果
adj. 随之发生的；作为结果的"
consequently,adv. 因此；结果；所以
enforce,vt. 实施，执行；强迫，强制
substance,n. 物质；实质；资产；主旨
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
phenomenon,n. 现象；奇迹；杰出的人才
archaeologist,n. 考古学家
pesticide,n. 杀虫剂
obsession,n. 痴迷；困扰； 强迫观念
parasite,n. 寄生虫；食客
albeit,conj. 虽然；即使
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
campaigner,n. 竞选者；从军者；出征者；老兵
heritage,n. 遗产；传统；继承物；继承权
optimist,n. 乐观主义者；乐天派
optimism,n. 乐观；乐观主义
optimistic,adj. 乐观的；乐观主义的
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
curriculum,"n. 课程
总课程"
terrestrial,"n. 陆地生物；地球上的人
adj. 地球的；陆地的， 陆生的；人间的"
estate,n. 房地产；财产；身份
plantation,"n. 栽植；殖民；大农场
adj. 适用于种植园或热带、亚热带国家的"
implantation,n. 移植；灌输；鼓吹
circumstance,n. 环境，情况；事件；境遇
crater,"n. 火山口；弹坑
vt. 在…上形成坑；取消；毁坏
vi. 形成坑；消亡"
commodity,n. 商品，货物；日用品
infrastructure,n. 基础设施；公共建设；下部构造
infection,n. 感染；传染；影响；传染病
infect,vt. 感染，传染
infective,adj. 有传染性的，感染别人的
gesture,"n. 姿态；手势
vt. 用动作表示
vi. 作手势；用动作示意"
devote,vt. 致力于；奉献
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
scenario,n. 方案；情节；剧本；设想
