approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
jabber,"n. 快而含糊不清的话
vt. 快而含糊地说出
vi. 快而含糊地说；吱吱喳喳地叫"
mote,n. 尘埃；微粒；小错
multifarious,adj. 多种的；各式各样的；多方面的；多样性的
flotsam,n. 废料；（遇难船的）漂流货物；浮货；零碎物
cabal,"n. 阴谋（尤指政治上的）；阴谋集团
vi. 策划阴谋"
pugnacious,adj. 好斗的，好战的
sadism,n. 虐待狂；性虐待狂；病态的残忍
cataclysm,n. 灾难；大洪水，地震；（社会政治的）大变动
nonplus,"n. 迷惑；困惑
vt. 使困惑"
cantankerous,adj. 脾气坏的；爱吵架的；难相处的
fulsome,adj. 令人生厌的；过度的
surreptitious,adj. 秘密的；鬼鬼祟祟的；暗中的
cranium,n. 颅； 头盖
voyeur,"n. 偷看下流场面的人；窥淫狂者
vi. 窥淫"
tardy,"n. 迟到
adj. 缓慢的，迟缓的；迟到的"
millennial,adj. 一千年的；千禧年的
debauch,"n. 放荡
vt. 使堕落；使颓废
vi. 放荡；诱使做不道德的事"
bate,"n. 柔皮剂
vt. 使软化；减少；缓和
vi. 减弱；衰落"
prickle,"n. 刺；刺痛；植物的皮刺；针刺般的感觉
vt. 针一般地刺；戳；使感到刺痛
vi. 引起刺痛；感到刺痛"
firmament,n. 天空；苍天
woeful,adj. 悲哀的；悲惨的；遗憾的；不幸的
carapace,n. 壳；甲壳
prudish,adj. 装正经的；过分规矩的
remiss,adj. 怠慢的；迟缓的；不小心的
dewy,adj. 带露水的，露湿的；如露的
callow,adj. 年轻而无经验的；羽毛未丰的
astringent,"n.  收敛剂；止血药
adj. 涩的；收敛性的；止血的；严厉的"
obdurate,adj. 顽固的，执拗的；冷酷无情的
protean,adj. 千变万化的；一人演几个角色的；变形虫的
chivalrous,adj. 侠义的；骑士的；有武士风度的
pentagon,n. 五角形
bellicose,adj. 好战的；好斗的
putrid,adj. 腐败的；腐烂的；令人厌恶的
aspersion,n. 中伤，诽谤；洒水
obfuscate,vt. 使模糊；使迷乱；弄暗
evanescent,adj. 容易消散的；逐渐消失的；会凋零的
superintend,"vt. 监督；管理；主管；指挥
vi. 监督；主管；指挥"
locution,n. 说话风格；惯用语
iconoclast,n. 偶像破坏者；提倡打破旧习的人
centenarian,"n. 百岁或逾百岁以上的人
adj. 百岁或逾百岁以上的"
stinger,n. 讽刺者；好讽刺人的人；针，刺；有刺的动物；鸡尾酒
rambunctious,adj. 难控制的；喧闹的；粗暴的；骚乱的
torpor,n. 不活泼；麻木；懒散，迟缓
gibe,"n. 嘲讽话
vt. 嘲笑；愚弄
vi. 嘲笑；嘲弄"
unpick,vt. 拆散；拆开；割开
grouchy,adj. 不高兴的，不满的；不平的
punctilious,adj. 一丝不苟的；精密细心的；拘泥形式的
despoil,vt. 掠夺，剥夺；夺取
natal,adj. 出生的；诞生的；分娩的；出生地的
vapid,adj. 无趣味的；无生气的；索然乏味的
headwind,n. 逆风；顶头风
ramify,"vt. 使分叉，使分枝；成网状
vi. 分枝，分叉；成网状"
nonentity,n. 不存在；虚无；无足轻重的人
miser,n. 守财奴；吝啬鬼；（石油工程上用的）凿井机
matriculate,"vt. 准许…入学；录取…入大学
vi. 准许入学；录取
n. 被录取者"
dilatory,adj. 拖拉的；缓慢的，不慌不忙的
tendentious,adj. 有偏见的，有倾向的；宣传性的
transfiguration,n. 变形；变容；变貌
libertine,"n. 浪荡子；性行为放纵者；放荡不羁者；玩乐者；自由思想家
adj. 放荡的"
prescience,n. 先见；预知
chicanery,n. 狡辩；欺骗；强词夺理
missal,n. 天主教的弥撒用书；祈祷书
monger,"vt. 传播，贩卖
n. 商人，贩子"
sycophant,"n. 谄媚者；奉承者
adj. 奉承的；拍马的"
soporific,"n. 催眠剂；安眠药
adj. 催眠的；想睡的"
thunk,n. 形实转换程序
ambidextrous,adj. 双手灵巧的；怀有二心的
fractionate,vt. 把…分成几部分; （用分馏法等）分解（混合物）; 分级
supercilious,adj. 目空一切的，高傲的；傲慢的，自大的
peevish,adj. 易怒的，暴躁的；带怒气的；撒娇的
querulous,adj. 易怒的，暴躁的；爱发牢骚的，抱怨的；爱挑剔的
presentiment,n. 预感
reprobate,"n. 恶棍，无赖
adj. 邪恶的；堕落的
v. 非难；拒绝；斥责"
miasma,n. 瘴气；臭气；不良影响
phlegmatic,adj. 冷淡的；迟钝的；冷漠的
anatomist,n. 解剖学家；剖析者
effrontery,n. 厚颜无耻
enfranchisement,n. 解放，释放
toady,"n. 谄媚者
vt. 谄媚
vi. 谄媚"
crocodilian,"n. 鳄目动物
adj. 鳄鱼的；鳄鱼一样的；伪善的"
deify,vt. 把…奉若神明；把…神化；崇拜
endothermic,adj.  吸热的；温血的
malodorous,adj. 有恶臭的；令人极为反感的；不合法的
unsullied,adj. 清白的；无污点的
ultraconservative,"n. 极端保守主义者
adj. 极端保守主义的"
heterodox,adj. 异端的；非正统的
circumlocution,n. 婉转曲折的说法，累赘的陈述；遁辞
mellifluous,adj. 流畅的；如蜜般的
omnivorous,adj. 杂食的；什么都读的；无所不吃的
complaisant,adj. 彬彬有礼的；顺从的；殷勤的
obstreperous,adj. 吵闹的，喧嚣的；难驾驭的
requite,vt. 报答，回报；酬谢
ossify,"vi. 骨化；硬化；僵化
vt. 使硬化；使骨化；使僵化"
ineluctable,adj. 不可避免的；无法逃避的
trapezoid,"n.  梯形； 不规则四边形
adj. 梯形的； 不规则四边形的"
malediction,n. 坏话，诅咒
paleoanthropologist,n.  古人类学者
outvote,vt. 以多数票击败
salable,adj. 畅销的；适于销售的；价格适当的
adsorbent,"n. 吸附剂
adj. 吸附的"
amino acid,"n. 氨基酸
 胺基酸；天然胺基酸；氨基酸矿物质微量元素"
ampere,n. 安培（计算电流强度的标准单位）
anaesthetic,"n. 麻醉剂；麻药
adj. 麻醉的"
autodidact,n. 自学者；自学成功的人
betake,vt. 去，往，到（某处、某人处）
betoken,vt. 预示；表示
billiards,n. 台球，桌球；弹子戏
blazing,"adj. 燃烧的；强烈的；闪耀的
adv. 非常
v. 燃烧；闪耀；迸发；公开（blaze的ing形式）"
cacophonous,adj. 粗腔横调的；发音不和谐的
comestible,"n. 食物
adj. 可吃的，可食的"
corpulence,n. 臃肿，肥胖
corsage,n. 胸衣；胸前花饰
crusted,adj. 生了外皮的；有沉淀的；陈旧的；陈年的
deoxyribonucleic acid,"na. 脱氧核糖核酸
 去氧核糖核酸；去氧核醣核酸；去氧核酸"
diablo,n. 暗黑破坏神，一个著名游戏的名称，又称恐惧
dimwitted,adj. <口>笨的，傻的
dogged,"adj. 顽强的；顽固的
vt. 跟踪；尾随（dog的过去式）"
duplicitous,adj. 奸诈的；双重的；搞两面派的
ectotherm,n. 冷血动物，变温动物
folklorist,n. 民俗学研究者
freckled,"adj. 有雀斑的；有斑点的
v. 生斑点；布满斑点（freckle的过去式和过去分词）"
gene-sequencing, 基因排序
gristle,n. 软骨；软骨结构
gut-level, 本能式
homologous,adj. 相应的； 同源的；类似的；一致的
inbred,"adj. 天生的；近亲交配的
v. 同系交配（inbreed的过去式及过去分词）"
inflammability,n.  易燃性， 可燃性；易兴奋性
level-headed,adj. 冷静的；清醒的
lookout post,
ludic,adj. 顽皮的；好开玩笑的
maladroit,adj. 笨拙的；不灵巧的；愚钝的
mass protest,
mendacious,adj. 虚假的；说谎的
millennia,n. 千年期（millennium的复数）；一千年；千年庆典；太平盛世
minutiae,n. 微小；不重要的细节（minutia的复数）
misgiving,"n. 担忧；疑虑；不安
v. 担忧；使…疑虑；害怕（misgive的ing形式）"
moulder,"vi. 腐朽；衰退
vt. 使腐朽；使衰退
n. 制模工，铸工"
nail down, 用钉子钉住（某物）; 迫使（某人）作出决定，讲明意图; 钉牢
nuclei,n. 核心，核子；原子核（nucleus的复数形式）
overarching,"adj. 首要的；支配一切的；包罗万象的
v. 成拱形（overarch的ing形式）"
overlying,"n. 上覆盖，叠加（overlie的现在分词）
adj. 上覆盖的"
petrified,"adj. 惊呆的；目瞪口呆的
v. 使石化；变僵硬；发呆（petrify的过去分词）"
Pleistocene,n. 更新世；更新世岩
railing,n. 栏杆；扶手
resorb,v. 再吸收
scheming,adj. 腹黑
splinter,"n. 碎片；微小的东西；极瘦的人
vi. 分裂；裂成碎片
vt. 使分裂；使裂成碎片"
stilted,"adj. 不自然的；呆板的；僵硬的
v. 使踩高跷（stilt的过去分词）"
swash,"n. 虚张声势；泼水声；吓唬
vt. 冲洗；泼
vi. 飞溅；恐吓"
thermophile,"adj. 喜温的，嗜热的，适温的
n. 嗜热生物，喜温生物"
tweezer,"n. 镊子；钳子
vt. 用镊子钳"
unfetter,vt. 释放；使自由；除去…脚镣
whelm,"vt. 淹没；用…覆盖
vi. 淹没；覆盖；压倒"
tract,n. 束；大片土地，地带；小册子
solute,"n.  溶质； 溶解物
adj. 溶解的"
slate,"n. 板岩；石板；蓝色；石片
adj. 板岩的；石板色的
vt. 铺石板；严厉批评某人；计划"
flick,"n. 弹开；快速的轻打；轻打声
vt. 轻弹；忽然摇动；轻轻拂去
vi. 轻弹；忽然摇动；轻轻拂去"
plaster,"n. 石膏；灰泥；膏药
vt. 减轻；粘贴；涂以灰泥；敷以膏药；使平服"
perch,"n. 鲈鱼; 高位；栖木；杆
vt. 栖息；就位；位于；使坐落于
vi. 栖息；就位；位于"
pier,n. 码头，直码头；桥墩；窗间壁
rubble,n. 碎石，碎砖；粗石堆
cant,"n. 斜面；伪善之言；黑话；角落
vi. 倾斜；讲黑话
vt. 把…棱角去掉；使…倾斜；甩掉
adj. 行话的；哀诉声的；假仁假义的"
grit,"n. 粗砂，砂砾砂砾，粗砂石；勇气；决心
vt. 研磨；在…上铺砂砾，覆以砂砾；咬紧牙关
vi. 摩擦作声"
estuary,n. 河口；江口
dune,n. （由风吹积而成的）沙丘
pulpit,n. 讲道坛；高架操纵台；神职人员
ferret,"n. 雪貂；白鼬；侦探
vi. 搜索，侦破
vt. 搜出，查获；驱出；用雪貂猎取"
tramp,"n. 流浪者；沉重的脚步声；徒步旅行
vi. 流浪；践踏，踩；脚步沉重地行走
vt. 践踏，踩；走过"
quartet,n. 四重奏；四重唱；四件一套
buff,"n. 浅黄色；软皮；爱好者； 健康的身体
vt. 有软皮摩擦；缓冲；擦亮，抛光某物"
pickle,"n. 泡菜；盐卤；腌制食品
vt. 泡；腌制"
slug,"n. 鼻涕虫；动作缓慢的人；金属小块
vt. 重击
vi. 偷懒；动作迟缓"
seedling,n. 秧苗，幼苗；树苗
badger,"n. 獾；獾皮；（大写）獾州人（美国威斯康星州人的别称）；<动><澳>毛鼻袋熊
vt. 纠缠不休；吵着要；烦扰"
roster,n. 花名册；执勤人员表；逐项登记表
bonnet,"n.  阀盖；软帽
vt. 给…装上罩；给…戴上帽子"
yolk,n. 蛋黄； 卵黄；羊毛脂
strenuous,adj. 紧张的；费力的；奋发的；艰苦的；热烈的
dab,"n. 轻拍；少量；熟手；比目鱼
v. 轻拍；涂；轻擦；轻敷（过去式dabbed，过去分词dabbed，现在分词dabbing，第三人称单数dabs）"
moratorium,n. 暂停，中止； 延期偿付
photon,n.  光子；辐射量子；见光度（等于light quantum）
drab,"n. 浅褐色；无生气；邋遢；小额
adj. 单调的；土褐色的
vt. 使无生气
vi. 嫖妓"
entourage,n. 随从；周围；环境
squeal,"n. 尖叫声
vt. 告密；长声尖叫
vi. 告密；尖声地说"
binge,"n. 狂欢，狂闹；放纵
vt. 放纵
vi. 狂饮作乐；大吃大喝"
pedestal,"n. 基架，基座；基础
vt. 搁在台上；支持；加座"
spruce,"n. 云杉
vt. 打扮整齐
adj. 整洁的
vi. 打扮整齐；使显干净"
blazer,n. 燃烧体；宣布者；颜色鲜明的运动上衣
extant,adj. 现存的；显著的
snare,"n. 陷阱；圈套； 勒除器
vt. 捕捉；诱惑"
pinnacle,"n. 高峰；小尖塔；尖峰；极点
vt. 造小尖塔；置于尖顶上；置于高处"
raisin,n. 葡萄干
scathing,"adj. 严厉的；损伤的
v. 损伤；伤害（scathe的ing形式）"
permutation,n.  排列； 置换
stanza,n. 演出期；局；场；诗的一节
shoal,"n. 浅滩，沙洲；鱼群；潜在危险
vi. 变浅
vt. 使变浅；驶入
adj. 浅的"
pageant,n. 盛会；游行；虚饰；露天表演
litany,n. 冗长而枯燥的陈述；连祷
kayak,n. 皮船；爱斯基摩小艇
spank,"n. 一巴掌
vt. 拍击使之前进；打…的屁股
vi. 掴；飞跑"
predisposition,n. 倾向；素质；易染病体质
pike,"n. 通行费；矛；梭子鱼；尖头；收费道路
vt. 用矛刺穿"
brat,n. 乳臭未干的小孩；顽童
custard,n. 奶油冻；奶油蛋羹
smudge,"n. 污点，污迹；烟熏火堆
vt. 弄脏，涂污；用浓烟熏
vi. 被弄脏；形成污迹"
disjoint,adj. 互斥；没有共同元素；不相交的
axle,n. 车轴； 轮轴
pernicious,adj. 有害的；恶性的；致命的；险恶的
pancreas,n.  胰腺
broach,"n. 钻头；凿子；胸针（等于brooch）
vt. 提出；钻孔；开始讨论；给…开口
vi. 突然横转"
amble,"n. （马的）缓行步态；漫步
vi. （马）缓行；从容漫步"
slumber,"n. 睡眠；麻木状态；静止状态
vi. 睡眠；蛰伏；麻木
vt. 睡眠；睡着度过"
genealogy,n. 宗谱；血统；家系；系谱学
supernova,n.  超新星
scooter,n. 小轮摩托车；速可达；单脚滑行车；小孩滑板车
scallop,"n. 扇贝，干贝
vt. 使成扇形
vi. 拾扇贝"
infestation,n. 感染；侵扰
sled,"n. 雪橇
vt. 用摘棉机摘；用雪橇运
vi. 乘雪橇；用雪橇运"
indenture,"n. 契约；合同
vt. 以契约约束"
glut,"n. （商品）供过于求；大量
vt. 使…充满；使…吃饱；过多供应
vi. 吃得过多"
polemic,"n. 争论；辩论者
adj. 好争论的"
accordion,"n. 手风琴
adj. 可折叠的"
synopsis,n. 概要，大纲
snuggle,"vt. 使舒适温暖；紧抱；偎依
vi. 偎依；舒服地蜷伏"
botch,"n. 难看的补缀；笨拙的修补；笨拙的工作
vi. 拙笨地修补；弄坏某事物
vt. 糟蹋；拙笨地修补；拙劣地拼凑"
guillotine,"n. 断头台；切纸机；截止辩论以付表决法
vt. 于断头台斩首；终止辩论将议案付诸表决"
pungent,adj. 辛辣的；刺激性的；刺鼻的；苦痛的；尖刻的
slouch,"n. 下垂；笨拙的人，懒散的人；懒散的样子
vt. 使下垂
vi. 没精打采地站；耷拉"
mope,"vi. 忧郁；百无聊赖
vt. 使忧郁；没精打采地度过
n. 忧郁的人；消沉"
elk,n. 麋鹿；软鞣粗皮；驼鹿皮革
emissary,"n. 使者；间谍；密使
adj. 间谍的；密使的"
pique,"n. 生气；愠怒；呕气
vt. 刺激；伤害…自尊心；激怒"
incandescent,adj. 辉耀的；炽热的；发白热光的
facile,"adj. （言语或理论）轻率的，未经深思熟虑的
adj. 温和的；灵巧的；易做到的"
nemesis,"n. 报应；给与惩罚的人；天罚
n. 主要敌人，强硬对手"
buzzard,n. 秃鹰类；贪婪卑鄙的小人
parson,n. 牧师，教区牧师；神职人员
amphitheater,n. 竞技场； 圆形露天剧场；古罗马剧场
squalor,n. 肮脏；悲惨；卑劣；道德败坏
capitulate,vi. 认输，屈服；屈从，停止反抗；有条件投降；让步
raze,vt. 夷为平地；破坏；消除；拆毁
foment,vt. 煽动；挑起；热敷
epitaph,n. 碑文，墓志铭
quandary,n. 困惑；窘境；为难
hedonism,n. 快乐主义；快乐论
bungle,"n. 粗劣；失败；笨拙
vi. 把工作搞糟
vt. 笨手笨脚地做；把…搞糟"
percolate,"vt. 使渗出；使过滤
vi. 过滤；渗出；浸透
n. 滤过液；渗出液"
vicarious,adj. 替代的；代理的；发同感的
subservient,adj. 屈从的；奉承的；有用的；有帮助的
enmesh,vt. 使绊住；使陷入
gargantuan,adj. 庞大的，巨大的
tawdry,"n. 俗丽的东西；廉价而俗丽之物
adj. 非常华丽的；廉价而俗丽的"
proscribe,vt. 剥夺……的公权；禁止
stasis,n.  郁积，停滞；血行停滞
figurehead,n. 破浪神；有名无实的领袖；装饰船头的人像
skimpy,adj. 不足的；吝啬的
almanac,n. 年鉴；历书；年历
blustery,adj. 大风的；狂暴的，吵闹的
daub,"n. 涂抹；涂料；拙劣的画
vt. 涂抹；乱画；弄脏
vi. 涂抹；乱画"
apocryphal,adj. 伪的；可疑的
penitent,"adj. 忏悔的，悔过的
n. 悔罪者，忏悔者"
incarnate,"adj. 化身的；人体化的；肉色的
vt. 体现；使…具体化；使实体化"
beehive,n. 蜂窝；蜂箱
foolhardy,adj. 有勇无谋的；蛮干的
aver,vt. 断言，极力声明；主张
petulant,adj. 暴躁的；任性的；难以取悦的
pittance,n. 少量；小额施舍；少量津贴
astrophysicist,n. 天体物理学家
bigwig,n. 权贵之人；有重大影响的人
ejaculation,n.  射精；突然说出
impugn,vt. 指责，非难；抨击；反驳；对…表示怀疑
tangerine,n. 橘子
sanctify,vt. 使圣洁；使神圣化；把…奉献给神；认可
tarp,n. 油布；防水布
profligate,"n. 放荡者；享乐者
adj. 放荡的，不检点的；恣意挥霍的"
quizzical,adj. 古怪的；引人发笑的；探询的；嘲弄的
collarbone,n. 锁骨
hap,"n. 机会，运气；偶然
vi. 偶然发生"
scarecrow,n. 稻草人，威吓物；衣衫褴褛的人
whiplash,n. 鞭绳；鞭子的顶端；鞭打
propitious,adj. 适合的；吉利的；顺利的
hemline,n. 底边，底缘
cornucopia,n. 哺乳宙斯的羊角；装满花果及谷穗表丰饶的羊角状物；丰饶的象征
careen,"n. 船的倾侧
vt. 使倾侧，使倾斜
vi. 倾侧，倾斜"
abrogate,vt. 废除；取消
inure,"vt. 使…习惯；使…适应
vi. 适用；起作用；有助于"
androgen,n. 雄性激素；男性荷尔蒙
dregs,n. 渣滓；少量；沉淀物（dreg的复数）
marigold,n. 万寿菊；金盏花
aspen,"n. 山杨
adj. 山杨的；类似白杨的；颤抖的"
probity,n. 廉洁；正直
plunger,n.  活塞；潜水者；跳水者；莽撞的人
rapacious,adj. 贪婪的；掠夺的
savant,n. 学者；专家
sanctimonious,adj. 假装虔诚的；假装圣洁的；假装诚实的
piquant,adj. 辛辣的；活泼的；痛快的；顽皮的；刺激的
expropriate,vt. 没收，征用；剥夺
