consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
occasionally,adv. 偶尔；间或
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
set out,"n. 开始；出发；动身；准备
 陈列；着手；陈述"
set out to do, 着手做；着手做某事；开始做
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
wire,"n. 电线；金属丝；电报
vt. 拍电报；给…装电线
vi. 打电报"
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
helicopter,"n.  直升飞机
vt. 由直升机运送
vi.  乘直升飞机"
triangle,n. 三角（形）；三角关系；三角形之物；三人一组
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
invaluable,adj. 无价的；非常贵重的
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
associate with,"v. 与…联系
 结交；联合；交往"
practical,adj. 实际的；实用性的
refrigerator,n. 冰箱，冷藏库
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
extension,n. 延长；延期；扩大；伸展；电话分机
hang on,"v. 坚守；守住；坚持；支撑着
 坚持下去；抓紧不放；等一下"
out of order,"na. 杂乱无章；不合规则；情况反常；有故障
 乱序执行；发生故障；坏了"
get through,"na. 花光；了结；(使)通过(议案)；及格
 到达；度过；接通"
ring back,"v. 回电话
 再打电话；回复电话；回电话给"
ring off,"na. 挂断电话；停止说话；静默
 挂电话；不要挂断电话；挂到电话"
version,n. 版本；译文；倒转术
competence,n. 能力，胜任；权限；作证能力；足以过舒适生活的收入
competent,adj. 胜任的；有能力的；能干的；足够的
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
adaptation,n. 适应；改编；改编本，改写本
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
professor,n. 教授；教师；公开表示信仰的人
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
uncomfortable,adj. 不舒服的；不安的
uncomfortably,adv. 不舒适地；不自在地；令人不快地
troublesome,adj. 麻烦的；讨厌的；使人苦恼的
classify,vt. 分类；分等
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
upper,adj. 上面的，上部的；较高的
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
condemn,vt. 谴责；判刑，定罪；声讨
properly,adv. 适当地；正确地；恰当地
acquaintance,n. 熟人；相识；了解；知道
make one's acquaintance,与某人结识
amazement,n. 惊异；惊愕
in amazement,"na. 骇然
 惊讶地；惊奇地；惊异地"
fortune,"n. 财富；命运；运气
vt. 给予财富
vi. 偶然发生"
generally speaking,"na. 一般地说；一般地说来
 一般说来；一般来说；一般而言"
status,n. 地位；状态；情形；重要身份
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
in terms of,"na. 依…；从…方面；用…特有的字眼
 根据；在...方面；按照"
disapprove,"vi. 不赞成；不喜欢
vt. 不赞成；不同意"
rob,"vt. 抢劫；使…丧失；非法剥夺
vi. 抢劫；掠夺"
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
musical,"adj. 音乐的；悦耳的
n. 音乐片"
believer,n. 信徒；相信...者
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
horrible,adj. 可怕的；极讨厌的
in need of,"adj. 需要
 急需；缺少；有…的需要"
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
archaeology,"n. 考古学
考古学的"
archeology,n. 考古学（等于archaeology）
starvation,n. 饿死；挨饿；绝食
accuracy,n.  精确度，准确性
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
beast,n. 野兽；畜生，人面兽心的人
at most,"na. 至多
 最多；不超过；顶多"
sharpen,"vt. 削尖；磨快；使敏捷；加重
vi. 尖锐；变锋利"
cut up,"na. 割裂；弄伤；歼灭(敌军)；使心痛
 切碎；剪碎；宰后得肉"
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
botany,n. 植物学；地区植物总称
botanical,"n. 植物性药材
adj. 植物学的"
analysis,n. 分析；分解；验定
analyses,n. 分析；解析；分解；梗概（analysis的复数形式）
category,n. 种类，分类； 范畴
significance,n. 意义；重要性；意思
somehow,adv. 以某种方法；莫名其妙地
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
delete,vt. 删除
album,n. 相簿；唱片集；集邮簿；签名纪念册
academy,n. 学院；研究院；学会；专科院校
kindergarten,n. 幼儿园；幼稚园
skateboard,"n. 溜冰板
vi. 用滑板滑行"
spear,"n. 矛，枪
vt. 用矛刺"
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
skilful,adj. 灵巧的; 熟练的; 技术好的
skillful,adj. 熟练的；巧妙的
date back,"un. 过时；始于
 回溯至；追溯到；回溯到"
worship,"n. 崇拜；礼拜；尊敬
vt. 崇拜；尊敬；爱慕
vi. 拜神；做礼拜"
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
approximately,adv. 大约，近似地；近于
reality,n. 现实；实际；真实
in reality,"na. 事实上；实在
 实际上；在现实中；其实"
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
gymnastics,n. 体操；体育；体操运动
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
soul,"n. 灵魂；心灵；精神；鬼魂
adj. 美国黑人文化的"
wisdom,n. 智慧，才智；明智；学识；至理名言
virtue,n. 美德；优点；贞操；功效
noble,"adj. 高尚的；贵族的；惰性的；宏伟的
n. 贵族
vt. 抓住；逮捕"
economics,n. 经济学；国家的经济状况
courageous,adj. 有胆量的，勇敢的
accountant,n. 会计师；会计人员
politician,n. 政治家，政客
salary,"n. 薪水
vt. 给...加薪；给...薪水"
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
latitude,n. 纬度；界限；活动范围
exploration,n. 探测；探究；踏勘
horizon,n.  地平线；视野；眼界；范围
overhead,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板； 经常费用；间接费用；吊脚架空层"
outward,"adj. 向外的；外面的；公开的；外服的；肉体的
adv. 向外（等于outwards）；在外；显而易见地
n. 外表；外面；物质世界"
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
precise,adj. 精确的；明确的；严格的
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
shortcoming,n. 缺点；短处
departure,n. 离开；出发；违背
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
thirst,"n. 渴望；口渴；热望
vi. 渴望；口渴"
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
policy,n. 政策，方针；保险单
tax,"n. 税金；重负
vt. 向…课税；使负重担"
citizen,n. 公民；市民；老百姓
citizenship,n.  公民身份，公民资格；国籍；公民权
tolerate,vt. 忍受；默许；宽恕
tolerance,n. 公差；宽容；容忍；公差
heritage,n. 遗产；传统；继承物；继承权
reservation,n. 预约，预订；保留
highway,n. 公路，大路；捷径
correspond,vi. 符合，一致；相应；通信
correspond with,"v. 相当
 符合；相符合；一致"
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
exotic,adj. 异国的；外来的；异国情调的
container,n. 集装箱；容器
restriction,n. 限制；约束；束缚
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
pyramid,"n. 金字塔；角锥体
vt. 使…渐增；使…上涨；使…成金字塔状
vi. 渐增；上涨；成金字塔状"
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
evolution,n. 演变；进化论；进展
give out,"na. 发表；放出；分发
 发出；用完；用尽"
fit into, （使）适合， （使）合乎…的时间，与…融为一体; 纳入
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
conscience,n. 道德心，良心
worthy,"n. 杰出人物；知名人士
adj. 值得的；有价值的；配得上的，相称的；可尊敬的；应…的"
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
broadcast,"n. 广播；播音；广播节目
adj. 广播的
vt. 播送，播放；（无线电或电视）广播；播撒（种子）
vi. 广播，播送；播放"
generate,vt. 使形成；发生；生殖；产生物理反应
response,n. 响应；反应；回答
have no use for,"na. 不需要；不喜欢；讨厌
 用不着；对……无用；没有必要"
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
partly,adv. 部分地；在一定程度上
murder,"vt. 谋杀，凶杀
n. 谋杀，凶杀
vi. 杀人，犯杀人罪"
sheet,"n. 薄片，纸张；薄板；床单
adj. 片状的
vt. 覆盖；盖上被单；使成大片
vi. 成片流动；大片落下"
spokesman,n. 发言人；代言人
chairman,n. 主席，会长；董事长
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
misleading,"adj. 令人误解的；引入歧途的
v. 给…带错路；把…引入歧途（mislead的ing形式）"
dishonest,adj. 不诚实的；欺诈的
alcoholic,"n. 酒鬼，酗酒者
adj. 酒精的，含酒精的"
tobacco,n. 烟草，烟叶；烟草制品；抽烟
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
immoral,adj. 不道德的；邪恶的；淫荡的
consumer,n. 消费者；用户，顾客
trustworthy,adj. 可靠的；可信赖的
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
endurance,n. 忍耐力；忍耐；持久；耐久
cosy,"n. 保温罩
adj. 舒适的；惬意的"
rotten,"adj. 腐烂的；堕落的；恶臭的；虚弱的；极坏的
adv. 非常"
bless,vt. 祝福；保佑；赞美
seasickness,n. 晕船
urgent,adj. 紧急的；急迫的
cheerful,adj. 快乐的；愉快的；高兴的
persevere,vi. 坚持；不屈不挠；固执己见（在辩论中）
perseverance,"n. 坚持不懈；不屈不挠
n. 耐性；毅力"
give way to,"v. 让步；退却
 让位于；给…让路；给…让路，对…让步"
swear,"n. 宣誓；诅咒
vt. 发誓；咒骂
vi. 发誓，宣誓；诅咒"
gratitude,n. 感谢（的心情）；感激
loyal,"adj. 忠诚的，忠心的；忠贞的
n. 效忠的臣民；忠实信徒"
tactful,adj. 机智的；圆滑的；老练的
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
discourage,vt. 阻止；使气馁
liver,n. 肝脏；生活者，居民
chef,n. 厨师，大师傅
changeable,adj. 无常的；可改变的；易变的；不定的
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
proverb,n. 谚语，格言；众所周知的人或事
respectful,adj. 恭敬的；有礼貌的
disrespectful,adj. 无礼的；失礼的；不尊敬的
shorten,"vt. 缩短；减少；变短
vi. 缩短；变短"
modernize,"vt. 使…现代化
vi. 现代化"
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
hand over,"v. 转交；递给；送交(警察或有关当局)处理；移交(权力等)
 交出；让与；交给"
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
pray,"vi. 祈祷；请；恳求
vt. 祈祷；恳求；央求"
care for,"v. 照顾；关心；喜欢
 照料；关怀；照管"
beyond question,"na. 毫无疑问；一定
 无可争辩；毋庸置疑；难以置疑"
speak out,"na. 大声讲；老老实实讲
 畅所欲言；大胆地说；大胆讲出"
speak out against, 公然反对；发言反对；大声疾呼地反对
give away,"na. 赠送；分发；放弃；露马脚
 泄露；出卖；分送"
greedy,adj. 贪婪的；贪吃的；渴望的
greed,n. 贪婪，贪心
storage,n. 存储；仓库；贮藏所
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
make a name, 蜚声；成名；出名
cheque,n. 支票
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
scold,"n. 责骂；爱责骂的人
vt. 骂；责骂
vi. 责骂；叱责"
drunken,adj. 喝醉的；酒醉的；常醉的
scratch,"n. 擦伤；抓痕；刮擦声；乱写
adj. 打草稿用的；凑合的；碰巧的
vt. 抓；刮；挖出；乱涂
vi. 抓；搔；发刮擦声；勉强糊口；退出比赛"
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
