bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
instance,"n. 实例；情况；建议
vt. 举...为例"
instantaneous,adj. 瞬间的；即时的；猝发的
chalk,"n. 粉笔；白垩；用粉笔划的记号
adj. 用粉笔写的
vt. 用粉笔写；用白垩粉擦；记录；规划
vi. 变成白垩状"
stalk,"n. （植物的）茎，秆；（支持叶子、果实和花的）梗，柄；追踪；高视阔步
vt. 追踪，潜近；高视阔步
vi. 高视阔步地走；潜近，偷偷接近"
stadium,n. 体育场；露天大型运动场
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延"
instal,vt. 安装；使就任；设置
install,vt. 安装；任命；安顿
installation,n. 安装，装置；就职
instalment,n. 分期付款；装设；就职
installment,n. 安装；分期付款；部分；就职
tale,n. 故事；传说；叙述；流言蜚语
stale,"n. 尿
adj. 陈腐的；不新鲜的
vt. 使变旧；变得不新鲜
vi. 变陈旧；撒尿；变得不新鲜"
status,n. 地位；状态；情形；重要身份
statue,"n. 雕像，塑像
vt. 以雕像装饰"
stature,n. 身高，身材；（精神、道德等的）高度
statute,n.  法规；法令；条例
estate,n. 房地产；财产；身份
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
statement,n. 声明；陈述，叙述；报表，清单
statesman,n. 政治家；国务活动家
overstate,vt. 夸张；夸大的叙述
static,"n. 静电；静电干扰
adj. 静态的；静电的；静力的"
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
tactics,n. 策略；战术；用兵学
station,"n. 车站；驻地；地位；身份
vt. 配置；安置；驻扎"
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
stationery,n. 文具；信纸
statistic,"n. 统计数值
adj. 统计的，统计学的"
statistics,n. 统计；统计学； 统计资料
statistical,adj. 统计的；统计学的
statistician,n. 统计学家，统计员
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
understand,"vi. 理解；懂得；熟悉
vt. 理解；懂；获悉；推断；省略"
misunderstand,vt. 误解；误会
standpoint,n. 立场；观点
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
bystander,n. 旁观者；看热闹的人
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
notwithstanding,"adv. 尽管，仍然
prep. 尽管，虽然
conj. 虽然"
constitute,vt. 组成，构成；建立；任命
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
constitutional,"n. 保健散步；保健运动
adj. 宪法的；本质的；体质上的；保健的"
constituent,"n. 成分；选民；委托人
adj. 构成的；选举的"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
institutional,"adj. 制度的；制度上的
学会的；由来已久的； 习以为常的
公共机构的； 慈善机构的"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
substitution,n. 代替； 置换；代替物
superstition,n. 迷信
prostitute,"n. 妓女
adj. 卖淫的；堕落的
vt. 使沦为妓女"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
assistance,n. 援助，帮助；辅助设备
consist,vi. 由…组成；在于；符合
consistent,adj. 始终如一的，一致的；坚持的
consistence,n. 浓度； 稠度；坚固性（等于consistency）
consistency,n.  一致性；稠度；相容性
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
persistence,n. 持续；固执；存留；坚持不懈；毅力
persistent,adj. 固执的，坚持的；持久稳固的
insist,"vi. 坚持，强调
vt. 坚持，强调"
insistence,n. 坚持，强调；坚决主张
insistent,adj. 坚持的；迫切的；显著的；引人注目的；紧急的
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
resistance,n. 阻力；电阻；抵抗；反抗；抵抗力
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
transistor,n. 晶体管（收音机）
advent,n. 到来；出现；基督降临；基督降临节
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
convention,n. 大会； 惯例； 约定； 协定；习俗
conventional,adj. 符合习俗的，传统的；常见的；惯例的
event,n. 事件，大事；项目；结果
eventual,adj. 最后的，结果的；可能的；终于的
eventually,adv. 最后，终于
invent,vt. 发明；创造；虚构
inventory,n. 存货，存货清单；详细目录；财产清册
avenue,n. 大街；林荫大道；(达到某物的)途径，手段，方法，渠道
revenue,n. 税收，国家的收入；收益
vent,"n. （感情的）发泄；出口；通风孔
vt. 发泄感情；放出…；给…开孔
vi. 放出；（通过排泄等）减轻压力"
ventilate,vt. 使通风；给…装通风设备；宣布
ventiduct,n.  通风管
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
advanced,"adj. 先进的；高级的；晚期的；年老的
v. 前进；增加；上涨（advance的过去式和过去分词形式）"
advancement,n. 前进，进步；提升
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
disadvantage,n. 缺点；不利条件；损失
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
vacation,"n. 假期；（房屋）搬出
vi. 休假，度假"
vocation,n. 职业；天职；天命；神召
vacuum,"n. 真空；空间；真空吸尘器
adj. 真空的；利用真空的；产生真空的
vt. 用真空吸尘器清扫"
evacuate,"vt. 疏散，撤退；排泄
vi. 疏散；撤退；排泄"
vaccine,"n. 疫苗；牛痘苗
adj. 疫苗的；牛痘的"
van,"n. 先锋；厢式货车；增值网
vt. 用车搬运"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
vanity,n. 虚荣心；空虚；浮华；无价值的东西
vain,adj. 徒劳的；自负的；无结果的；无用的
vein,"n. 血管；叶脉； 岩脉；纹理；翅脉；性情
vt. 使成脉络；象脉络般分布于"
void,"n. 空虚；空间；空隙
adj. 空的；无效的；无人的
vt. 使无效；排放"
avoid,vt. 避免；避开，躲避；消除
inevitable,adj. 必然的，不可避免的
philosophy,n. 哲学；哲理；人生观
philosopher,n. 哲学家；哲人
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
sophomore,"n. 大学二年级生；（美）有二年经验的人
adj. 二年级的；二年级学生的"
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
locality,n. 所在；位置；地点
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
location,n. 位置（形容词locational）；地点；外景拍摄场地
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
credential,n. 证书；凭据；国书
incredible,adj. 难以置信的，惊人的
criterion,n. （批评判断的）标准；准则；规范；准据
critic,n. 批评家，评论家；爱挑剔的人
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
criticism,n. 批评；考证；苛求
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
criticise,"vt. 批评；吹毛求疵；非难
vi. 批评；吹毛求疵；非难"
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
hypocrisy,n. 虚伪；伪善
hypocrite,n. 伪君子；伪善者
hypocritical,adj. 虚伪的；伪善的
tutor,"n. 导师；家庭教师；助教
vt. 辅导；约束
vi. 当家庭教师；（美）在家庭教师指导下学习"
turtle,n. 龟，甲鱼；海龟
tuition,n. 学费；讲授
intuition,n. 直觉；直觉力；直觉的知识
aspect,n. 方面；方向；形势；外貌
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
expectation,n. 期待；预期；指望
unexpected,adj. 意外的，想不到的
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
suspicion,"n. 怀疑；嫌疑；疑心；一点儿
vt. 怀疑"
suspicious,adj. 可疑的；怀疑的；多疑的
conspicuous,adj. 显著的；显而易见的
perspective,"n. 观点；远景；透视图
adj. 透视的"
retrospect,"n. 回顾，追溯
vt. 回顾；追忆
vi. 回顾，追溯；回想"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
prospective,"n. 预期；展望
adj. 未来的；预期的"
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
respectful,adj. 恭敬的；有礼貌的
respective,adj. 分别的，各自的
irrespective,adj. 无关的；不考虑的；不顾的
spectrum,n. 光谱；频谱；范围；余象
spectacle,n. 景象；场面；奇观；壮观；公开展示；表相，假相 n.（复）眼镜
spectacular,adj. 壮观的，惊人的；公开展示的
spectator,n. 观众；旁观者
speculate,"vi. 推测；投机；思索
vt. 推断"
spy,"n. 间谍；密探
vt. 侦察；发现；暗中监视
vi. 侦察；当间谍"
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
microscope,n. 显微镜
microscopic,adj. 微观的；用显微镜可见的
macroscopic,adj. 宏观的；肉眼可见的
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
skeptical,adj. 怀疑的；怀疑论的，不可知论的
despise,vt. 轻视，鄙视
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
visit,"n. 访问；参观；逗留
vt. 访问；参观；视察
vi. 访问；暂住；闲谈"
visitor,n. 访问者，参观者；视察者；候鸟
video,"n.  视频；录像，录像机；电视
adj. 视频的；录像的；电视的
v. 录制"
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
visionary,"n. 空想家；梦想者；有眼力的人
adj. 梦想的；幻影的"
visual,adj. 视觉的，视力的；栩栩如生的
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
invisible,adj. 无形的，看不见的；无形的；不显眼的，暗藏的
television,n. 电视，电视机；电视业
envisage,vt. 正视，面对；想像
envision,vt. 想象；预想
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
oversee,vt. 监督；审查；俯瞰；偷看到，无意中看到
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
revision,n.  修正；复习；修订本
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
provident,adj. 节俭的；有先见之明的；顾及未来的
provided,"conj. 假如；倘若
v. 提供；给予（provide的过去式）"
providing,"conj. 假如，以…为条件
v. 供给（provide的ing形式）；预备"
prudent,adj. 谨慎的；精明的；节俭的
evident,adj. 明显的；明白的
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
viewpoint,n. 观点，看法；视角
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
conspiracy,n. 阴谋；共谋；阴谋集团
aspire,vi. 渴望；立志；追求
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
inspiration,n. 灵感；鼓舞；吸气；妙计
perspiration,n. 汗水；流汗；努力
vitamin,n.  维生素； 维他命
vital,adj. 至关重要的；生死攸关的；有活力的
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
survival,n. 幸存，残存；幸存者，残存物
survivor,n. 幸存者；生还者；残存物
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
vivid,adj. 生动的；鲜明的；鲜艳的
via,prep. 渠道，通过；经由
viable,adj. 可行的；能养活的；能生育的
viability,n. 生存能力，发育能力；可行性
vigor,n.  活力，精力
vigorous,adj. 有力的；精力充沛的
vegetable,"n. 蔬菜；植物；植物人
adj. 蔬菜的；植物的"
vegetarian,"n. 素食者；食草动物
adj. 素食的"
vegetation,n. 植被；植物，草木；呆板单调的生活
vigil,n. 守夜；监视；不眠；警戒
vigilance,n. 警戒，警觉；警醒症
vigilant,adj. 警惕的；警醒的；注意的；警戒的
victor,n. 胜利者
victim,n. 受害人；牺牲品；牺牲者
vanquish,vt. 征服；击败；克服；抑制（感情等）
convict,"n. 罪犯
vt. 证明…有罪；宣告…有罪"
conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
convince,vt. 说服；使确信，使信服
province,n. 省；领域；职权
invincible,adj. 无敌的；不能征服的
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
mortal,"adj. 凡人的；致死的；终有一死的；不共戴天的
n. 人类，凡人"
immortal,"n. 神仙；不朽人物
adj. 不朽的；神仙的；长生的"
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
gage,"n. 计量器；挑战；抵押品
vt. 以…为担保；以…为赌注"
gauge,"n. 计量器；标准尺寸；容量规格
vt. 测量；估计；给…定规格"
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
