ambiguity,n. 含糊；不明确；暧昧；模棱两可的话
fudge,"n. 软糖；胡说；谎话
vt. 捏造；粗制滥造；回避
vi. 逃避责任；欺骗；蒙混
int. 胡说八道！"
galley,n.  船上的厨房；单层甲板的大帆船；活版盘，长条校样
pellet,"n. 小球； 小子弹（枪用）
vt. 将…制成丸状；用子弹打；用小球扔"
alignment,n. 队列，成直线；校准；结盟
bale,"n. 包；捆；灾祸；不幸
v. 将 ... 打包"
brevity,n. 简洁，简短；短暂，短促
crux,n. 关键；难题；十字架形，坩埚
dab,"n. 轻拍；少量；熟手；比目鱼
v. 轻拍；涂；轻擦；轻敷（过去式dabbed，过去分词dabbed，现在分词dabbing，第三人称单数dabs）"
dissonance,n. 不一致；不调和；不和谐音
doldrums,n. 忧郁；赤道无风带
epitome,n. 缩影；摘要；象征
forte,"n. 长处；特长
adj. 强音的；响的
adv. 响亮地"
incongruity,n. 不协调；不一致；不适宜
mite,n. 极小量；小虫；小孩儿；微小的东西
naught,"n.  零；无价值
adj. 无价值的；无用的"
nil,n. 无，零
pall,"n. 幕；棺罩；遮盖物
vt. 覆盖；使乏味
vi. 走味"
plethora,n. 过多；过剩； 多血症
precedence,n. 优先；居先
profusion,n. 丰富，充沛；慷慨
ramification,n. 衍生物；分枝，分叉；支流
shoal,"n. 浅滩，沙洲；鱼群；潜在危险
vi. 变浅
vt. 使变浅；驶入
adj. 浅的"
acreage,n. 面积，英亩数
antithesis,n. 对立面；对照；对仗
aperture,n. 孔，穴；（照相机，望远镜等的）光圈，孔径；缝隙
apex,n. 顶点；尖端
circumference,n. 圆周；周长；胸围
confluence,n. （河流的）汇合、汇流点；（人或物的）聚集
cordon,"n. 警戒线；绶带；束带层
vt. 用警戒线围住；包围隔离"
crevice,n. 裂缝；裂隙
demarcation,n. 划分；划界；限界
fissure,"n. 裂缝；裂沟（尤指岩石上的）
vt. 裂开；分裂
vi. 裂开；分裂"
gully,"n. 冲沟；水沟
vt. 在…上开沟
vi. 形成沟"
inlet,"n. 入口，进口；插入物；水湾
v. 引进; 嵌入; 插入;"
juxtaposition,n. 并置，并列；毗邻
locus,n.  轨迹；地点，所在地
longitude,n.  经度；经线
precipice,n. 悬崖；绝壁；险境
rut,"n. 发情期；惯例；性冲动；凹槽
vt. 挖槽于；在…形成车辙
vi. 发情"
squalor,n. 肮脏；悲惨；卑劣；道德败坏
stratum,n. （组织的）层； 地层；社会阶层
tether,"n. 范围；系链；拴绳
vt. 用绳或链拴住"
topography,n. 地势；地形学；地志
tropic,"n. 热带；回归线
adj. 热带的"
whirlpool,n. 漩涡，涡流；混乱，纷乱
aggregation,n.  聚合，聚集；聚集体，集合体
chum,"n. 室友；密友
vi. 结为密友"
clairvoyant,"n. 千里眼；有洞察力的人
adj. 透视的；有洞察力的"
constellation,n.  星座；星群；荟萃；兴奋丛
gentile,"n. 非犹太人；异教徒；异邦人
adj. 非犹太人的；异教徒的；非摩门教徒的"
hermit,n. （尤指宗教原因的）隐士；隐居者
manipulator,n.  操纵器，调制器；操作者
recluse,"n. 隐士；隐居者
adj. 隐居的"
stenographer,n. 速记员
anvil,n. 铁砧； 砧骨
barrow,n. 搬运架，手推车；弃矿；古坟
bridle,"n. 缰绳；马勒；系带；约束物
vt. 控制；给装马勒
vi. 昂首表示轻蔑；生气"
bunk,"n. 铺位；床铺；座床
vt. 为…提供铺位；逃课
vi. 睡在铺上；逃跑"
canopy,"n. 天篷；华盖；遮篷；苍穹
vt. 用天蓬遮盖；遮盖"
carousel,"n. 旋转木马
行李传送带"
cistern,n. 水箱；水池；贮水器
confetti,n. （婚礼、狂欢节中抛撒的）五彩纸屑；（旧时狂欢节或庆祝场合抛撒的）糖果
coop,"n. 鸡笼；小屋；捕鱼篓
vi. 值勤警察在警车里打瞌睡
vt. 把…关进笼子里；限制；拘禁"
graphite,"n. 石墨；黑铅
n. 用石墨涂（或掺入等）"
harrow,"vt. 耙地；使苦恼
n. 耙
vi. 被耙松"
kiln,"vt. 烧窑；在干燥炉干燥
n. （砖，石灰等的）窑；炉；干燥炉"
molding,n. 模塑；铸造；装饰用的嵌线
projectile,"adj. 抛射的；抛掷的；供抛射用的；（触角等）能伸出的
n. 射弹；抛射体；自动推进武器"
rotor,n.  转子；水平旋翼；旋转体
rudder,n. 船舵；飞机方向舵
sieve,"vt. 筛；滤
n.  筛子；滤网；不能保守秘密的人
vi. 筛；滤"
spire,"n.  尖顶；尖塔；螺旋
vt. 给…加塔尖
vi. 螺旋形上升"
thimble,n. 顶针；套管；嵌环
trident,
upholstery,n. 家具装饰用品业；垫衬物
vane,n. 叶片； 风向标；风信旗
vat,
adjunct,"n. 附属物；助手；修饰语
adj. 附属的"
ancillary,"n. 助手；附件
adj. 辅助的；副的；从属的"
auxiliary,"n. 助动词；辅助者，辅助物；附属机构
adj. 辅助的；副的；附加的"
diagonal,"n. 对角线；斜线
adj. 斜的；对角线的；斜纹的"
discrete,"n. 分立元件；独立部件
adj. 离散的，不连续的"
divergent,adj. 相异的，分歧的；散开的
incongruous,adj. 不协调的；不一致的；不和谐的
lateral,"adj. 侧面的，横向的
n. 侧部； 边音
vt. 横向传球"
miscellaneous,adj. 混杂的，各种各样的；多方面的，多才多艺的
oblique,"adj. 斜的；不光明正大的
n. 倾斜物
vi. 倾斜"
ostensible,adj. 表面的；假装的
perpendicular,"n. 垂线；垂直的位置
adj. 垂直的，正交的；直立的；陡峭的"
piecemeal,"n. 片；块
adj. 零碎的；逐渐的
vt. 粉碎
adv. 零碎地；逐个地"
plumb,"n. 垂直；铅锤
adj. 垂直的
vt. 使垂直；探测，探索
adv. 恰恰，正；垂直地
vi. 当管子工"
cryptic,adj. 神秘的，含义模糊的； 隐藏的
dialectic,"n. 辩证法；逻辑论证
adj. 辩证的；辩证法的；方言的"
ecclesiastical,adj. 教会的；牧师的；神职的
esoteric,adj. 秘传的；限于圈内人的；难懂的
interdisciplinary,adj. 各学科间的；跨学科的
lucid,adj. 明晰的；透明的；易懂的；头脑清楚的
monastic,"adj. 修道院的；僧尼的；庙宇的
n. 僧侣；修道士"
moot,"adj. 无实际意义的；未决议的
vt. 提出…供讨论
n. 大会；辩论会；假设案件"
omnipotent,adj. 无所不能的；全能的；有无限权力的
omniscient,"adj. 全知的；无所不知的
n. 上帝；无所不知者"
pedantic,adj. 迂腐的；学究式的；卖弄学问的；假装学者的
polyglot,"n. 通晓数种语言的人；用通晓数种语言记载的书
adj. 通数国语言，数国语言的"
ponderous,"adj. 笨重的；沉闷的；呆板的
比较级more ponderous 最高级most ponderous"
schematic,"n. 原理图；图解视图
adj. 图解的；概要的"
semantic,adj. 语义的；语义学的（等于semantical）
abdominal,adj. 腹部的；有腹鳍的
callous,"n. 硬皮；老茧
adj. 无情的；麻木的；硬结的；起老茧的
vt. 使冷酷无情；使硬结；使生茧
vi. 变得冷酷无情；结茧；变硬"
disheveled,"adj. 不整洁的；凌乱的
v. 使（头发等）蓬松（dishevel的过去分词）"
distal,adj.  末梢的，末端的
equestrian,"n. 骑手；骑马者
adj. 马的；骑马的；骑术的"
flabby,adj. 松弛的；软弱的；没气力的；优柔寡断的
gaunt,adj. 憔悴的；荒凉的；枯瘦的
inert,adj.  惰性的；呆滞的；迟缓的；无效的
kinetic,adj.  运动的；活跃的
lethargic,adj. 昏睡的；无生气的
listless,adj. 倦怠的；无精打采的；百无聊赖的
lusty,adj. 精力充沛的；健壮的
pathological,adj. 病理学的；病态的；由疾病引起的（等于pathologic）
prostrate,"adj. 俯卧的；拜倒的；降伏的；沮丧的
vt. 使…屈服；将…弄倒；使…俯伏"
ruddy,"adj. 红的；红润的
vt. 使变红
adv. 极度；非常
vi. 变红"
sedentary,adj. 久坐的；坐惯的；定栖的；静坐的
stocky,adj. 矮壮的；健壮结实的
abhorrent,adj. 可恶的；厌恶的；格格不入的
acrid,adj. 辛辣的；苦的；刻薄的
averse,adj. 反对的；不愿意的
deafening,"n. 隔音
adj. 震耳欲聋的；极喧闹的
v. 使…聋（deafen的ing形式）"
deplorable,adj. 可叹的；凄惨的
derisive,adj. 嘲笑的，嘲弄的；可付之一笑的
derogatory,adj. 贬损的
despondent,adj. 沮丧的；失望的
diffident,adj. 羞怯的；缺乏自信的；谦虚谨慎的
downcast,"n. 倒台；俯视的目光；向下转换
adj. 沮丧的；低垂的；气馁的"
effervescent,adj. 冒泡的，沸腾的；兴奋的
facetious,adj. 诙谐的；爱开玩笑的；滑稽的；(尤指在不合适的时候)开玩笑的
fastidious,adj. 挑剔的；苛求的，难取悦的；（微生物等）需要复杂营养地
ignoble,adj. 不光彩的；卑鄙的；卑贱的
impassive,adj. 冷漠的；无感觉的
inadvertent,adj. 疏忽的；不注意的（副词inadvertently）；无意中做的
insipid,adj. 清淡的；无趣的
jovial,adj. 天性快活的；主神朱庇特的
languid,adj. 倦怠的；呆滞的；软弱无力的
lenient,adj. 宽大的；仁慈的
nonchalant,adj. 冷淡的，漠不关心的
nondescript,"adj. 平凡的，没有特色的；难以区别的；莫可名状的
n. 不属任何类型的人；难以形容的人或物"
pensive,adj. 沉思的，忧郁的；悲伤的，哀愁的
petulant,adj. 暴躁的；任性的；难以取悦的
plaintive,adj. 哀伤的；悲哀的
porous,adj. 多孔渗水的；能渗透的；有气孔的
prosaic,adj. 平凡的，乏味的；散文体的
pungent,adj. 辛辣的；刺激性的；刺鼻的；苦痛的；尖刻的
rapt,adj. 全神贯注的；入迷的
repellent,"n. 防护剂；防水布；排斥力
adj. 排斥的；防水的；弹回的；令人讨厌的"
squeamish,adj. 易呕吐的；易生气的；神经质的；过于拘谨的；洁癖的
vociferous,adj. 大声叫的；喊叫的，喧嚷的
voluptuous,adj. 撩人的；骄奢淫逸的；沉溺酒色的
airtight,adj. 密闭的，密封的；无懈可击的
caustic,"n.  腐蚀剂；苛性钠；焦散曲线
adj.  腐蚀性的； 苛性的；刻薄的；焦散的"
chaste,adj. 纯洁的；贞洁的；有道德的；朴素的
concave,"n. 凹面
adj. 凹的，凹面的
vt. 使成凹形"
derelict,"n. 遗弃物；玩忽职守者；被遗弃的人
adj. 玩忽职守的；无主的；被抛弃了的"
earthen,adj. 土制的；陶制的；地球上的
fluffy,adj. 蓬松的；松软的；毛茸茸的；无内容的
furtive,adj. 鬼鬼祟祟的，秘密的
grubby,adj. 肮脏的；生蛆的；卑鄙的；矮小的
hackneyed,"adj. 陈腐的；平庸的
v. 出租（马匹、马车等）；役使（hackney的过去式）"
homogeneous,adj. 均匀的； 齐次的；同种的；同类的，同质的
humdrum,"n. 单调；乏味
adj. 单调的；无聊的
vi. 单调乏味地进行"
immaculate,adj. 完美的；洁净的；无瑕疵的
impervious,adj. 不受影响的，无动于衷的；不能渗透的
incandescent,adj. 辉耀的；炽热的；发白热光的
inscrutable,adj. 神秘的；不可理解的；不能预测的；不可思议的
intangible,adj. 无形的，触摸不到的；难以理解的
legible,adj. 清晰的；易读的；易辨认的
lithe,adj. 轻盈的（等于lithesome）；柔软的；易弯曲的
menial,"adj. 卑微的；仆人的；适合仆人做的
n. 仆人；住家佣工；下贱的人"
ostentatious,adj. 招摇的；卖弄的；夸耀的；铺张的；惹人注目的
peppery,adj. 辛辣的；胡椒味的；暴躁的
privy,"n. 有利害关系的人；厕所
adj. 私人的；不公开的；秘密参与的"
promiscuous,"adj. 混杂的；杂乱的
adv. 偶然地；胡乱地"
replete,"n.  贮蜜蚁
adj. 充满的；装满的"
salient,"n. 凸角；突出部分
adj. 显著的；突出的；跳跃的"
sodden,"adj. 浸透的；浑身湿透的；浸过酒的
vt. 使浸透；使迷糊"
soggy,adj. 浸水的；透湿的；沉闷的
spurious,adj. 假的；伪造的；欺骗的
stealthy,adj. 鬼鬼祟祟的；秘密的
stuffy,adj. 闷热的；古板的；不通气的
threadbare,adj. 磨破的；衣衫褴褛的；乏味的；俗套的
trite,adj. 陈腐的；平庸的；老一套的
ungainly,"adj. 笨拙的；不雅的
adv. 笨拙地；不雅地"
unkempt,adj. 蓬乱的，不整洁的；（言语等）粗野的
unscathed,adj. 未受伤的
urbane,adj. 彬彬有礼的，温文尔雅的；都市化的
venomous,adj. 有毒的；恶毒的；分泌毒液的；怨恨的
antecedent,"n. 前情；先行词；祖先
adj. 先行的；前驱的；先前的"
binary,adj.  二进制的；二元的，二态的
binocular,"n. 双筒望远镜
adj.  双眼的；双目并用的"
embryonic,adj.  胚胎的；似胚胎的
ephemeral,"adj. 短暂的；朝生暮死的
n. 只生存一天的事物"
exorbitant,adj. （要价等）过高的；（性格等）过分的；不在法律范围之内的
extemporaneous,adj. 即席的，临时的；无准备的；不用讲稿的；善于即席讲话的
fitful,adj. 一阵阵的；断断续续的；不规则的；间歇的
immemorial,adj. 远古的，古老的；无法追忆的
impetuous,adj. 冲动的；鲁莽的；猛烈的
irrevocable,adj. 不可改变的；不能取消的；不能挽回的
posthumous,adj. 死后的；遗腹的；作者死后出版的
primordial,adj. 原始的；根本的；原生的
rudimentary,adj. 基本的；初步的；退化的；残遗的；未发展的
tardy,"n. 迟到
adj. 缓慢的，迟缓的；迟到的"
transitory,adj. 短暂的，暂时的；瞬息的
agile,adj. 敏捷的；机敏的；活泼的
amenable,adj. 有责任的：顺从的，服从的；有义务的；经得起检验的
blithe,adj. 愉快的；快乐无忧的
circumspect,adj. 细心的，周到的；慎重的
compliant,adj. 顺从的；服从的；应允的
demure,adj. 端庄的；娴静的；严肃的；假装正直的
discerning,"adj. 有辨识能力的；眼光敏锐的
v. 辨别（discern的ing形式）"
fussy,adj. 爱挑剔的，难取悦的；易烦恼的
gullible,adj. 易受骗的；轻信的
impertinent,adj. 不恰当的；无礼的；粗鲁的；不相干的
incredulous,adj. 怀疑的；不轻信的
indolent,adj. 懒惰的；无痛的
infallible,"n. 永远正确的人；绝无谬误的事物
adj. 绝对可靠的；绝无错误的"
inquisitive,adj. 好奇的；好问的，爱打听的
insolent,adj. 无礼的；傲慢的；粗野的；无耻的
insular,adj. 孤立的；与世隔绝的；海岛的；岛民的
judicious,adj. 明智的；头脑精明的；判断正确的
obtrusive,adj. 突出的；强迫人的；冒失的
overbearing,"adj. 傲慢的；压倒一切的
v. 压住；否定；专横地对待；繁殖过度（overbear的ing形式）"
pert,adj. 无礼的；鲁莽的；大胆的
pompous,adj. 自大的；浮夸的；华而不实的；爱炫耀的
prim,"adj. 拘谨的；整洁的；呆板的
vt. 使显得一本正经；把…打扮得整整齐齐
vi. 显得一本正经"
sagacious,adj. 睿智的，聪慧的；有远见的，聪慧的
servile,adj. 奴隶的；奴性的；卑屈的；卑屈的
slovenly,"adj. 懒散的；不整洁的；马虎的
adv. 邋遢地；马虎地；不整洁地"
spruce,"n. 云杉
vt. 打扮整齐
adj. 整洁的
vi. 打扮整齐；使显干净"
thrifty,adj. 节约的；茂盛的；成功的
truant,"n. 旷课者；懒惰的人
adj. 旷课的；偷懒的
vi. 逃学；偷懒，逃避责任"
uncouth,adj. 笨拙的；粗野的；不舒适的；陌生的
valiant,"n. 勇士；勇敢的人
adj. 英勇的，勇敢的"
virile,adj. 男性的；有男子气概的；刚健的
vivacious,adj. 活泼的；快活的；有生气的
abject,adj. 卑鄙的；可怜的；不幸的；（境况）凄惨的，绝望的
agrarian,adj. 土地的；耕地的；有关土地的
egalitarian,"n. 平等主义；平等主义者
adj. 平等主义的"
expedient,"n. 权宜之计；应急手段
adj. 权宜的；方便的；有利的"
ineligible,"n. 无被选资格的人
adj. 不合格的；不适任的；无被选资格的"
onerous,adj. 繁重的；麻烦的；负有义务的；负有法律责任的
prodigal,"n. 浪子；挥霍者
adj. 挥霍的；十分慷慨的"
untenable,adj. （论据等）站不住脚的；不能维持的；不能租赁的；难以防守的
vested,"v. （财产、权利等）授予（vest的过去式和过去分词）；使穿衣服
adj. 既定的；穿着衣服（尤指祭服）的；（美）带背心的（指西服套装）"
arable,"n. 耕地
adj. 适于耕种的；可开垦的"
bovine,"n. 牛科动物
adj. 牛的；似牛的；迟钝的"
succulent,"n. 肉质植物；多汁植物
adj. 多汁的；多水分的；多汁性的"
sultry,adj. 闷热的；狂暴的；淫荡的
cursory,adj. 粗略的；草率的；匆忙的
foolproof,"n. 极简单；安全自锁装置
adj. 十分简单的；十分安全的；不会错的"
gratuitous,adj. 无理由的，无端的；免费的
illustrious,adj. 著名的，杰出的；辉煌的
immaterial,adj. 非物质的；无形的；不重要的；非实质的
insurmountable,adj. 不能克服的；不能超越的；难以对付的
irredeemable,adj. 不能赎回的； 不能兑现的；不可救药的
laudable,adj. 值得赞赏的
omnivorous,adj. 杂食的；什么都读的；无所不吃的
optimal,adj. 最佳的；最理想的
optimum,"adj. 最适宜的
n. 最佳效果；最适宜条件"
perfunctory,adj. 敷衍的；马虎的；得过且过的
plenary,"n. 全体会议
adj. 充分的；全体出席的"
residual,"n. 剩余；残渣
adj. 剩余的；残留的"
specious,adj. 似是而非的；外表美观的；华而不实的；徒有其表的
stupendous,adj. 惊人的；巨大的
succinct,adj. 简洁的；简明的；紧身的
undue,adj. 过度的，过分的；不适当的；未到期的
unequivocal,adj. 明确的；不含糊的
unscrupulous,adj. 肆无忌惮的；寡廉鲜耻的；不讲道德的
vehement,adj. 激烈的，猛烈的；热烈的
wanton,"n. 荡妇；水性杨花的女人
adj. 嬉戏的；繁茂的；荒唐的；无节制的；放纵的
vt. 挥霍
vi. 放肆；嬉戏；闲荡"
wont,"n. 习惯；惯常活动
adj. 习惯于
vi. 习惯，惯常
vt. 使习惯于"
abreast,"adj. 并排的；肩并肩的
adv. 并肩地；并列"
afield,adv. 在战场上；去野外；在远处；远离著
aft,"n. 自动存款取款
adv.  在船尾；近船尾"
astern,adv. 向船尾；在船尾；向后
asunder,"adj. 分成碎片的；分离的
adv. 化为碎片地；分离地"
