actual,adj. 真实的，实际的；现行的，目前的
analytic,adj. 分析的；解析的；善于分析的
artistic,adj. 艺术的；风雅的；有美感的
authentic,adj. 真正的，真实的；可信的
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
basic,"n. 基础；要素
adj. 基本的；基础的"
Catholic,
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
chronic,adj. 慢性的；长期的；习惯性的
comic,"n. 连环漫画；喜剧演员；滑稽人物
adj. 喜剧的；滑稽的；有趣的"
cosmic,adj. 宇宙的（等于cosmical）
democratic,adj. 民主的；民主政治的；大众的
diplomatic,adj. 外交的；外交上的；老练的
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
eccentric,"n. 古怪的人
adj. 古怪的，反常的"
economic,adj. 经济的，经济上的；经济学的
elastic,"n. 松紧带；橡皮圈
adj. 有弹性的；灵活的；易伸缩的"
electric,"n. 电；电气车辆；带电体
adj. 电的；电动的；发电的；导电的；令人震惊的"
electronic,"adj. 电子的
n. 电子电路；电子器件"
energetic,adj. 精力充沛的；积极的；有力的
enthusiastic,adj. 热情的；热心的；狂热的
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
ethnic,adj. 种族的；人种的
exotic,adj. 异国的；外来的；异国情调的
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
genetic,adj. 遗传的；基因的；起源的
gigantic,adj. 巨大的，庞大的
graphic,adj. 形象的；图表的；绘画似的
heroic,"n. 史诗；英勇行为
adj. 英雄的；英勇的；记叙英雄及其事迹的；夸张的"
historic,adj. 有历史意义的；历史上著名的
intrinsic,adj. 本质的，固有的
linguistic,adj. 语言的；语言学的
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的"
magnetic,adj. 地磁的；有磁性的；有吸引力的
metric,"adj. 公制的；米制的；公尺的
n. 度量标准"
optimistic,adj. 乐观的；乐观主义的
organic,adj.  有机的；组织的；器官的；根本的
pathetic,adj. 可怜的，悲哀的；感伤的；乏味的
patriotic,adj. 爱国的
pessimistic,adj. 悲观的，厌世的；悲观主义的
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
public,"n. 公众；社会；公共场所
adj. 公众的；政府的；公用的；公立的"
realistic,adj. 现实的；现实主义的；逼真的；实在论的
romantic,"n. 浪漫的人
adj. 浪漫的；多情的；空想的
vt. 使…浪漫化"
sarcastic,adj. 挖苦的；尖刻的，辛辣的
scientific,adj. 科学的，系统的
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
static,"n. 静电；静电干扰
adj. 静态的；静电的；静力的"
supersonic,"n. 超音速；超声波
adj. 超音速的；超声波的"
sympathetic,"n. 交感神经；容易感受的人
adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的"
synthetic,"n. 合成物
adj. 综合的；合成的，人造的"
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
terrific,adj. 极好的；极其的，非常的；可怕的
tragic,adj. 悲剧的；悲痛的，不幸的
toxic,adj. 有毒的；中毒的
chemical,"n. 化学制品，化学药品
adj. 化学的"
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
economical,adj. 经济的；节约的；合算的
electrical,adj. 有关电的；电气科学的
empirical,adj. 经验主义的，完全根据经验的；实证的
historical,adj. 历史的；史学的；基于史实的
hysterical,adj. 歇斯底里的；异常兴奋的
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
logical,adj. 合逻辑的，合理的；逻辑学的
mathematical,adj. 数学的，数学上的；精确的
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
medical,"adj. 医学的；药的；内科的
n. 医生；体格检查"
musical,"adj. 音乐的；悦耳的
n. 音乐片"
numerical,adj. 数值的；数字的；用数字表示的（等于numeric）
optical,adj. 光学的；眼睛的，视觉的
periodical,"n. 期刊；杂志
adj.  周期的；定期的"
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
physiological,adj. 生理学的，生理的
political,adj. 政治的；党派的
practical,adj. 实际的；实用性的
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
skeptical,adj. 怀疑的；怀疑论的，不可知论的
statistical,adj. 统计的；统计学的
technical,adj. 工艺的，科技的；技术上的；专门的
theoretical,adj. 理论的；理论上的；假设的；推理的
tropical,adj. 热带的；热情的；酷热的
typical,adj. 典型的；特有的；象征性的
vertical,"n. 垂直线，垂直面
adj. 垂直的，直立的； 头顶的，顶点的"
arithmetic,n. 算术，算法
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
clinic,n. 临床；诊所
fabric,n. 织物；布；组织；构造；建筑物
garlic,n. 大蒜；蒜头
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
mechanic,"n. 技工，机修工
adj. 手工的"
mosaic,"adj. 摩西的；拼成的；嵌花式的
n. 马赛克；镶嵌；镶嵌细工"
music,n. 音乐，乐曲
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
picnic,"n. 野餐
vi. 去野餐"
republic,n. 共和国；共和政体
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
topic,n. 主题（等于theme）；题目；一般规则；总论
tropic,"n. 热带；回归线
adj. 热带的"
girlish,adj. 少女的；适于女子的；少女似的
childish,adj. 幼稚的，孩子气的
foolish,adj. 愚蠢的；傻的
selfish,adj. 自私的；利己主义的
abolish,vt. 废除，废止；取消，革除
accomplish,vt. 完成；实现；达到
astonish,vt. 使惊讶
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
establish,"vi. 植物定植
vt. 建立；创办；安置"
extinguish,vt. 熄灭；压制；偿清
finish,"n. 结束；完美；回味（葡萄酒）
vt. 完成；结束；用完
vi. 结束，终止；终结"
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
furnish,vt. 提供；供应；装备
nourish,vt. 滋养；怀有；使健壮
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
polish,
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
punish,"vt. 惩罚；严厉对待；贪婪地吃喝
vi. 惩罚"
relish,"n. 滋味；风味；食欲；开胃小菜；含义；调味品
vt. 盼望;期待;享受; 品味；喜爱；给…加佐料
vi. 有特定意味；味道可口"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
anguish,"n. 痛苦；苦恼
vt. 使极度痛苦
vi. 感到极度的痛苦"
dish,"n. 盘；餐具；一盘食物；外貌有吸引力的人
vt. 盛于碟盘中；分发；使某人的希望破灭；说（某人）的闲话
vi. 成碟状；闲谈"
rubbish,"n. 垃圾，废物；废话
adj. 毫无价值的"
creative,adj. 创造性的
supportive,adj. 支持的；支援的；赞助的
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
adjective,"n. 形容词
adj. 形容词的；从属的"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
alive,adj. 活着的；活泼的；有生气的
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
attractive,adj. 吸引人的；有魅力的；引人注目的
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
cognitive,adj. 认知的，认识的
cohesive,adj. 凝聚的；有结合力的；紧密结合的；有粘着力的
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
comparative,"n. 比较级；对手
adj. 比较的；相当的"
competitive,adj. 竞争的；比赛的；求胜心切的
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
consecutive,adj. 连贯的；连续不断的
conservative,
cooperative,"n. 合作社
adj. 合作的；合作社的"
decisive,adj. 决定性的；果断的，坚定的
destructive,adj. 破坏的；毁灭性的；有害的，消极的
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
excessive,adj. 过多的，极度的；过分的
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
expensive,adj. 昂贵的；花钱的
explosive,"n. 炸药；爆炸物
adj. 爆炸的；爆炸性的；爆发性的"
extensive,adj. 广泛的；大量的；广阔的
five,"num. 五，五个
n. 五，五个；五美元钞票
adj. 五的；五个的"
imaginative,adj. 富于想象的；有创造力的
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
inclusive,adj. 包括的，包含的
indicative,"n. 陈述语气；陈述语气的动词形式
adj. 象征的；指示的；表示…的"
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
irrespective,adj. 无关的；不考虑的；不顾的
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存"
locomotive,"adj. 火车头的；运动的；移动的
n. 机车；火车头"
massive,adj. 大量的；巨大的，厚重的；魁伟的
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
naive,"adj. 天真的,幼稚的"
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
prospective,"n. 预期；展望
adj. 未来的；预期的"
qualitative,adj. 定性的；质的，性质上的
quantitative,adj. 定量的；量的，数量的
radioactive,adj.  放射性的；有辐射的
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
respective,adj. 分别的，各自的
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
subjective,adj. 主观的；个人的；自觉的
successive,adj. 连续的；继承的；依次的；接替的
tentative,"n. 假设，试验
adj. 试验性的，暂定的；踌躇的"
contrive,"vt. 设计；发明；图谋
vi. 谋划；设法做到"
deprive,vt. 使丧失，剥夺
strive,vi. 努力；奋斗；抗争
thrive,vi. 繁荣，兴旺；茁壮成长
detective,"n. 侦探
adj. 侦探的"
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
perspective,"n. 观点；远景；透视图
adj. 透视的"
hopeless,adj. 绝望的；不可救药的
painless,adj. 无痛的；不痛的
reckless,adj. 鲁莽的，不顾后果的；粗心大意的
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
restless,adj. 焦躁不安的；不安宁的；得不到满足的
ruthless,adj. 无情的，残忍的
childlike,adj. 天真烂漫的；孩子似的
ladylike,adj. 如淑女的；娴淑高贵的
manly,"adj. 男子气概的；强壮的；适于男人的
adv. 雄赳赳地"
costly,adj. 昂贵的；代价高的
daily,"n. 日报；朝来夜去的女佣
adj. 日常的；每日的
adv. 日常地；每日；天天"
deadly,"adj. 致命的；非常的；死一般的
adv. 非常；如死一般地"
elderly,adj. 上了年纪的；过了中年的；稍老的
fly,"n. 飞行；苍蝇；两翼昆虫
adj. 敏捷的
vi. 飞；驾驶飞机；飘扬
vt. 飞行；飞越；使飘扬"
friendly,"adj. 友好的；亲切的；支持的；融洽的，和睦的
adv. 友善地；温和地"
holy,"n. 神圣的东西
adj. 圣洁的，神圣的；至善的
（俚）太棒了"
jolly,"adj. 愉快的；欢乐的；宜人的
adv. 很；非常
vt. （口）用好话劝某人做…；（口）用好话使高兴
vi. （口）开玩笑"
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
lively,adj. 活泼的；生动的；真实的；生气勃勃的
lonely,"adj. 寂寞的；偏僻的
n. 孤独者"
lovely,"adj. 可爱的；令人愉快的；爱恋的；秀丽的，优美的
n. 美女；可爱的东西"
monthly,"adj. 每月的，每月一次的；有效期为一个月的
n. 月刊
adv. 每月，每月一次"
orderly,"adj. 有秩序的；整齐的；值班的
n. 勤务兵；传令兵；护理员
adv. 顺序地；依次地"
quarterly,"n. 季刊
adj. 季度的，按季度的；一年四次的
adv. 按季度， 一季一次地；纵横四分地"
silly,"n. 傻瓜
adj. 愚蠢的；不明事理的；没头脑的"
sly,adj. 狡猾的；淘气的；诡密的
timely,"adj. 及时的；适时的
adv. 及时地；早"
ugly,adj. 丑陋的；邪恶的；令人厌恶的
