quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
spring,"n. 春天；弹簧；泉水；活力；跳跃
adj. 春天的
vt. 使跳起；使爆炸；突然提出；使弹开
vi. 生长；涌出；跃出；裂开"
summer,"n. 夏季；全盛时期
adj. 夏季的
vi. 避暑；过夏天"
winter,"n. 冬季；年岁；萧条期
adj. 冬天的；越冬的
vi. 过冬"
January,n. 一月
February,n. 二月
March,
April,n. 四月
May,
June,n. 六月；琼（人名，来源于拉丁语，含义是“年轻气盛的六月”）
July,n. 七月
August,
September,n. 九月
October,n.  十月
November,n. 十一月
December,n. 十二月
album,n. 相簿；唱片集；集邮簿；签名纪念册
build,"n. 构造；体形；体格
vi. 建筑；建造
vt. 建立；建筑"
buy,"n. 购买，买卖；所购的物品
vi. 买，采购
vt. 购买；获得；贿赂"
camera,n. 照相机；摄影机
chess,n. 国际象棋，西洋棋
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
cooking,"n. 烹饪
adj. 烹调的
v. 烹调；筹划（cook的ing形式）"
doll,"n. 洋娃娃；玩偶；无头脑的美丽女人
vt. 把…打扮得花枝招展"
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
fan,"n. 迷；风扇；爱好者
vt. 煽动；刺激；吹拂
vi. 成扇形散开；飘动"
go camping, 去野营；去露营；宿营
handwriting,"n. 笔迹；书法；书写；手稿
v. 亲手写（handwrite的ing形式）"
horse-riding,骑马
interested,"v. 使…感兴趣（interest的过去分词）
adj. 感兴趣的；有权益的；有成见的"
knitting,"n. 针织；编织物； 骨愈合
v. 编织；皱眉（knit的ing形式）"
painting,"n. 绘画；油画；着色
v. 绘画（paint的ing形式）；涂色于"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
photography,n. 摄影；摄影术
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
sewing,"n. 缝纫；缝纫业
v. 缝（sew的ing形式）"
singing,"n. 歌唱；歌声；耳鸣；振鸣
v. 唱歌（sing的ing形式）
adj. 唱歌的；音乐般的"
stamp,"n. 邮票；印记；标志；跺脚
vt. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏
vi. 跺脚；捣碎；毁掉"
toy,"n. 玩具；小装饰品；不值钱的东西
adj. 作为玩具的；玩物似的
vi. 玩弄；调情；随随便便地对待"
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
admission,n. 承认；入场费；进入许可；坦白；录用
audience,n. 观众；听众；读者；接见；正式会见；拜会
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
box office,"n. 票房；售票处
 票房收入；票房作战；电影票房"
celebrity,n. 名人；名声
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
clap,"n. 鼓掌；拍手声
vt. 拍手，鼓掌；轻轻拍打某人
vi. 鼓掌，拍手；啪地关上"
classical music,"na. 古典音乐
 古典乐；经典音乐；古典主义音乐"
pop music,"n. 流行乐曲
 流行音乐；流行歌曲；通俗音乐"
rock music,"un. 摇滚音乐
 摇滚乐；年轻人比较喜欢摇滚乐；英文摇滚乐"
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
drum,"n. 鼓；鼓声
vi. 击鼓；大力争取
vt. 击鼓；大力争取"
film,"n. 电影；薄膜；胶卷；轻烟
vt. 在…上覆以薄膜；把…拍成电影
vi. 摄制电影；生薄膜；变得朦胧"
film maker,"n. 电影导演；电影制作人
 制片人；电影摄制者；电影人"
film star,"n. 电影明星
 影星；电影明星苏州年会片；黄色片在线观看电影明星"
flute,"n. 长笛；(刀具的)出屑槽
vt. 用长笛吹奏
vi. 吹长笛"
folk music,"n. 民间音乐
 民俗音乐；民族音乐；民乐"
guitar,"n. 吉他，六弦琴
vi. 弹吉他"
guitarist,n. 吉他弹奏者
hero,n. 英雄；男主角，男主人公
heroine,n. 女主角；女英雄；女杰出人物
hip hop,"n. 嘻哈音乐（由美国黑人兴起，包括说唱和电子乐器演奏）
 街舞；嘻哈宝典；嘻哈文化"
instrument,n. 仪器；工具；乐器；手段；器械
interval,n. 间隔；间距；幕间休息
jazz music,"na. 爵士音乐
 爵士乐；爵士演奏；风靡世界的爵士音乐"
MP3 player,MP3 播放器
musician,n. 音乐家
opera,n. 歌剧；歌剧院；歌剧团
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
performance,n. 性能；绩效；表演；执行；表现
performer,n. 演出者；执行者；演奏者
piano,n. 钢琴
play,"n. 游戏；比赛；剧本
vt. 游戏；扮演；演奏；播放；同…比赛
vi. 演奏；玩耍；上演；参加比赛"
pop music,"n. 流行乐曲
 流行音乐；流行歌曲；通俗音乐"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
production,n. 成果；产品；生产；作品
recording,"n. 录音；唱片
v. 录音；记录；录像（record的ing形式）
adj. 记录的；记录用的"
role,n. 角色；任务
scene,n. 场面；情景；景象；事件
scenery,n. 风景；景色；舞台布景
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
song,n. 歌曲；歌唱；诗歌；鸣声
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
star,"n. 星，恒星；明星；星形物
adj. 明星的，主角的；星形的
vt. 用星号标于；由…主演，由…担任主角
vi. 担任主角"
studio,n. 工作室； 演播室；画室；电影制片厂
ticket,vt. 加标签于；指派；对…开出交通违规罚单
trumpet,"n. 喇叭；喇叭声
vt. 吹喇叭；吹嘘
vi. 吹喇叭；发出喇叭般的声音"
violin,n. 小提琴；小提琴手
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
bay,"n. 海湾；狗吠声
vt. 向…吠叫
vi. 吠叫；大声叫嚷"
beautiful,"adj. 美丽的
出色地
出色的
迷人的
迷人地"
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
cliff,n. 悬崖；绝壁
coast,"n. 海岸；滑坡
vt. 沿…岸航行
vi. 滑行；沿岸航行"
country,"n. 国家，国土；国民；乡下，农村；乡村；故乡
adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的"
crop,"n. 产量；农作物；庄稼；平头
vt. 种植；收割；修剪；剪短
vi. 收获"
depth,n.  深度；深奥
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
farmland,n. 农田
fast-flowing,"水流湍急的
快速流动的"
forest,"n. 森林
vt. 植树于，使成为森林"
island,"n. 岛；岛屿；安全岛；岛状物
adj. 岛的
vt. 孤立；使成岛状"
mountain,n. 山；山脉
ocean,n. 海洋；大量；广阔
population,n. 人口； 种群， 群体；全体居民
port,"n. 港口，口岸；（计算机的）端口；左舷；舱门
vt. 持（枪）；左转舵
vi. 转向左舷"
region,n. 地区；范围；部位
river,n. 河，江
rocky,adj. 岩石的，多岩石的；坚如岩石的；摇晃的；头晕目眩的
sandy,adj. 沙地的；多沙的；含沙的
scenery,n. 风景；景色；舞台布景
sea,n. 海；海洋；许多；大量
soil,"n. 土地；土壤；国家；粪便；务农；温床
vt. 弄脏；污辱
vi. 变脏"
stone,"n. 石头；结石； 宝石
adj. 石的，石制的
vt. 向扔石块；用石头铺"
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
valley,n. 山谷；流域；溪谷
waterfall,n. 瀑布；瀑布似的东西
cartoon,"n. 卡通片， 动画片；连环漫画
vt. 为…画漫画
vi. 画漫画"
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
chat show,"n. （电视或电台的）访谈节目
 谈话节目；电视采访节目；现场访问节目"
current affairs,"n. 时事
 时政；时事新闻；时事政治"
discussion,n. 讨论，议论
documentary,"n. 纪录片
adj. 记录的；文件的；记实的"
presenter,n. 提出者；推荐者；赠送者；任命者；主持人
programme,"n. 计划，规划；节目；程序
vt. 规划；拟…计划
vi. 编程序；制作节目"
remote control,"n. 遥控；遥控器
 远程控制；摇控器；遥控装置"
series,n. 系列，连续； 串联；级数；丛书
sitcom,abbr. 情景喜剧（situation comedy）
soap opera,"n. 肥皂剧
 连续剧；电视剧；泡沫剧"
talk show,"n. 脱口秀
 谈话节目；访谈节目；现场访谈"
TV screen,
TV set,"n. 电视机
 电视机整机；寸电视机；电视柜"
weather forecast,"n. 天气预报
 天气预测；气象预报；天气预告"
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
boy,n. 男孩；男人
call in,"na. 招；叫进；引入；调入
 召来；来访；收回"
careful,adj. 仔细的，小心的
careless,adj. 粗心的；无忧无虑的；淡漠的
chat,"n. 聊天；闲谈
vt. 与…搭讪；与…攀谈
vi. 聊天；闲谈"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
confident,adj. 自信的；确信的
easy-going,adj. 随和的，容易相处的
e-friend, = e-pal
encourage,vt. 鼓励，怂恿；激励；支持
fall out with, 争吵；与…争吵；与…吵架
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
friendship,n. 友谊；友爱；友善
get on with,"na. 同“get along ”
 继续干；与…相处；继续做"
girl,"n. 女孩；姑娘，未婚女子；女职员，女演员；（男人的）女朋友
n. （捷）吉尔"
girlfriend,"n. 女朋友
女伴"
guy,"n. 男人，家伙
vt. 嘲弄，取笑
vi. 逃跑"
help,"n. 帮助；补救办法；帮忙者；有益的东西
vt. 帮助；促进；治疗；补救
vi. 帮助；有用；招待"
honest,adj. 诚实的，实在的；可靠的；坦率的
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
laugh,"n. 笑；引人发笑的事或人
vi. 笑
vt. 以笑表示；使…笑得"
lie,"vi. 躺；说谎；位于；展现
vt. 谎骗
n. 谎言；位置"
make up,"na. 弥补；起草；定；签订
 组成；化妆；编造"
name,"n. 名称，名字；姓名；名誉
vt. 命名，任命；指定；称呼；提名；叫出
adj. 姓名的；据以取名的"
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
nice,adj. 精密的；美好的；细微的；和蔼的
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
secret,"n. 秘密；秘诀；机密
adj. 秘密的；机密的"
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
talk,"n. 谈话；演讲；空谈
vi. 谈话；说闲话
vt. 说；谈话；讨论"
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
agree,"vi. vi. 同意，意见一致；约定，商定
vt. 同意，赞成；承认；约定，商定"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
decide,"vi. 决定，下决心
vt. 决定；解决；判决"
disagree,vi. 不同意；不一致；争执；不适宜
encourage,vt. 鼓励，怂恿；激励；支持
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
warn,"vt. 警告，提醒；通知
vi. 发出警告，发出预告"
add,"n. 加法，加法运算
vi. 加；增加；加起来；做加法
vt. 增加，添加；补充说；计算…总和"
bake,"n. 烤；烘烤食品
vi. 烘面包；被烤干；受热
vt. 烤，烘焙"
barbecue,"n. 烤肉；吃烤肉的野宴
vt. 烧烤；烤肉"
bitter,"n. 苦味；苦啤酒
adj. 苦的；痛苦的；尖刻的；充满仇恨的
vt. 使变苦
adv. 激烈地；严寒刺骨地"
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂"
boiled,"v. 煮（boil的过去式和过去分词）
adj. 煮沸的，煮熟的"
burn,"n. 灼伤，烧伤；烙印
vt. 燃烧；烧毁，灼伤；激起…的愤怒
vi. 燃烧；烧毁；发热"
cook,"n. 厨师，厨子
vt. 烹调，煮
vi. 烹调，做菜"
cut,"n. 伤口；切口；削减；（服装等的）式样；削球；切入
adj. 割下的；雕过的；缩减的
vt.  切割；削减；缩短；刺痛
vi.  切割；相交；切牌；停拍；不出席"
delicious,adj. 美味的；可口的
flavour,"n. 香味；滋味
vt. 给……调味；给……增添风趣"
fried,"adj. 油炸的，油煎的；喝醉了的
v. 油炸（fry的过去分词）"
fry,"n. 鱼苗；油炸食物
vt. 油炸；油煎
vi. 油炸；油煎"
garlic,n. 大蒜；蒜头
grill,"n. 烤架，铁格子；烤肉
vi. 拷问，严加盘问
vt. 烧，烤；"
herb,n. 香草，药草
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
instructions,n. 指令；说明（instruction的复数形式）
mix,"vt. 配制；混淆；使混和；使结交
vi. 参与；相混合；交往
n. 混合；混合物；混乱"
oil,"n. 油；石油；油画颜料
vt. 加油；涂油；使融化
vi. 融化；加燃油"
oven,n. 炉，灶；烤炉，烤箱
pan,"n. 平底锅；盘状的器皿；淘盘子，金盘，秤盘
vi. 淘金；在淘洗中收获金子
vt. 淘金；在浅锅中烹调（食物）；严厉的批评"
pepper,"n. 胡椒；辣椒；胡椒粉
vt. 加胡椒粉于；使布满"
pot,"n. 壶；盆；罐
vt. 把…装罐；射击；节略
vi. 随手射击"
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
powder,"n. 粉；粉末； 火药；尘土
vt. 使成粉末；撒粉；搽粉于
vi. 搽粉；变成粉末"
raw,"n. 擦伤处
adj. 生的；未加工的；阴冷的；刺痛的；擦掉皮的；无经验的；（在艺术等方面）不成熟的
vt. 擦伤"
recipe,n. 食谱； 处方；秘诀；烹饪法
roast,"n. 烤肉；烘烤
adj. 烘烤的；烤过的
vt. 烤，焙；烘，烘烤；暴露于某种热力下以得温暖
vi. 烤；烘"
salt,"n. 盐；风趣，刺激性
adj. 咸水的；含盐的，咸味的；盐腌的；猥亵的
vt. 用盐腌；给…加盐；将盐撒在道路上使冰或雪融化"
sauce,"n. 酱油；沙司；调味汁
vt. 使增加趣味；给…调味"
saucepan,n. 炖锅；深平底锅
sour,"n. 酸味；苦事
adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的
vt. 使变酸；使失望
vi. 发酵；变酸；厌烦"
spice,"n. 香料；情趣；调味品；少许
vt. 加香料于…；使…增添趣味"
spicy,adj. 辛辣的；香的，多香料的；下流的
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
stuff,"n. 东西；材料；填充物；素材资料
vt. 塞满；填塞；让吃饱
vi. 吃得过多"
sweet,"n. 糖果；乐趣；芳香；宝贝
adj. 甜的；悦耳的；芳香的；亲切的
（俚）酷毙了"
taste,"n. 味道；品味；审美
vt. 尝；体验
vi. 尝起来；有…的味道"
tasty,"adj. 美味的；高雅的；有趣的
n. 可口的东西；引人入胜的东西"
thing,n. 事情；东西；事物；情况
vanilla,"n. 香子兰，香草
adj. 香草味的"
