the,"art. 这；那
adv. 更加（用于比较级，最高级前）"
AIDS,abbr. 获得性免疫缺乏综合征；爱滋病（Acquired Immune Deficiency Syndrome）
deer,n. 鹿
northeast,"adj. 东北的；向东北的；来自东北的
n. 东北
adv. 向东北；来自东北"
noon,n. 中午；正午；全盛期
bleed,"vt. 使出血；榨取
vi. 流血；渗出；悲痛"
starve,"vi. 饿死；挨饿；渴望
vt. 使饿死；使挨饿"
broadcast,"n. 广播；播音；广播节目
adj. 广播的
vt. 播送，播放；（无线电或电视）广播；播撒（种子）
vi. 广播，播送；播放"
P.E.,
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
download,vt.  下载
ballet,n. 芭蕾舞剧；芭蕾舞乐曲
tongue,"n. 舌头；语言
vt. 舔；斥责；用舌吹
vi. 说话；吹管乐器"
conservation,n. 保存，保持；保护
seize,"vt. 抓住；夺取；理解；逮捕
vi. 抓住；利用；（机器）卡住"
dormitory,"n. 宿舍，学生宿舍
adj. 住宅区的"
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
pine,"n.  松树；凤梨，菠萝
adj. 松木的；似松的
vt. 为…悲哀；哀悼
vi. 渴望，痛苦；憔悴"
violence,n. 暴力；侵犯；激烈；歪曲
resemble,vt. 类似，像
soap,"n. 肥皂
vt. 将肥皂涂在……上；对……拍马屁（俚语）
vi. 用肥皂擦洗"
necklace,n. 项链
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
bishop,n. （基督教的）主教；（国际象棋的）象
scratch,"n. 擦伤；抓痕；刮擦声；乱写
adj. 打草稿用的；凑合的；碰巧的
vt. 抓；刮；挖出；乱涂
vi. 抓；搔；发刮擦声；勉强糊口；退出比赛"
doll,"n. 洋娃娃；玩偶；无头脑的美丽女人
vt. 把…打扮得花枝招展"
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
avenue,n. 大街；林荫大道；(达到某物的)途径，手段，方法，渠道
violate,vt. 违反；侵犯，妨碍；亵渎
refrigerator,n. 冰箱，冷藏库
junior,"adj. 年少的；后进的；下级的
n. 年少者，晚辈；地位较低者；大学三年级学生"
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
foggy,adj. 有雾的；模糊的，朦胧的
organ,n.  器官；机构；风琴；管风琴；嗓音
schoolmate,n. 同学；同窗
lung,n. 肺；呼吸器
disturbing,"v. 干扰；打断（disturb的ing形式）
adj. 令人不安的；烦扰的"
thankful,adj. 感谢的；欣慰的
pool,"n. 联营；撞球；水塘；共同资金
vt. 合伙经营
vi. 联营，合伙经营"
confidential,adj. 机密的；表示信任的；获信任的
conventional,adj. 符合习俗的，传统的；常见的；惯例的
upward,"adj. 向上的；上升的
adv. 向上"
upwards,adv. 向上；在上部；向上游
customs,n. 海关；风俗（custom的复数）；习惯；关税
adolescence,n. 青春期
pill,"n. 药丸；弹丸，子弹；口服避孕药
vt. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
vi. 做成药丸；服药丸"
helicopter,"n.  直升飞机
vt. 由直升机运送
vi.  乘直升飞机"
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
uncertain,adj. 无常的；含糊的；靠不住的；迟疑不决的
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
thorough,adj. 彻底的；十分的；周密的
amusement,n. 消遣，娱乐；乐趣
southeast,"n. 东南；东南地区
adj. 东南的；来自东南的
adv. 来自东南"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
ambulance,n.  救护车；战时流动医院
novelist,n. 小说家
superb,adj. 极好的；华丽的；宏伟的
knife,"n. 刀；匕首
vt. 用刀切；（口）伤害
vi. 劈开；划过"
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
allergic,adj. 对…过敏的；对…极讨厌的
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
handbag,n. 手提包
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
mist,"n. 薄雾；视线模糊不清；模糊不清之物
vi. 下雾；变模糊
vt. 使模糊；使蒙上薄雾"
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
wealth,n. 财富；大量；富有
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
congratulate,vt. 祝贺；恭喜；庆贺
handful,n. 少数；一把；棘手事
restriction,n. 限制；约束；束缚
bitter,"n. 苦味；苦啤酒
adj. 苦的；痛苦的；尖刻的；充满仇恨的
vt. 使变苦
adv. 激烈地；严寒刺骨地"
sacred,adj. 神的；神圣的；宗教的；庄严的
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
stamp,"n. 邮票；印记；标志；跺脚
vt. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏
vi. 跺脚；捣碎；毁掉"
currency,n. 货币；通货
temple,n. 庙宇；寺院；神殿；太阳穴
originally,adv. 最初，起初；本来
potentially,adv. 可能地，潜在地
remotely,adv. 遥远地；偏僻地；（程度）极微地，极轻地
unpredictable,"n. 不可预言的事
adj. 不可预知的；不定的；出乎意料的"
shameful,adj. 可耻的；不体面的；不道德的；猥亵的
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
departure,n. 离开；出发；违背
happily,adv. 快乐地；幸福地；幸运地；恰当地
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
physician,n.  医师；内科医师
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
garage,"n. 车库；汽车修理厂；飞机库
vt. 把……送入车库；把（汽车）开进车库"
lawyer,n. 律师；法学家
motor,"n. 发动机，马达；汽车
adj. 汽车的；机动的
vi. 乘汽车
vt. 以汽车载运"
software,n. 软件
toilet,"n. 厕所，盥洗室；梳妆，打扮
vt. 给…梳妆打扮
vi. 梳妆，打扮"
boundary,n. 边界；范围；分界线
cotton,"n. 棉花；棉布；棉线
adj. 棉的；棉制的
vi. 一致；理解；和谐；亲近"
virtue,n. 美德；优点；贞操；功效
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
coin,"n. 硬币，钱币
vt. 铸造（货币）；杜撰，创造"
poisonous,adj. 有毒的；恶毒的；讨厌的
backpack,"n. 双肩背包，背包；远足用的背包
vt. 挑运；把…放入背包
vi. 背负简便行李旅行；挑运"
symptom,n.  症状；征兆
urgent,adj. 紧急的；急迫的
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
endless,adj. 无止境的；连续的；环状的；漫无目的的
candle,"n. 蜡烛；烛光；烛形物
vt. 对着光检查"
competitiveness,n. 竞争力，好竞争
pepper,"n. 胡椒；辣椒；胡椒粉
vt. 加胡椒粉于；使布满"
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
gifted,"adj. 有天赋的；有才华的
v. 给予（gift的过去分词）"
rope,"n. 绳，绳索
vt. 捆，绑
vi. 拧成绳状"
hero,n. 英雄；男主角，男主人公
troublesome,adj. 麻烦的；讨厌的；使人苦恼的
cloth,"n. 布；织物；桌布
adj. 布制的"
muddy,"adj. 泥泞的；模糊的；混乱的
vt. 使污浊；使沾上泥；把…弄糊涂
vi. 变得泥泞；沾满烂泥"
firework,n. 烟火；激烈情绪
heaven,n. 天堂；天空；极乐
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
union,n. 联盟，协会；工会；联合
harbour,"n. 海港（等于harbor）；避难所
vt. 庇护；藏匿；入港停泊
vi. 藏匿；入港停泊；庇护"
explicit,adj. 明确的；清楚的；直率的；详述的
beer,"n. 啤酒
vi. 喝啤酒"
port,"n. 港口，口岸；（计算机的）端口；左舷；舱门
vt. 持（枪）；左转舵
vi. 转向左舷"
gun,"n. 枪支；枪状物；持枪歹徒
vt. 向…开枪；开大油门
vi. 用枪射击；加大油门快速前进"
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
tasteless,adj. 无味的；无鉴赏力的
hardship,n. 困苦；苦难；艰难险阻
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
hook,"n. 挂钩，吊钩
vt. 钩住；引上钩
vi. 钩住；弯成钩状"
politician,n. 政治家，政客
jacket,"n. 羽绒滑雪衫；西装短外套；短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹
vt. 给…穿夹克；给…装护套；给…包上护封；打"
ache,"n. 疼痛
vi. 疼痛；渴望"
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
lid,"n. 盖子；眼睑；限制
vt. 给…盖盖子"
devotion,n. 献身，奉献；忠诚；热爱
liberty,n. 自由；许可；冒失
simplify,vt. 简化；使单纯；使简易
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
choke,"n. 窒息；噎； 阻气门
vi. 窒息；阻塞；说不出话来
vt. 呛；使窒息；阻塞；抑制；扑灭"
unfortunate,adj. 不幸的；令人遗憾的；不成功的
raw,"n. 擦伤处
adj. 生的；未加工的；阴冷的；刺痛的；擦掉皮的；无经验的；（在艺术等方面）不成熟的
vt. 擦伤"
curriculum,"n. 课程
总课程"
jar,"n. 罐；广口瓶；震动；刺耳声
vi. 冲突；不一致；震惊；发刺耳声
vt. 震动；刺激；使震动"
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
fox,"n. 狐狸；狡猾的人
vt. 欺骗；使变酸
vi. 假装；耍狡猾手段"
sadness,n. 悲哀
spoon,"n. 匙，勺子；一杓的量
vt. 用匙舀；使成匙状
vi. 轻轻向上击"
fist,"n. 拳，拳头；笔迹；掌握；指标参见号
vt. 紧握；握成拳；用拳打"
signature,n. 署名；签名；信号
millionaire,"n. 百万富翁；大富豪
adj. 100万以上人口的"
leak,"n. 泄漏；漏洞，裂缝
vt. 使渗漏，泄露
vi. 漏，渗；泄漏出去"
album,n. 相簿；唱片集；集邮簿；签名纪念册
insure,"vt. 确保，保证；给…保险
vi. 确保；投保"
strawberry,n. 草莓；草莓色
overhead,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板； 经常费用；间接费用；吊脚架空层"
ripen,"vt. 使成熟
vi. 成熟"
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
forgetful,adj. 健忘的；不注意的；疏忽的；使遗忘的
punishment,n. 惩罚；严厉对待，虐待
mild,"adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
n. （英国的一种）淡味麦芽啤酒"
bark,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮"
tape,"n. 胶带；磁带；带子；卷尺
vt. 录音；用带子捆扎；用胶布把…封住
vi. 用磁带录音"
stove,"n. 火炉；窑；温室
vt. 用火炉烤"
outer,"adj. 外面的，外部的；远离中心的
n. 环外命中"
porter,n. 门房；服务员；行李搬运工；守门人
scold,"n. 责骂；爱责骂的人
vt. 骂；责骂
vi. 责骂；叱责"
arise,vi. 出现；上升；起立
bless,vt. 祝福；保佑；赞美
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
latter,adj. 后者的；近来的；后面的；较后的
sob,"n. 啜泣，呜咽
vt. 哭诉，啜泣
vi. 啜泣，呜咽；（风等）发出呜咽声"
eyesight,n. 视力；目力
operator,n. 经营者；操作员；话务员；行家
flee,"vt. 逃跑，逃走；逃避
vi. 逃走；消失，消散"
symphony,n. 交响乐；谐声，和声
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
backward,"adj. 向后的；反向的；发展迟缓的
adv. 向后地；相反地"
backwards,adv. 倒；向后；逆
hers,pron. 她的（所有格）
coincidence,n. 巧合；一致；同时发生
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
kilo,n. 千克
agenda,n. 议程；日常工作事项；日程表
butter,"n. 黄油；奶油；奉承话
vt. 涂黄油于；讨好"
approximately,adv. 大约，近似地；近于
potato,n.  土豆， 马铃薯
jet,"n. 喷射，喷嘴；喷气式飞机；黑玉
adj. 墨黑的
vt. 射出
vi. 射出； 乘喷气式飞机"
teamwork,n. 团队合作；协力
smog,n. 烟雾
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
wool,n. 羊毛；毛线；绒线；毛织品；毛料衣物
geography,n. 地理；地形
tick,"n. 滴答声；扁虱；记号；赊欠
vt. 标记号于；滴答地记录
vi. 发出滴答声；标以记号"
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
brake,"n. 闸，刹车；阻碍
vt. 刹车
vi. 刹车"
abortion,n. 流产，堕胎，小产；流产的胎儿；（计划等）失败，夭折
cushion,"n. 垫子；起缓解作用之物；（猪等的）臀肉；银行储蓄
vt. 给…安上垫子；把…安置在垫子上；缓和…的冲击"
league,"n. 联盟；社团；范畴
vt. 使…结盟；与…联合
vi. 团结；结盟"
separation,n. 分离，分开；间隔，距离； 分居；缺口
tune,"n. 曲调；和谐；心情
vt. 调整；使一致；为…调音
vi.  调谐；协调"
poster,n. 海报，广告；招贴
glove,"n. 手套
vt. 给…戴手套"
preference,n. 偏爱，倾向；优先权
grape,n. 葡萄；葡萄酒；葡萄树；葡萄色
canteen,n. 食堂，小卖部；水壶
thread,"n. 线；螺纹；思路；衣服；线状物；玻璃纤维；路线
vt. 穿过；穿线于；使交织
vi. 通过；穿透过"
pencil,"n. 铅笔；笔状物
vt. 用铅笔写；用眉笔涂
vi. 成铅笔状"
gentleman,n. 先生；绅士；有身份的人
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
collar,"n. 衣领；颈圈
vt. 抓住；给…上领子；给…套上颈圈"
volleyball,n. 排球
seagull,n. 海鸥
lap,"n. 一圈；膝盖；下摆；山坳
vt. 使重叠；拍打；包围
vi. 重叠；轻拍；围住"
cooker,n. 炊具；烹饪用水果；窜改者
whistle,"n. 口哨；汽笛；呼啸声
vt. 吹口哨；鸣汽笛"
oral,"n. 口试
adj. 口头的，口述的"
flashlight,n. 手电筒；闪光灯
sweater,n. 毛线衣，运动衫；大量出汗的人，发汗剂
controversial,adj. 有争议的；有争论的
scar,"n. 创伤；伤痕
vt. 伤害；给留下伤痕
vi. 结疤；痊愈"
lame,"adj. 跛足的；僵痛的；不完全的；无说服力的；差劲的，蹩脚的
vi. 变跛
vt. 使跛；使成残废"
wheat,n. 小麦；小麦色
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
booth,n. 货摊；公用电话亭
southwest,"n. 西南方
adj. 西南的
adv. 往西南；来自西南"
mud,"vt. 弄脏；用泥涂
vi. 钻入泥中
n. 泥；诽谤的话；无价值的东西"
eggplant,"n. 茄子
adj. 深紫色的"
polish,
tiresome,adj. 烦人的，无聊的；令人讨厌的
glare,"n. 刺眼；耀眼的光；受公众注目
vt. 瞪视；发眩光
vi. 瞪眼表示"
buffet,"n. 自助餐；小卖部；打击；猛烈冲击
adj. 自助的；自助餐的
vi. 斗争；奋勇前进
vt. 与…搏斗；连续猛击"
relay,"n.  继电器；接替，接替人员；驿马
vt. 转播；使接替；分程传递
vi. 转播；接替"
hopeless,adj. 绝望的；不可救药的
