identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
shoe,"n. 鞋；蹄铁；外胎
vt. 给……穿上鞋；穿……鞋"
hobby,n. 嗜好；业余爱好
hob,"n.  滚刀；铁架
vt. 滚铣"
nail,"vt. 钉；使固定；揭露
n.  指甲；钉子"
honey,"n. 蜂蜜；宝贝；甜蜜
adj. 甘美的；蜂蜜似的
vt. 对…说甜言蜜语；加蜜使甜
vi. 奉承；说甜言蜜语"
comb,"n. 梳子；蜂巢；鸡冠
vt. 梳头发；梳毛
vi. （浪）涌起"
hood,"n. 头巾；覆盖；兜帽
vt. 罩上；以头巾覆盖"
wink,"n. 眨眼；使眼色；闪烁；瞬间
vt. 眨眼
vi. 眨眼；使眼色；闪烁"
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
horse,"n. 马；骑兵；脚架；海洛因
vt. 使骑马；系马于；捉弄
vi. 骑马；作弄人"
man,"n. 人；男人；人类；丈夫；雇工
vt. 操纵；给…配置人员；使增强勇气；在…就位"
sill,n. 窗台；基石；门槛； 海底山脊
hot,"adj. 热的；辣的；热情的；激动的；紧迫的
vt. 增加；给…加温
adv. 热；紧迫地
vi. 变热"
foot,"n. 脚；英尺；步调；末尾
vt. 支付；给……换底
vi. 步行；跳舞；总计"
plate,"n. 碟；金属板；金属牌；感光底片
vt. 电镀；给…装甲"
pot,"n. 壶；盆；罐
vt. 把…装罐；射击；节略
vi. 随手射击"
house,"n. 住宅；家庭；机构；议会；某种用途的建筑物
vt. 覆盖；给…房子住；把…储藏在房内
vi. 住"
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
let,"vt. 允许，让；出租；假设；妨碍
vi. 出租；被承包
n. 障碍；出租屋"
in,"prep. 按照（表示方式）；从事于；在…之内
n. 执政者；门路；知情者
adj. 在里面的；时髦的
adv. 进入；当选；（服装等）时髦；在屋里"
out,"adv. 出现；在外；出局；出声地；不流行地
adj. 外面的；出局的；下台的
n. 出局
prep. 向；离去
vi. 出来；暴露
vt. 使熄灭；驱逐"
kick,"vt. 踢；反冲，朝后座
n. 踢；反冲，后座力
vi. 踢；反冲"
highbrow,"n. 卖弄知识的人；知识分子
adj. 不切实际的；自炫博学的；知识分子的"
horseman,n. 骑马者；马术师
horseshoe,"n. 马蹄铁；U形物
vt. 装蹄铁于"
hobbyhorse,n. （旋转木马台上的）木马，摇动木马
hobnail,n. （钉在笨重的鞋底部的）平头钉; 大头钉
honeycomb,"n. 蜂巢，蜂巢状之物
adj. 似蜂巢的
vt. 使成蜂巢状；把…弄得千疮百孔
vi. 变成蜂巢状"
hoodwink,vt. 蒙蔽；欺骗；遮眼
horsepower,n. 马力（功率单位）
manpower,n. 人力；人力资源；劳动力
willpower,n. 意志力；毅力
hotfoot,"n. 恶作剧
adv. 急忙地；火急地
vi. 急行"
hotplate,n. 电炉；扁平烤盘
hotpot,n. 火锅
housemaster,n. 男舍监；舍监
inlet,"n. 入口，进口；插入物；水湾
v. 引进; 嵌入; 插入;"
outlet,n. 出口，排放孔； 电源插座；销路；发泄的方法；批发商店
kickoff,n. 开始；开球
off,"prep. 离开；脱落
adv. 切断；走开
adj. 远离的；空闲的"
know,"vt. 知道；认识；懂得
vi. 了解；熟悉；确信"
how,"adv. 如何；多少；多么
n. 方法；方式
conj. 如何"
lay,"vt. 躺下；产卵；搁放；放置；铺放；涂，敷
adj. 世俗的；外行的；没有经验的
n. 位置；短诗；花纹方向；叙事诗；性伙伴
vi. 下蛋；打赌
v. 躺；位于（lie的过去式）"
man,"n. 人；男人；人类；丈夫；雇工
vt. 操纵；给…配置人员；使增强勇气；在…就位"
out,"adv. 出现；在外；出局；出声地；不流行地
adj. 外面的；出局的；下台的
n. 出局
prep. 向；离去
vi. 出来；暴露
vt. 使熄灭；驱逐"
make,"vt. 使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成
vi. 开始；前进；增大；被制造
n. 制造；构造；性情"
believe,"vi. 信任；料想；笃信宗教
vt. 相信；认为；信任"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
main,"n. 主要部分，要点；体力；总管道
adj. 主要的，最重要的；全力的"
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制"
merry,"adj. 愉快的；微醉的；嬉戏作乐的
n. 甜樱桃"
go,"n. 去；进行；尝试
vi. 走；达到；运转；趋于
vt. 忍受；出产；以…打赌
"
round,"n. 圆；循环；一回合；圆形物
prep. 附近；绕过；大约；在…周围
adj. 圆的；完全的；大概的；肥胖的
vt. 完成；围捕；绕行；弄圆
adv. 在周围；迂回地；朝反方向；挨个
vi. 进展；变圆；环行；发胖"
night,"n. 夜晚，晚上；黑暗，黑夜
adj. 夜晚的，夜间的"
gown,"n. 长袍，长外衣；礼服；睡袍；法衣
vt. 使穿睡衣"
mare,n. 母马；母驴；月球表面阴暗部
over,"adv. 结束；越过；从头到尾
prep. 越过；在…之上；遍于…之上
adj. 结束的；上面的
vt. 越过"
look,"vt. 看；期待；注意；面向；看上去像
vi. 看；看起来；注意；面向
n. 看；样子；面容"
on,"adv. 向前地；作用中，行动中；继续着
prep. 向，朝……；关于；在……之上；在……时候
adj. 开着的；发生着的，正在进行中"
out,"adv. 出现；在外；出局；出声地；不流行地
adj. 外面的；出局的；下台的
n. 出局
prep. 向；离去
vi. 出来；暴露
vt. 使熄灭；驱逐"
over,"adv. 结束；越过；从头到尾
prep. 越过；在…之上；遍于…之上
adj. 结束的；上面的
vt. 越过"
date,"n. 日期；约会；年代；枣椰子
vt. 确定…年代；和…约会
vi. 过时；注明日期；始于（某一历史时期）"
out,"adv. 出现；在外；出局；出声地；不流行地
adj. 外面的；出局的；下台的
n. 出局
prep. 向；离去
vi. 出来；暴露
vt. 使熄灭；驱逐"
know-how,n. 诀窍；实际知识；专门技能
layman,n. 外行；门外汉；俗人；一般信徒
layout,n. 布局；设计；安排；陈列
make-believe,"n. 伪装；虚伪；假扮者
adj. 假装的；虚假的"
makeshift,"n. 权宜之计；凑合；临时措施；将就
adj. 临时的；权宜之计的；凑合的"
mainstream,n. 主流
mainstay,n. 支柱；中流砥柱；主要的依靠；主桅支索
merry-go-round,n. 旋转木马
nightgown,n. 睡衣（等于dressing gown或nightdress）
nightmare,"n. 恶梦；梦魇般的经历
adj. 可怕的；噩梦似的"
overnight,"adv. 通宵；突然；昨晚
adj. 晚上的；通宵的；前夜的
n. 头天晚上；一夜的逗留
vt. 连夜快递
vi. 过一夜"
onlooker,n. 旁观者；观众（等于spectator）
outlook,"n. 展望；观点；景色
vt. 比……好看；用目光压倒
vi. 朝外看"
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
out-of-date,adj. 过时的
up,"prep. 在…之上；向…的较高处
n. 上升；繁荣
adj. 涨的；起床的；向上的
adv. 起来；上涨；向上"
out,"adv. 出现；在外；出局；出声地；不流行地
adj. 外面的；出局的；下台的
n. 出局
prep. 向；离去
vi. 出来；暴露
vt. 使熄灭；驱逐"
cry,"n. 叫喊；叫声；口号；呼叫
vi. 哭；叫；喊
vt. 叫喊；哭出；大声说"
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
go,"n. 去；进行；尝试
vi. 走；达到；运转；趋于
vt. 忍受；出产；以…打赌
"
reach,"n. 范围；延伸；河段；横风行驶
vi. 达到；延伸；伸出手；传开
vt. 达到；影响；抵达；伸出"
pass,"n. 及格；经过；护照；途径；传球
vt. 通过；经过；传递
vi. 经过；传递；变化；终止"
word,"n.  单词；话语；消息；诺言；命令
vt. 用言辞表达"
under,"prep. 低于，少于；在...之下
adj. 下面的；从属的
adv. 在下面；在下方"
pay,"n. 工资，薪水；付款；报答
vt. 支付，付；偿还，补偿；给予
vi. 付款；偿还
adj. 收费的；需付费的"
off,"prep. 离开；脱落
adv. 切断；走开
adj. 远离的；空闲的"
out,"adv. 出现；在外；出局；出声地；不流行地
adj. 外面的；出局的；下台的
n. 出局
prep. 向；离去
vi. 出来；暴露
vt. 使熄灭；驱逐"
roll,"n. 卷，卷形物；名单；摇晃
vt. 卷；滚动，转动；辗
vi. 卷；滚动；转动；起伏，摇晃"
pepper,"n. 胡椒；辣椒；胡椒粉
vt. 加胡椒粉于；使布满"
mint,"n. 薄荷； 造币厂，巨款
vt. 铸造，铸币
adj. 完美的"
pit,"n. 矿井；深坑；陷阱；（物体或人体表面上的）凹陷；（英国剧场的）正厅后排；正厅后排的观众
vt. 使竞争；窖藏；使凹下；去…之核；使留疤痕
vi. 凹陷；起凹点"
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
pull,"n. 拉，拉绳；拉力，牵引力；拖
vt. 拉；拔；拖
vi. 拉，拖；拔"
over,"adv. 结束；越过；从头到尾
prep. 越过；在…之上；遍于…之上
adj. 结束的；上面的
vt. 越过"
quick,"n. 核心；伤口的嫩肉
adj. 快的；迅速的，敏捷的；灵敏的
adv. 迅速地，快"
sand,"n. 沙；沙地；沙洲；沙滩；沙子
vt. 撒沙于；以沙掩盖；用砂纸等擦平或磨光某物；使撒沙似地布满；给…掺沙子
vi. 被沙堵塞"
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
up-to-date,adj. 最新的，最近的；现代的，新式的
outcry,n. 强烈抗议；大声疾呼；尖叫；倒彩
outfit,"n. 机构；用具；全套装备
vi. 得到装备
vt. 配备；供应"
outgoing,"adj. 对人友好的，开朗的；出发的，外出的；即将离职的；乐于助人的
n. 外出；流出；开支
v. 超过；优于（outgo的ing形式）"
outreach,"vt. 超越，伸出；超出…的范围
vi. 拓广，延伸
n. 延伸，拓广；扩大服务范围
adj. 扩大服务的"
password,n. 密码；口令
underpass,n. 地下通道； 下穿交叉道
payoff,"adj. 支付的；决定性的；产生结果的
n. 报酬；结果；发工资；结算"
payout,n. 支出；花费
payroll,n. 工资单；在册职工人数；工资名单
peppermint,n. 薄荷；薄荷油；胡椒薄荷；薄荷糖（等于mint）
pitfall,n. 陷阱，圈套；缺陷；诱惑
pullover,"n. 套衫
adj. 套领的"
quicksand,n.  流沙，危险状态
rear,"n. 后面；屁股；后方部队
adj. 后方的；后面的；背面的
vt. 培养；树立；栽种
adv. 向后；在后面
vi. 暴跳；高耸"
admiral,n. 海军上将；舰队司令；旗舰
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
play,"n. 游戏；比赛；剧本
vt. 游戏；扮演；演奏；播放；同…比赛
vi. 演奏；玩耍；上演；参加比赛"
screw,"n. 螺旋；螺丝钉；吝啬鬼
vt. 旋，拧；压榨；强迫
vi. 转动，拧"
driver,n. 驾驶员；驱动程序；起子；传动器
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
ship,"n. 船；舰；太空船
vt. 运送，乘船；以船运送
vi. 上船；乘船旅行；当船员"
side,"n. 方面；侧面；旁边
adj. 旁的，侧的
vt. 同意，支持
vi. 支持；赞助；偏袒"
ship,"n. 船；舰；太空船
vt. 运送，乘船；以船运送
vi. 上船；乘船旅行；当船员"
wreck,"n. 破坏；失事；残骸；失去健康的人
vt. 破坏；使失事；拆毁
vi. 失事；营救失事船只"
yard,"n. 院子；码（英制中丈量长度单位，1码=3英尺）；庭院；帆桁
vt. 把…关进或围在畜栏里"
piece,"n. 块；件；篇；硬币
vt. 修补；接合；凑合"
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
mantle,"n. 地幔；斗篷；覆盖物
vi. 覆盖；脸红
vt. 覆盖"
sick,"adj. 厌恶的；病态的；不舒服；渴望的；恶心的 ；生病的
n. 病人
vt. 使狗去咬；呕吐；追击"
bay,"n. 海湾；狗吠声
vt. 向…吠叫
vi. 吠叫；大声叫嚷"
skin,"n. 皮肤；外皮
vt. 剥皮
vi. 愈合；长皮"
dive,"n. 潜水；跳水；俯冲；扑
vi. 潜水；跳水；俯冲；急剧下降"
space,"n. 空间；太空；距离
vt. 隔开
vi. 留间隔"
shuttle,"n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等
vt. 使穿梭般来回移动；短程穿梭般运送
vi. 穿梭往返"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
sun,"n. 太阳
vt. 使晒
vi. 晒太阳"
rear-admiral,
screenplay,n. 编剧，剧本；电影剧本
screwdriver,n. 螺丝刀
shipboard,n. 船；舷侧
sideboard,n. 餐具柜；侧板，边线界墙
shipwreck,"n. 海难；遇难船
vt. 使失事；使毁灭；使失败"
shipyard,n. 造船厂；船坞；修船厂
showpiece,n. 展出品，展示品
mantelpiece,n. 壁炉架；壁炉台
sickbay,n. 船上的医务室
skin-diving,"n. 赤身潜水
v. 裸潜（skin-dive的ing形式）"
space shuttle,"n. 航天飞机
 太空梭；太空穿梭机；太空飞船"
spotlight,"n. 聚光灯；反光灯；公众注意的中心
vt. 聚光照明；使公众注意"
sunbathe,"n. 日光浴；太阳灯浴
vi. 沐日光浴"
bathe,"n. 洗澡；游泳
vt. 沐浴；用水洗
vi. 洗澡；沐浴"
smoke,"n. 烟；抽烟；无常的事物
vt. 吸烟；抽
vi. 冒烟，吸烟；抽烟；弥漫"
stack,"n. 堆；堆叠
vt. 使堆叠；把…堆积起来
vi. 堆积，堆叠"
tape,"n. 胶带；磁带；带子；卷尺
vt. 录音；用带子捆扎；用胶布把…封住
vi. 用磁带录音"
worm,"n. 虫，蠕虫；蜗杆；螺纹；小人物
vt. 使蠕动；给除虫；使缓慢前进
vi. 慢慢前进；蠕行"
thread,"n. 线；螺纹；思路；衣服；线状物；玻璃纤维；路线
vt. 穿过；穿线于；使交织
vi. 通过；穿透过"
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
there,"n. 那个地方
adv. 在那里；在那边；在那点上
int. 你瞧"
about,"prep. 关于；大约
n. 大致；粗枝大叶；不拘小节的人
adj. 在附近的；四处走动的；在起作用的
adv. 大约；周围；到处"
after,"conj. 在……之后
prep. 在……之后
adj. 以后的
adv. 后来，以后"
of,prep. 关于；属于；…的；由…组成的
tie,"n. 领带；平局；鞋带；领结；不分胜负
vi. 打结；不分胜负；被用带（或绳子等）系住
vt. 系；约束；打结；与…成平局"
up,"prep. 在…之上；向…的较高处
n. 上升；繁荣
adj. 涨的；起床的；向上的
adv. 起来；上涨；向上"
tip,"n. 小费；尖端；小建议，小窍门；轻拍
vt. 给小费；倾斜；翻倒；装顶端
vi. 给小费；翻倒；倾覆"
toe,"n. 脚趾；足尖
vt. 用脚尖走；以趾踏触
vi. 动脚尖；用足尖跳舞"
thorough,adj. 彻底的；十分的；周密的
fare,"n. 票价；费用；旅客；食物
vi. 经营；进展；遭遇；过活"
top,"n. 顶部，顶端；上部；首席；陀螺
adj. 最高的，顶上的；头等的
vt. 超越，超过；给…加盖；达到…的顶端
vi. 高出，超越；结束；达到顶点"
soil,"n. 土地；土壤；国家；粪便；务农；温床
vt. 弄脏；污辱
vi. 变脏"
touch,"n. 接触；触觉；格调；少许
vt. 接触；触动；使轻度受害
vi. 触摸；涉及；接近；提到"
down,"prep. 沿着，往下
n. 软毛，绒毛； 开阔的高地
adj. 向下的
vt. 打倒，击败
adv. 向下，下去；在下面
vi. 下降；下去"
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
man,"n. 人；男人；人类；丈夫；雇工
vt. 操纵；给…配置人员；使增强勇气；在…就位"
up,"prep. 在…之上；向…的较高处
n. 上升；繁荣
adj. 涨的；起床的；向上的
adv. 起来；上涨；向上"
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
man,"n. 人；男人；人类；丈夫；雇工
vt. 操纵；给…配置人员；使增强勇气；在…就位"
smokestack,"n. 烟囱，烟窗
adj. 低技术制造业的；大工厂的"
tapeworm,n.  绦虫
threadbare,adj. 磨破的；衣衫褴褛的；乏味的；俗套的
